company_name;company_address;company_postalcode;company_city;company_phone;company_email;company_website;company_facebook;contact_firstname;contact_lastname;contact_email;contact_phone;contact_position;contact_linkedin;country
A & H d'Affnay;8 Boulevard d'Avroy;4000.0;LIEGE;04/223.23.88;;http://www.daffnay.be/;;;;;;;;Belgique
Abrimmo;Chaussée de Lille 124;7700.0;Mouscron;056/56.1 2 3 4;;http://www.abrimmo.be/;;;;;;;;Belgique
Actibel;Chaussée de Waterloo, 316;5002.0;SAINT-SERVAIS;081 74 99 99;;http://www.actibel.be/;;;;;;;;Belgique
Agem;Zeedijk;293.0;Middelkerke;059/31 20 31;;http://www.agem.be/;;;;;;;;Belgique
Agence 66;Chemin des Noces 40 à;1410.0;Waterloo;0474/066.066;;http://www.agence66.be/;https://www.facebook.com/pages/Agence-66/1455945641283491;;;;;;;Belgique
Agence Ebima;Albert I laan 76,;8620.0;Nieuwpoort;+32 (0)58/23.55.22;;http://www.ebima.be/;https://www.facebook.com/ImmoEbima/;;;;;;;Belgique
Agence Leroy;Duinkerkelaan 116;8660.0;De Panne;058/42.06.06;;http://www.agenceleroy.be/;;;;;;;;Belgique
Agence Mulier;Dynastielaan 2,;8660.0;De Panne;058 41 35 61;;http://www.agencemulier.be/;https://www.facebook.com/pages/Agence-Mulier/278207055612795;;;;;;;Belgique
Agence Triton;Zeedijk 424;8670.0;Oostduinkerke;058 51 30 63;;http://www.triton.be/;;;;;;;;Belgique
Agence Washington;Rue Washington 206 A;1050.0;Ixelles;025222822;;http://www.agencewashington.be/;;;;;;;;Belgique
Agence Wellington;99, Chaussée de Bruxelles;1410.0;Waterloo;+32(0)2 354.25.25;;http://www.agencewellington.be/;https://www.facebook.com/Agencewellington;;;;;;;Belgique
Altis;Place Albert 1er, 20;1300.0;Limal;010 40 12 30;;http://www.altis.be/;;;;;;;;Belgique
Animmo;Lentelaan 20;1910.0;Kampenhout;0479/41.35.35;;http://www.animmo.be/;;;;;;;;Belgique
Anisdel immo;rue Brogniez 115;1070.0;Anderlecht;02/523 35 52;;http://www.anisdel.be/;;;;;;;;Belgique
Avantimmo;Lippenslaan 116;8300.0;Knokke-Heist;050/625055;;http://www.avantimmo.be/;https://www.facebook.com/pages/Avantimmo/251980084967986;;;;;;;Belgique
Avimmo;80, route de La Roche;6990.0;Hampteau;+32 (0)4 227 49 99;;http://www.avimmo.be/;https://www.facebook.com/AVIMMO;;;;;;;Belgique
Beneca;Peerderbaan 2,;3960.0;Bree;089 / 47.27.80;;http://www.beneca.be/;;;;;;;;Belgique
BIA;Place du Marché, 10;6980.0;La Roche-en-Ardenne Tél: +;32(0)84.44.00.33;;http://www.immo-bia.be/;;;;;;;;Belgique
BIV immobilier;Quai des Tanneurs 10;4020.0;Liège;04 222 39 39;;http://www.biv.eu/;;;;;;;;Belgique
BOURSE IMMOBILIERE BELGE;Place Saint-Paul, 2;4000.0;LIEGE;04/221.21.21;;http://www.bourse-immobiliere.be/;;;;;;;;Belgique
