company_name;company_address;company_postalcode;company_city;company_phone;company_email;company_website;company_facebook;contact_firstname;contact_lastname;contact_email;contact_phone;contact_position;contact_linkedin;country
A&A;;;;+352 26 68 45 01;;http://www.aea.lu/;;;;;;;;Luxembourg
A'ventura;;;;352 661 63 10 23;;http://www.aventura-agence.lu/;https://www.facebook.com/pages/Aventura-agence/204530406397980;;;;;;;Luxembourg
Abri&Co;;;;+352 49 29 09;;http://www.abrico.lu/;;;;;;;;Luxembourg
ABRIGO;;;;352 26 78 28 28;;http://www.abrigo.lu/;;;;;;;;Luxembourg
ACACIO;;;;52 56 67;;http://www.acacio.lu/;;;;;;;;Luxembourg
Accord Immobilière;;;;26 58 01 75-1;;http://www.accord-immo.lu/;;;;;;;;Luxembourg
ACTUEL IMMOBILIERE;;;;26 50 30 15;;http://www.actuel.lu/;;;;;;;;Luxembourg
Afil Immo SA;;;;54 02 44;;http://www.afil.lu/;https://www.facebook.com/AFILIMMO;;;;;;;Luxembourg
AG Promotions et Transactions Immobilières S.A.;;;;+352 621 211 300;;http://www.ag-promotion.lu/;;;;;;;;Luxembourg
Agence Immobilière du Luxembourg;207, rue de Beggen L-;1221.0;Luxembourg;26 36 07 65;;http://www.agimlux.lu/;;;;;;;;Luxembourg
Agence immobilière Hélène Grober;;;;40 97 90;;http://www.immo-grober.lu/;;;;;;;;Luxembourg
Agence Immobilière Toussaint Abby;;;;352 32 81 73 1;;http://www.confiance.lu/;;;;;;;;Luxembourg
Agest-Immo;;;;352-491245;;http://www.agest-immo.lu/;;;;;;;;Luxembourg
AKTIF;;;;352 26 58 35 66;;http://www.aktifimmo.lu/;https://www.facebook.com/pages/AKTIF-Immo-Gestion-S%C3%A0rl/457242867701183;;;;;;;Luxembourg
Andy Goedert;;;;27 766 066;;http://www.andygoedert.lu/;;;;;;;;Luxembourg
ARCADIA;;;;352 266 344 22;;http://www.arcadia.lu/;;;;;;;;Luxembourg
B&S Immobilière;;;;26 74 58 58;;http://www.bsimmo.lu/;;;;;;;;Luxembourg
BAT INVEST;;;;352 36 05 40 1;;http://www.batinvest.lu/;;;;;;;;Luxembourg
CIMA;;;;26 81 05 72;;http://www.cima.lu/;;;;;;;;Luxembourg
Claude Michels;;;;352 23 69 93 11;;http://www.michels.lu/;;;;;;;;Luxembourg
Crea Haus;;;;31 61 350;;http://www.creahaus.lu/;https://www.facebook.com/creahaus;;;;;;;Luxembourg
EasyGerance;31 rue de Bonnevoie;1260.0;Luxembourg;(+352) 28 99 43 27;;https://easygerance.lu/;https://www.facebook.com/easygerance.lu;;;;;;;Luxembourg
Eclipse Immobiliere;;;;352 26 52 36 40;;http://www.eclipse.lu/;;;;;;;;Luxembourg
Feller;;;;26 90 45 45;;http://www.feller.lu/;;;;;;;;Luxembourg
FELTES;;;;26 432 353;;http://www.feltes.eu/;;;;;;;;Luxembourg
Fidelis;;;;52 25 22;;http://www.fidelis.lu/;;;;;;;;Luxembourg
FMI Immobilier;;;;352 24 83 24;;http://www.fmi.lu/;;;;;;;;Luxembourg
FRIEDRICH;;;;+352 22 66 98 1;;http://www.immo-friedrich.lu/;;;;;;;;Luxembourg
g&v immo;;;;72 81 82;;http://www.gvimmo.lu/;https://www.facebook.com/gvimmo;;;;;;;Luxembourg
g&v immo;;;;26 53 73 21;;http://www.gvimmo.lu/;https://www.facebook.com/gvimmo;;;;;;;Luxembourg
G.R. IMMOTRUST;;;;54 54 27;;http://www.grimmo.lu/;;;;;;;;Luxembourg
GIL - Groupe Immobilier Luxembourg;;;;+352 25 20 25;;http://www.gil.lu/;https://www.facebook.com/groupeimmobilierluxembourg;;;;;;;Luxembourg
Hellers Gast Immobilière;;;;23 66 23 23;;http://www.hellers-immo.lu/;;;;;;;;Luxembourg
HOME Consult;;;;352 26 81 37 37;;http://www.home-consult.lu/;;;;;;;;Luxembourg
Home2b;;;;352 26 80 50 99;;http://www.home2b.lu/;https://www.facebook.com/pages/Home2b/179201102230289;;;;;;;Luxembourg
IC NORD;;;;352 26 19 67 52;;http://www.icnord.lu/;;;;;;;;Luxembourg
iKSL IMMOBILIER;;;;352 44 66 88 66;;http://www.iksl.lu/;https://www.facebook.com/IKSLimmobilier;;;;;;;Luxembourg
IMHOTOP S.A.;;;;(+352) 355 155;;http://www.gramme.lu/;;;;;;;;Luxembourg
IMMO MACEDO;;;;85 92 28;;http://www.immo-macedo.lu/;;;;;;;;Luxembourg
Immo National;;;;691 601 901;;http://www.immo-national.lu/;;;;;;;;Luxembourg
IMMO NORD;;;;26 811 911;;http://www.immonord.lu/;;;;;;;;Luxembourg
IMMO NORD;;;;26 811 982;;http://www.immonord.lu/;;;;;;;;Luxembourg
Immo Pro Concept;;;;20 99 26 66;;http://www.immoproconcept.lu/;;;;;;;;Luxembourg
Immo Shine;;;;352 22 12 87;;http://www.immoshine.lu/;;;;;;;;Luxembourg
Immo Wolz;;;;+352) 95 82 59 1;;http://www.immowolz.lu/;;;;;;;;Luxembourg
IMMO-CENTER;;;;352 26 88 05 96;;http://www.immo-center.lu/;;;;;;;;Luxembourg
Immobilien Guy Flener;;;;352 31 30 66;;http://www.igf.lu/;;;;;;;;Luxembourg
immobilière BUTGENBACH;;;;26 11 3 11;;http://www.immoforum.lu/;;;;;;;;Luxembourg
Immobilière Jean-Paul Lehnen;;;;817181;;http://www.immo-lehnen.lu/;;;;;;;;Luxembourg
Immobilière Lydia De Marco;;;;26.86.48.40;;http://www.lydiademarco.lu/;;;;;;;;Luxembourg
Immobilière Partner;;;;(+352) 26 997 007;;https://www.immopartner.lu/;https://www.facebook.com/Immopartnerlu/;;;;;;;Luxembourg
Immobilux;;;;352 621 148 148;;http://www.immobilux.lu/;;;;;;;;Luxembourg
IMMOFECC;;;;26 37 90 45;;http://www.immofecc.lu/;;;;;;;;Luxembourg
Immolino;;;;83 62 08;;http://www.immolino.lu/;;;;;;;;Luxembourg
IMMONEUF;;;;352 26 26 40;;http://www.immoneuf.lu/;;;;;;;;Luxembourg
Immoweiss;;;;352 99 83 61;;http://www.immoweiss.lu/;https://www.facebook.com/ImmoWeiss;;;;;;;Luxembourg
Inowai Property partners;;;;25 03 39;;http://www.inowai-residential.lu/;https://www.facebook.com/PropertyPartnersResidential;;;;;;;Luxembourg
ISK Real Estate Agency;;;;352 429 429;;http://www.isk.lu/;;;;;;;;Luxembourg
Iximmo;;;;352 26 61 83;;http://www.iximmo.lu/;;;;;;;;Luxembourg
J.P. Mangen S.à.r.l.;;;;352 25 16 17;;http://www.immomangen.lu/;;;;;;;;Luxembourg
Kehlux Immo;;;;26 10 33 64;;http://www.kehlux.lu/;;;;;;;;Luxembourg
KSI immobilière;;;;81 25 70 - 20;;http://www.ksi.lu/;;;;;;;;Luxembourg
Laforêt;;;;352 26 17 66 11;;http://www.laforet.lu/;https://www.facebook.com/laforet.immo.luxembourg;;;;;;;Luxembourg
Loft.lu;;;;352 26 54 11 22;;http://www.loft.lu/;;;;;;;;Luxembourg
logilux;;;;352 26 48 04 22;;http://www.logilux.lu/;;;;;;;;Luxembourg
Lucilinburhuc;;;;352 621 21 36 36;;http://www.963.lu/;;;;;;;;Luxembourg
MGA Immobilier;;;;352 27 76 75 44;;http://www.mgalux.lu/;https://www.facebook.com/MGALuxembourg;;;;;;;Luxembourg
MKA;;;;00352 26 31 00 08;;http://www.mka.lu/;;;;;;;;Luxembourg
New immo;;;;+352 26 44 11 11;;http://www.newimmo.lu/;;;;;;;;Luxembourg
Novimmo;;;;26 51 17 17;;http://www.novimmo.lu/;;;;;;;;Luxembourg
Op Der Gann;;;;352 26 55 01 43;;http://www.opdergann.lu/;;;;;;;;Luxembourg
Park Agence;;;;352 26 38 93 36;;http://www.parkagence.lu/;;;;;;;;Luxembourg
Paul Reinig;;;;80 83 23 1;;http://www.reinig.lu/;;;;;;;;Luxembourg
Planete Immobiliere;;;;27 33 45-1;;http://www.planete.lu/;;;;;;;;Luxembourg
PROMOVILLAS;;;;352 35 78 59;;http://www.promovillas.lu/;;;;;;;;Luxembourg
RE/MAX Luxembourg;;;;;;http://www.remax.lu/;https://www.facebook.com/remax.luxembourg;;;;;;;Luxembourg
