company_name;company_address;company_postalcode;company_city;company_phone;company_email;company_website;company_facebook;contact_firstname;contact_lastname;contact_email;contact_phone;contact_position;contact_linkedin
123webimmo.com;;;;;;http://123webimmo.com/;;;;;;;
3%.COM;45, allée du pressoir.;83700;SAINT RAPHAEL;04 94 17 57 28;;http://www.troispourcent.com/;;;;;;;
ACTIPRO;;;;;;http://www.actipro.org/;;;;;;;
Agence Principale;;;;;;http://www.agenceprincipale.com/;;;;;;;
Agences réunies;;;;;;http://www.agences-reunies.com/;https://www.facebook.com/AgencesReunies;;;;;;
AGENTYS;;;;;;http://www.agentys.com/;https://www.facebook.com/agentys;;;;;;
Anne Carole Immobilier;;;;;;http://www.annecarole.com/;https://www.facebook.com/AnneCarole.Immobilier;;;;;;
ART DEMEURE;;;;;;http://www.artdemeure.fr/;;;;;;;
Arthur Loyd - LR;;;;;;http://www.arthur-loyd-lr.com/;;;;;;;
Arthur Loyd France;;;;;;http://www.arthur-loyd.com/;;;;;;;
Assas Properties;;;;;;http://www.assas-properties.com/;;;;;;;
At Homeco;107 avenue Henri Fréville;35200;Rennes;;;http://www.at-homeco.fr/;https://www.facebook.com/annonces.immobilieres.at.homeco;;;;;;
Ateliers, Lofts & Associés;;;;;;http://www.ateliers-lofts.com/;https://www.facebook.com/atelierslofts;;;;;;
Audit Immobilier;25 Rue du Mal Foch;78000;VERSAILLES;;;http://www.audit-immobilier.fr/;;;;;;;
Azur Viager;;;;;;http://www.le-viager.fr/;;;;;;;
Barnes;;;;;;http://www.barnes-international.com/;;;;;;;
Billon Immobilier;;;;;;http://www.billon-immobilier.com/;;;;;;;
Burgundy4u;;;;;;http://www.burgundy4u.fr/;;;;;;;
CABINET BEDIN IMMOBILIER;;;;;;http://www.cabinet-bedin.com/;;;;;;;
Cabinet d'Affaires DAVID-DESCUBES;128 avenue de la Libération;86000;POITIERS;05 49 88 05 37;;http://www.agence-descubes.fr/;;;;;;;
Cabinet Mérieux;19 Rue Gambetta;42000;Saint-Étienne;"04 77 49 10 60
Twitter :";;http://www.merieux.fr/;;;;;;;
Canal Immobilier;;;;;;http://www.canal-immobilier.com/;;;;;;;
Carmen Immobilier;;;;;;http://www.carmen-immobilier.com/;;;;;;;
Carrez Immobilier;;;;;;http://www.carrezimmobilier.fr/;;;;;;;
CEH - Vente Fonds de Commerce;;;;;;http://www.ceh-france.com/;;;;;;;
Ceraga Immobilier;5, rue de la Gaucherie;18100;Vierzon;02.48.71.21.17;;http://www.ceraga-immobilier.com/;;;;;;;
Cetrim Immobilier;;;;;;http://www.cetrim.com/;;;;;;;
Chasseur Immobilier;;;;;;http://www.detectimmobilier.com/;;;;;;;
Chasseur immobilier;;;;;;http://www.cibles-et-biens.com/;;;;;;;
Cities Compagnie Internationale de Transactions Immobilières;;;;;;http://www.cities.fr/;;;;;;;
Citya Immobilier;;;;;;http://www.citya.com/;https://www.facebook.com/CITYA.Immobilier;;;;;;
Clé Or Immobilier;;;;;;http://www.cleor-immobilier.fr/;;;;;;;
Cofim;;;;;;http://www.cofim-immobilier.com/;;;;;;;
Coldwell Banker;;;;;;http://www.coldwellbanker.fr/;;;;;;;
Concorde Immobilier;;;;;;http://www.concordeimmobilier.com/;;;;;;;
Connexion Immobilier;;;;;;http://www.connexion-immobilier.com/;;;;;;;
Conseil Immobilier;;;;;;http://www.conseil-immobilier.net/;;;;;;;
Côté Acheteur;;;;;;http://www.coteacheteur.com/;;;;;;;
Coté particuliers;;;;;;http://www.coteparticuliers.com/;;;;;;;
CPH Immobilier : Transaction - Location - Gestion - Syndic;;;;;;http://www.cph.fr/;;;;;;;
Davril;;;;;;http://www.davril.fr/;;;;;;;
Elience;;;;;;http://www.elience.net/;;;;;;;
Elyse Avenue;41, quai Fulchiron;69005;LYON;04 72 77 17 17;;http://www.elyseavenue.com/;https://www.facebook.com/elyseavenue;;;;;;
Emile Garcin;;;;;;http://www.emilegarcin.fr/;;;;;;;
EOL;;;;;;http://www.entrepotonline.com/;;;;;;;
Epi;;;;;;http://www.immobilier-epi.com/;;;;;;;
ERA;42 bis, rue Berthier;78000;Versailles;01 39 24 69 00;;http://www.erafrance.com/;https://www.facebook.com/erafrance;;;;;;
Etude immobilière;;;;;;http://www.etude-immobiliere.com/;;;;;;;
FCImmo;;;;;;http://www.fcimmo.fr/;;;;;;;
Feralissimmo;;;;;;http://www.feralissimmo.fr/;;;;;;;
First immobilier;;;;;;http://www.first-immobilier.fr/;https://www.facebook.com/pages/First-Immobilier/264187740327067;;;;;;
Fonciere Lelievre;;;;;;http://www.fonciere-lelievre.com/;;;;;;;
Fonta;;;;;;http://www.fonta.fr/;;;;;;;
Fontenoy Groupe Immobilier;;;;;;http://www.fontenoy.com/;;;;;;;
FRANCE CHATEAUX - Immobilier de prestige;;;;;;http://www.france-chateaux.com/;;;;;;;
Frapimo;3 allée des acacias;35430;St Jouan des guérêts;;;http://www.frapimo.com/;https://www.facebook.com/frapimo;;;;;;
Futur Transactions;;;;;;http://www.futurtransactions.com/;;;;;;;
Groupe Equuleus;;;;;;http://www.equuleus.fr/;;;;;;;
Groupe IMM-NORD;;;;;;http://www.imm-nord.fr/;;;;;;;
Groupe immo 64;;;;;;http://www.immo64.fr/;;;;;;;
Groupe Mercure;44, Boulevard Carnot;31000;Toulouse;05 34 41 74 27;;http://www.groupe-mercure.fr/;https://www.facebook.com/Groupe.Mercure;;;;;;
Groupe Neyrat;34, Rue Général Leclerc;71100;CHALON SUR SAONE;03 85 48 90 12;;http://www.regie-neyrat.fr/;https://www.facebook.com/neyrat.immobilier;;;;;;
Groupe pierre immo;;;;;;http://www.groupepierreimmo.com/;;;;;;;
Groupement immobilier;;;;;;http://www.groupementimmo.com/;;;;;;;
GTI Immobilier;;;;;;http://www.gti-immobilier.fr/;;;;;;;
IEL - Conseil en immobilier d'entreprise pour la location, achat, vente ou investissement de bureaux;;;;;;http://www.iel.fr/;;;;;;;
Immo 2000;;;;;;http://www.unilova.fr/;;;;;;;
IMMO 5;;;;;;http://www.agencesimmo5.com/;;;;;;;
Immo de France;;;;;;http://www.immodefrance.com/;;;;;;;
IMMOBAT;;;;;;http://www.immobat.fr/;;;;;;;
Immobilier Auclair Champeau;4 avenue de la Paix;87120;EYMOUTIERS;;;http://www.fralimo.com/;;;;;;;
Immobilier Parisien;;;;;;http://www.immobilier-parisien.fr/;;;;;;;
Immobilière Bartholdi;;;;;;http://www.immo-bartholdi.com/;;;;;;;
Immobilière de Normandie;;;;;;http://www.immobiliere-normandie.com/;;;;;;;
IMMOCIAL;;;;;;http://www.immocial-transactions.com/;;;;;;;
Immoliaison;;;;;;http://www.immoliaison.fr/;;;;;;;
ImmoSky France;;;;;;http://www.immosky.fr/;;;;;;;
Immotions;;;;;;http://www.agenceimmotions.com/;https://www.facebook.com/pages/Agence-Immotions-Saint-Marcellin/118204731619608;;;;;;
IMOCONSEIL : le Réseau National Immobilier;;;;;;http://www.imoconseil.com/;https://www.facebook.com/IMOCONSEILFrance;;;;;;
John Taylor;;;;;;http://www.john-taylor.fr/;;;;;;;
Jones Lang LaSalle;;;;;;http://www.joneslanglasalle.fr/;;;;;;;
Kaufman & Broad;;;;;;http://www.ketb.com/;https://www.facebook.com/kaufmanetbroad;;;;;;
Keller Williams;;;;;;https://www.kwfrance.com/;https://www.facebook.com/KellerWilliamsFrance/;;;;;;
Korine Olivier;;;;;;http://www.korineolivier.com/;;;;;;;
L'Arbre immobilier;20 rue de Draveil;91261;JUVISY SUR ORGE;;;http://www.arbre-immobilier.fr/;;;;;;;
L'Immo Du Particulier;;;;;;http://www.immo-du-particulier.com/;;;;;;;
L'Immo Du Particulier. Le spécialiste de la transaction entre particuliers.;;;;;;http://www.immo-du-particulier.com/;;;;;;;
L'Immobilière;5, place Mirpied;18000;BOURGES;02 48 23 44 00;;http://www.limmobiliere-guignard.com/;;;;;;;
L'Immobilière;Résidence Sainte-Catherine Rue Porte aux Gédons;36000;CHATEAUROUX;02 54 08 07 06;;http://limmobiliere-guignard.com/;;;;;;;
La Manche Immobilier;;;;;;http://www.mancheimmobilier.fr/;;;;;;;
