company_name;company_address;company_postalcode;company_city;company_phone;company_email;company_website;company_facebook;contact_firstname;contact_lastname;contact_email;contact_phone;contact_position;contact_linkedin
3G IMMO-CONSULTANT;;;;;;http://www.3gimmobilier.com/;;;;;;;
Agent mandataire;23/25 rue J.J. Rousseau;75001;Paris;0 800 948 226;;http://www.agentmandataire.fr/;https://www.facebook.com/AgentMandataire/;;;;;;
Blue;46, rue Renée Clair;75018;Paris;0183771876;;https://www.lagenceblue.fr/;https://www.facebook.com/agenceblue/;;;;;;
BSK-Immobilier;;;;;;http://www.bskimmobilier.com/;;;;;;;
CAPI FRANCE;;;;;;http://www.capifrance.fr/;https://fr-fr.facebook.com/capifrance;;;;;;
Carte Blanche Immobilier;73 rue de la Bièvre;92340;Bourg-la-Reine;;;http://www.carteblancheimmobilier.fr/;;;;;;;
Comptoir Immobilier de France;95 rue rajol;34130;MAUGUIO;0467150515;;http://www.cif-immo.com/;https://www.facebook.com/Cifimmo34/;;;;;;
Hotim;;;;;;http://www.hotim.fr/;;;;;;;
Immo Réseau;Bât E n° 32 rue Robert Mallet Steven;30900;NIMES;;;http://www.immo-reseau.pro/;http://www.facebook.com/immoreseau;;;;;;
Jovimmo réseau d'agents immobiliers : 1670 annonces immobilières en France;;;;;;http://www.jovimmo-immobilier.com/;;;;;;;
La Compagnie des Agents;;;;;;http://www.agents-immo.fr/;;;;;;;
Maxi home;;;;;;http://www.maxihome.fr/;;;;;;;
Mon Chasseur immobilier;5 rue de Chazelles;75017;PARIS;;;http://www.monchasseurimmo.fr/;;;;;;;
Optimhome;;;;;;http://www.optimhome.com/;https://www.facebook.com/pages/Optimhome/123366127738427;;;;;;
Sextant France ;;;;;;http://www.sextantfrance.fr/;https://www.facebook.com/SextantFrance;;;;;;
Twitim;;;;;;http://www.twitim.fr/;;;;;;;
