company_name;company_address;company_postalcode;company_city;company_phone;company_email;company_website;company_facebook;contact_firstname;contact_lastname;contact_email;contact_phone;contact_position;contact_linkedin
Nestenn Ambérieu-en-Bugey;41 avenue du Général de Gaulle;01500;Amberieu-en-Bugey;04 74 46 03 70;;https://immobilier-amberieu-en-bugey.nestenn.com/;;;;;;;
Nestenn Meximieux;21 rue de la Gare;01800;Meximieux;04 28 41 00 00;;https://immobilier-meximieux.nestenn.com/;;;;;;;
Nestenn Montluel;205 Grande rue;01120;Montluel;04 78 29 74 06;;https://immobilier-montluel.nestenn.com/;;;;;;;
ABA immobilier;12, Grand’ Rue;01210;Ferney-Voltaire;04 50 40 81 81;;http://www.aba.fr/;https://www.facebook.com/AbaImmobilier;;;;;;
ABA immobilier;39, Place de l’Eglise;01220;Divonne-les-Bains;04 50 20 70 84;;http://www.aba.fr/;https://www.facebook.com/AbaImmobilier;;;;;;
ABA immobilier;3, rue de Genève;01630;Saint-Genis-Pouilly;04 50 42 78 05;;http://www.aba.fr/;https://www.facebook.com/AbaImmobilier;;;;;;
ABI Immobilier;4, av. Voltaire;01210;Ferney-Voltaire;04 50 40 84 04;;http://www.abi-immobilier.fr/;;;;;;;
ABI Immobilier;27, rue de Genève;01630;St-Genis-Pouilly;04 50 20 61 83;;http://www.abi-immobilier.fr/;;;;;;;
Agence Inside;Chemin du Bois Candide;01210;FERNEY VOLTAIRE;04 50 20 70 41;;http://www.immobilier-ferney-voltaire.com/;https://www.facebook.com/pages/Agence-Inside/219838974804702;;;;;;
Agence Serge Bastien;Rue des Bains;01220;DIVONNE les Bains;04-50-20-72-61;;http://www.bastien-fr.com/;https://www.facebook.com/pages/Agence-Serge-Bastien/256990487784423;;;;;;
Agir immobilier;16, rue Victor Hugo;01100;OYONNAX;04 74 77 13 68;;http://www.agir-immobilier.fr/;;;;;;;
Alienor immobilier;15 rue Louis et Auguste Lumière Technoparc;01630;SAINT-GENIS-POUILLY;0972 317 500;;http://www.alienorimmo.com/;;;;;;;
Arlim immobilier;4, boulevard des Combattants;01600;Trevoux;04 74 00 55 86;;http://www.arlim.com/;;;;;;;
Arpège Immobilier;231, Grande rue;01220;Divonne les Bains;04 50 42 81 17;;https://www.arpegeimmo.fr/;;;;;;;
Axium;63, Grande Rue;01300;Belley;04 79 87 83 18;;http://www.axium.fr/;https://www.facebook.com/axiumimmobilier/;;;;;;
BOISSON IMMOBILIER;Rue Marcel Vion;01800;MEXIMIEUX;04 74 61 47 37;;http://www.boisson-immobilier.fr/;;;;;;;
BONZY IMMOBILIER;146 avenue Charles de Gaulle;01300;BELLEY;04 79 42 56 70;;http://www.bonzy-immobilier.fr/;;;;;;;
Briseline Immobilier;Route d'Innimont;01680;Lhuis;04 74 39 86 48;;http://www.briseline.com/;;;;;;;
Bugey Immobilier;40, rue Aristide Briand;01500;AMBERIEU-EN-BUGEY;04 74 38 00 55;;http://www.bugeyimmobilier.com/;;;;;;;
Bugey Immobilier;3 grande Rue;01300;Belley;04 79 81 08 62;;http://www.bugeyimmo.com/;;;;;;;
Cabinet Nicole Angé;6 rue Amédée Bonnet;01500;AMBERIEU;04.74.38.42.05;;http://www.immograndlyon.com/;https://www.facebook.com/pages/Agence-immobili%C3%A8re-Lyon-Rh%C3%B4ne-Alpes-Cabinet-immobilier-Nicole-Ang%C3%A9/356554777701443;;;;;;
Casahome;12 impasse du prieuré;01700;Beynost;09 83 59 27 51;;http://www.casahome.fr/;https://www.facebook.com/pages/Casahome/186063778089024;;;;;;
Casaterra;141 Allée du Clos des Chênes;01480;Jassans-Riottier;04 74 09 83 52;;http://www.immo-casaterra.com/;;;;;;;
CENTURY 21 Agence du Lac;52 rue de Gex;01210;ORNEX;04 50 40 88 17;;http://www.century21-adl-ornex.com/;https://www.facebook.com/century21.agencedulac.ornex;;;;;;
Century 21 BDE-Immo;145 Grande Rue;01120;MONTLUEL;04 78 55 05 50;;http://www.century21bdeimmo.com/;https://www.facebook.com/pages/CENTURY-21-BDE-Immo-%C3%A0-Montluel/115531668467534;;;;;;
Century 21 L'Immobilière Jassans;1068 rue Edouard Herriot;01480;JASSANS RIOTTIER;04 74 60 80 10;;http://www.century21-immobiliere-jassans.com/;https://www.facebook.com/pages/CENTURY-21-LImmobili%C3%A8re-Jassans/121717607908688;;;;;;
Champanelle Immobilier;La samiane;01290;Crottet;03 85 23 16 02;;http://www.champanelleimmo.com/;;;;;;;
CONCEPT'IMMO;6 avenue Jean Falconnier;01350;CULOZ;0805 69 64 30;;http://www.concept-immo.pro/;;;;;;;
Cosi immobilier;13B chemin du levant Bât. Jean-Baptiste Say;01210;Ferney-Voltaire;0450 41 20 09;;http://www.cosi-immo.com/;;;;;;;
Cotière habitat;38 Place Laurent Ferrand;01160;PRIAY;0474352844;;http://www.cotierehabitat.fr/;;;;;;;
Divonne Immobilier;1, Grande Rue;01220;Divonne-les-Bains;04 50 20 01 80;;http://www.divonneimmo.com/;;;;;;;
Eclipse immobilier;27 route de Bourg;01310;POLLIAT;04.74.25.88.21;;http://www.eclipseimmo.fr/;;;;;;;
Eden Immobilier Ornex;Les Arcades d'Ornex;01210;ORNEX;04 50 42 83 78;;http://www.edenimmobilier-ornex.com/;https://www.facebook.com/pages/EDEN-Immobilier-Ornex-Partenaire-du-r%C3%A9seau-Swixim/160284583983693;;;;;;
Era Altea immobilier;10 rue Aristide-Briand;01500;Ambérieu-en-Bugey;"04 74 38 53 53
Twitter :";;http://www.altea-immobilier.fr/;;;;;;;
ERA ALTEA IMMOBILIER;10 rue Aristide Briand;01500;Amberieu en Bugey;0474385353;;http://www.era-immobilier-amberieu-en-bugey.fr/;;;;;;;
Gestion et patrimoine;32 rue Gilbert Boullier;01330;Villars les Dombes;04 74 98 08 55;;http://www.gestionetpatrimoine.com/;;;;;;;
GPS Immobilier Gestion Patrimoine Services Immobilier;78 Route de Genève;01700;BEYNOST;04.78.55.90.81;;http://www.gps-immobilier.com/;;;;;;;
Grasset Immobilier;169, rue Anatole France;01100;Oyonnax;04.74.81.83.02;;http://www.grasset-immobilier.com/;;;;;;;
Guy Hoquet l'Immobilier Trévoux;10 Grande Rue;01600;Trévoux;04 74 00 25 25;;http://www.guyhoquet-immobilier-trevoux.com/;;;;;;;
i2cimmobilier;13 Grande rue;01210;Ferney-Voltaire;"04 50 40 40 20
Twitter :";;http://www.i2cimmobilier.com/;;;;;;;
Ific international;13 Chemin du Levant;01218;Ferney Voltaire;04 50 40 45 42;;http://www.ific.fr/;;;;;;;
Immo de France Ain;;;;;;http://www.immofranceain.com/;;;;;;;
Immobilac;45 Centre d'Aumard;01210;Ferney Voltaire;04 50 28 44 30;;http://www.immobilac.com/;https://www.facebook.com/pages/Immobilac/432010190153042;;;;;;
Immobilis;68 rue Anatole France;01100;Oyonnax;04 74 73 48 13;;http://www.agence-immobilis.com/;;;;;;;
IMMOBRESSE;19 Grande Rue;01340;MONTREVEL EN BRESSE;04.74.50.23.87;;http://www.immo-bresse.fr/;https://www.facebook.com/agence.immobresse;;;;;;
IMOGROUP - AGENCE DESBENOIT;6, rue Alexandre Berard;01500;Amberieu;04 74 34 06 44;;http://www.imogroup-amberieu.com/;;;;;;;
Laforêt Immobilier Amberieu Bugey Immobilier;78 avenue Roger Salengro Quartier Gare;01500;AMBERIEU EN BUGEY;04.74.40.01.01;;http://www.laforet-immobilier-amberieu.com/;;;;;;;
Lagnieu Immobilier;11 Place des Fontaines d'Or;01150;Lagnieu;0474358857;;http://www.lagnieu-immobilier.com/;;;;;;;
Lanchamp Immobilier;4 rue de la République;01200;BELLEGARDE;04 50 56 39 22;;http://www.immobilier-seyssel.com/;;;;;;;
Landecy & Associés;76 Grande Rue;01220;DIVONNE LES BAINS;"04 50 99 01 20
Twitter :";;http://www.landecy.fr/;;;;;;;
Landecy & Associés;27 av Jura;01210;FERNEY VOLTAIRE;"04 50 42 62 64
Twitter :";;http://www.landecy.fr/;;;;;;;
Landecy & Associés;Val Thoiry;01710;THOIRY;"04 50 20 88 32
Twitter :";;http://www.landecy.fr/;;;;;;;
LODGE immobilier;13 Chemin du Levant;01210;Ferney Voltaire;;;http://www.lodgeimmo.com/;;;;;;;
Mahieu immobilier;12 chemin des hutins;01170;Chevry;09 72 40 98 11;;http://www.mahieu-immobilier.com/;https://www.facebook.com/Mahieu.Immobilier/;;;;;;
Métier Immobilier;57 Grande Rue;01300;Belley;04 79 42 31 55;;http://www.metier-immobilier.fr/;;;;;;;
