company_name;company_address;company_postalcode;company_city;company_phone;company_email;company_website;company_facebook;contact_firstname;contact_lastname;contact_email;contact_phone;contact_position;contact_linkedin
Nestenn Anizy-le-Chateau;2 rue de l'Aigle Noir;02320;Anizy-le-Chateau;03 23 24 05 00;;https://immobilier-anizy.nestenn.com/;;;;;;;
Nestenn Chateau-Thierry;3 Quai de la Poterne;02400;Chateau-Thierry;03 23 83 00 86;;https://immobilier-chateau-thierry.nestenn.com/;;;;;;;
Nestenn Guignicourt;14 Rue Ehrard de Nazelle;02190;Guignicourt;03 23 20 35 92;;https://immobilier-guignicourt.nestenn.com/;;;;;;;
Agence Boilot;2 Place de l'Hôtel de Ville;02400;CHATEAU-THIERRY;03.23.83.02.56;;http://www.agence-boilot.com/;;;;;;;
Agence Carnot Immobilier;12 place de la République;02130;Fère en tardenois;"03 23 82 29 86
RSS :";;http://www.carnotimmobilier.fr/;;;;;;;
Agence de la Salamandre;;;;"03 23 53 69 46
RSS :";;http://www.salamandre-immobilier.fr/;;;;;;;
Arthurimmo Agence Centrale;17, Place du Docteur Mouflier;02600;Villers Cotterets;03 23 96 05 93;;http://www.agcentraleimmo.com/;;;;;;;
ARTHURIMMO.COM CHAUNY;2a rue Arthur Lacroix;02300;Chauny;"03 23 37 00 00
Twitter : RSS :";;http://www.arthurimmo-chauny.com/;;;;;;;
Aximmo Immobilier;3 RUE DU BEFFROI;02200;Soissons;03 23 93 02 49;;http://www.aximmo.com/;;;;;;;
Bruyère Immobilier;20 rue Raoul de coucy;02140;Vervins;03 23 58 10 10;;https://www.bruyere-immobilier.com/;https://www.facebook.com/pages/BRUYERE-IMMOBILIER-LOCATION/260896540593465;;;;;;
Bruyère Immobilier;1 place E.Villemant;02500;Hirson;"03 23 91 05 61
Twitter :";;https://www.bruyere-immobilier.com/;;;;;;;
Cathédrale Immobilier;20 rue de Panleu;02200;Soissons;03 23 73 24 49;;http://www.cathedrale-immobilier.fr/;https://www.facebook.com/CathedraleImmobilier;;;;;;
Catherine Candat;11, rue du Général de Gaulle;02400;CHATEAU THIERRY;03.23.83.19.89;;http://www.candat-immobilier.fr/;;;;;;;
CENTURY 21 Immobilis;45 rue de la République;02300;CHAUNY;03 23 38 12 86;;http://www.century21-immobilis-chauny.com/;https://www.facebook.com/pages/Century-21-Immobilis-%C3%A0-Chauny/159257324087049;;;;;;
CENTURY 21 L.S. Immobilier;10 boulevard Paul Doumer;02200;SOISSONS;03 23 55 81 60;;http://www.century21-lsi-soissons.com/;https://www.facebook.com/century21.ls.immobilier.soissons;;;;;;
Courtois Immobilier;87 rue Pasteur;02000;LAON;03.23.20.17.55;;http://www.courtois-immobilier.com/;;;;;;;
Guy Hoquet Soissons;4 rue Saint Christophe;02200;Soissons;03 23 76 24 41;;http://www.guyhoquet-immobilier-soissons.com/;https://www.facebook.com/pages/Guy-Hoquet-lImmobilier-Soissons/171875716239407;;;;;;
Immobilier Laon;23 rue Eugene Leduc;02000;Laon;03 23 29 00 62;;http://www.immolaon.fr/;;;;;;;
Kris immobilier;Place de la Mairie;02310;Montreuil aux lions;03.23.70.41.35;;http://www.kris-immobilier.com/;;;;;;;
L B Immobilier;Parc Gouraud 12 Allée des Nobel;02200;SOISSONS;03 23 75 22 82;;http://www.lb-immobilier-soissons.com/;;;;;;;
L'agence Immobilier;42 B rue du Martroy;02220;BRAINE;03 23 53 07 43;;http://www.lagence-immobilier.fr/;;;;;;;
Laforêt Immobilier Chateau Thierry;18, rue Carnot;02400;CHATEAU-THIERRY;03.23.84.08.35;;http://www.laforet-immobilier-chateau-thierry.com/;https://www.facebook.com/laforet.chateau.thierry;;;;;;
Lepercq;4 rue Alexandre Dumas;02602;VILLERS-COTTERETS;03 23 96 62 11;;http://www.agence-lepercq.fr/;;;;;;;
M immobilier;3 Place du marché;02310;NOGENT L'ARTAUD;03.23.70.09.15;;http://www.m-immobilier.fr/;;;;;;;
Office Général;82, Grande Rue;02400;Château-Thierry;03 23 83 27 68;;http://www.office-general.fr/;;;;;;;
