company_name;company_address;company_postalcode;company_city;company_phone;company_email;company_website;company_facebook;contact_firstname;contact_lastname;contact_email;contact_phone;contact_position;contact_linkedin
ADVENIER IMMOBILIER;21 Grande rue;03800;GANNAT;04 70 90 28 78;;http://www.advenierimmobilier.fr/;;;;;;;
Agence De La Pierre Immobilier;4 Place de l'Hôtel de Ville;03160;BOURBON L'ARCHAMBAULT;04.70.67.02.74;;http://www.immoallier.fr/;;;;;;;
Agence spohn villeroy;11 rue de Metz;03500;St Pourçain sur Sioule -;04 70 47 47 68;;http://www.agencespohnvilleroy.com/;https://www.facebook.com/Cabinet-Spohn-Villeroy-Moulins-244200645639525/;;;;;;
Bellerive IMMO;1 Place de la paix;03700;Bellerive-sur-Allier;04-70-41-08-01;;https://www.belleriveimmo.fr/;https://www.facebook.com/bellerive.immo.agence.immobiliere.vichy/;;;;;;
CENTURY 21 Lefèbvre Immobilier;11 avenue Sinturel;03500;ST POURCAIN SUR SIOULE;04 70 45 30 68;;http://www.century21lefebvreimmobilier.com/;https://www.facebook.com/pages/CENTURY-21-Lef%C3%A8bvre-Immobilier/104732756226014;;;;;;
Century21 agence-girard;6 Place des Anciens d'AFN;03800;GANNAT;04 70 90 00 69;;http://www.century21agence-girard.com/;https://www.facebook.com/century21.agence.girard.gannat;;;;;;
Concept Immo Moulins et environs;4 Place Carnot;03500;St Pourçain Sur Sioule;04 70 20 02 45;;http://www.conceptimmo-moulins.fr/;https://www.facebook.com/LochonBenoitImmo/;;;;;;
Cussinet Ferme and Farm;6 rue des Forges;03330;BELLENAVES;04.70.58.32.82;;http://cussinetfermeandfarm.com/;;;;;;;
Cussinet Immo;6 rue des Froges;03330;Bellenaves;04.70.58.32.82;;http://www.cussinetimmo.com/;;;;;;;
Cussinet Immo;Place de la Mairie;03140;Chantelle;04.70.56.73.66;;http://www.cussinetimmo.com/;;;;;;;
Egidimmo;5 Avenue Aristide Briand;03200;VICHY;04 70 90 71 53;;http://www.egidimmo.fr/;;;;;;;
French Country Homes;1, avenue Fernand Auberger;03700;Bellerive-sur-Allier;04 70 32 82 21;;http://www.frenchcountryhomes.com/;;;;;;;
Immo Partenaires;15 rue Paul Bert;03500;Saint Pourcain-sur-Sioule;04 70 47 26 39;;http://www.immopartenaires.fr/;;;;;;;
Immo Partenaires;84 Grande Rue;03800;Gannat;04 70 56 76 95;;http://www.immopartenaires.fr/;;;;;;;
Jouan Immobilier;15 Cours de la République;03800;Gannat;04.70.90.05.01;;http://www.immocentrefrance.fr/;;;;;;;
Jouan Immobilier;190 Rue Nationale;03290;Dompierre-sur-Besbre;09 62 14 24 38;;http://www.immocentrefrance.fr/;;;;;;;
Jouan Immobilier;1 Rue Jean Jaurès;03150;Varennes-sur-Allier;04 70 45 42 57;;http://www.immocentrefrance.fr/;;;;;;;
Jouan Immobilier;1 Place Jean Jaurès;03160;Ygrande;04 70 66 31 16;;http://www.immocentrefrance.fr/;;;;;;;
Le Lys Bourbonnais;13 chemin des Gravoches;03500;Châtel-de-Neuvre;04 70 42 02 38;;http://www.demeure.biz/;https://www.facebook.com/pages/Le-Lys-Bourbonnais-immobilier/359365734156686;;;;;;
Ma maison en France;;;;;;http://www.mamaisonenfrance.com/;;;;;;;
Transaxia;24 rue de la République;03430;Cosne d'Allier;04 70 07 28 24;;http://www.transaxia-cosne-d-allier.fr/;;;;;;;
Transaxia;3 Place du Monument aux morts;03380;Huriel;0214000652;;http://www.transaxia-huriel.fr/;;;;;;;
Transaxia;198 Rue Nationale;03290;Dompierre sur Besbre;;;http://www.transaxia-dompierre-sur-besbre.fr/;;;;;;;
Transaxia;1 rue Gambetta;03170;Doyet;;;http://www.transaxia-doyet.fr/;;;;;;;
Transaxia;24 Boulevard Gambetta;03320;Lurcy Levis;;;http://www.transaxia-lurcy-levis.fr/;;;;;;;
Transaxia;40 rue Apienne;03100;Montluçon;04 70 29 52 26;;http://www.transaxia-montlucon.fr/;;;;;;;
Transaxia;;;;;;http://www.transaxia-vallon-sully.fr/;;;;;;;
Yzeure Immobilier;19, place Jules Ferry;03400;YZEURE;04.70.35.25.26;;http://www.yzeure-immobilier.fr/;;;;;;;
Transaxia;24 rue de la République;03430;Cosne d'Allier;04 70 07 28 24;;http://www.transaxia-cosne-d-allier.fr/;;;;;;;
Transaxia;3 Place du Monument aux morts;03380;Huriel;0214000652;;http://www.transaxia-huriel.fr/;;;;;;;
Transaxia;198 Rue Nationale;03290;Dompierre sur Besbre;;;http://www.transaxia-dompierre-sur-besbre.fr/;;;;;;;
Transaxia;1 rue Gambetta;03170;Doyet;;;http://www.transaxia-doyet.fr/;;;;;;;
Transaxia;24 Boulevard Gambetta;03320;Lurcy Levis;;;http://www.transaxia-lurcy-levis.fr/;;;;;;;
Transaxia;40 rue Apienne;03100;Montluçon;04 70 29 52 26;;http://www.transaxia-montlucon.fr/;;;;;;;
Transaxia;;;;;;http://www.transaxia-vallon-sully.fr/;;;;;;;
Yzeure Immobilier;19, place Jules Ferry;03400;YZEURE;04.70.35.25.26;;http://www.yzeure-immobilier.fr/;;;;;;;
