company_name;company_address;company_postalcode;company_city;company_phone;company_email;company_website;company_facebook;contact_firstname;contact_lastname;contact_email;contact_phone;contact_position;contact_linkedin
Nestenn Mandelieu La Napoule;601 Avenue de Fréjus - Paul Ricard (RN7);06210;Mandelieu la Napoule;04 22 32 95 15;;https://immobilier-mandelieu.nestenn.com/;;;;;;;
Nestenn Menton;28 avenue Carnot;06500;Menton;04 93 96 52 40;;https://immobilier-menton.nestenn.com/;;;;;;;
100% Immo;4 rue des Arbousiers;06510;Carros;04 22 13 54 00;;http://www.100immo.fr/;;;;;;;
100%immo;175 ROUTE DE LA MANDA;06510;GATTIERES;04 22 13 54 00;;http://www.100immo.fr/;;;;;;;
43°N 2°E;38 Avenue Georges Clemenceau;06220;VALLAURIS - GOLFE-JUAN;;;http://www.immobilier-vallauris-golfejuan.com/;;;;;;;
ABBA GESTION;336/1, Chemin de Provence;06250;MOUGINS;04 92 18 70 70;;http://www.abbagestion.com/;;;;;;;
ACOM-IMMO;20, Rue Georges Clémenceau;06480;La Colle sur Loup;04 92 11 01 02;;http://www.acom-immo.com/;;;;;;;
Acte Immobilier;4 chemin des Pierres du Moulin;06650;Le Rouret;04 93 09 45 88;;http://www.acte-immobilier.com/;;;;;;;
Aequalis Immobilier;915 Avenue du Général De Gaulle;06700;Saint Laurent du Var;04 93 07 13 47;;http://www.aequalis-immobilier.com/;https://www.facebook.com/pages/Aequalis-Immobilier-St-Laurent-du-Var/430718846978386;;;;;;
AFIM;7 Impasse du stade;06320;CAP D'AIL;04 93 78 19 19;;http://www.afimfrance.com/;;;;;;;
AGENCE ARVIM;39, avenue de Tournamy;06250;MOUGINS;04 92 92 04 34;;http://www.arvim.com/;;;;;;;
Agence Bristol;1, rue Georges Clémenceau;06310;BEAULIEU-SUR-MER;04.93.01.00.86;;http://www.agencebristol.com/;https://www.facebook.com/pages/Agence-Bristol/171820386161766;;;;;;
Agence Carnot;22 avenue Carnot;06500;MENTON;04 93 35 97 80;;http://www.immobilier-carnot.fr/;;;;;;;
AGENCE CENTRALE;Les Hauts de Vaugrenier 1 Rue des Commerces;06270;Villeneuve Loubet;04 92 13 46 00;;http://www.agence-centrale.net/;;;;;;;
Agence Courrin Lancelot;23 bd. du Jeu de Ballon;06130;Grasse;04 93 40 28 22;;http://www.agencecourrin.fr/;;;;;;;
Agence de l'Hippodrome;33, boulevard Kennedy;06800;Cagnes sur Mer;04 93 20 12 91;;http://www.agence-hippodrome.com/;https://www.facebook.com/pages/Agence-de-lHippodrome-Cagnes-Sur-Mer/183980368384096;;;;;;
Agence de L'olivier;Rue Grande;06560;VALBONNE;04 93 12 10 33;;http://www.agenceolivier.com/;;;;;;;
