company_name;company_address;company_postalcode;company_city;company_phone;company_email;company_website;company_facebook;contact_firstname;contact_lastname;contact_email;contact_phone;contact_position;contact_linkedin
ADS Immo;3, bld de la 2ème DI;08300;Rethel;03 24 38 37 26;;http://www.ads-immo.fr/;;;;;;;
Arden'Immobilier;10 avenue Jean Jaurès;08300;Rethel;03 24 38 24 81;;http://www.ardenimmobilier.com/;https://www.facebook.com/Arden-Immobilier-271048199685665/app/152779944769863;;;;;;
Arthurimmo HENRYON IMMOBILIER;53 rue Etienne Dolet;08000;Charleville Mezieres;"03 24 36 00 56
RSS :";;http://www.charleville-arthurimmo.com/;;;;;;;
Domicile Immo;14, rue des Graviers;08700;Nouzonville;;;http://www.domicileimmo-ardennes.fr/;;;;;;;
Expert immo 08;78 rue pasteur;08800;MONTHERME;;;http://www.expert-immo08.com/;;;;;;;
Fischer Immobilier;76 Rue Bourbon;08000;Charleville-Mézières;03 24 26 41 41;;http://www.fischer-immobilier.fr/;;;;;;;
Guy Hoquet CHARLEVILLE MEZIERES;3, rue du DAGA;08000;CHARLEVILLE MEZIERES;03.24.33.00.50;;http://www.guyhoquet-immobilier-charleville-mezieres.com/;;;;;;;
ILL;41, place Ducale;08000;CHARLEVILLE-MEZIERES;03 24 59 22 22;;http://www.ill-immobilier.fr/;;;;;;;
ILL;33, rue Gambetta;08600;GIVET;03 24 27 82 50;;http://www.ill-immobilier.fr/;;;;;;;
Immo france;34 r Théâtre;08000;CHARLEVILLE MEZIERES;03.24.33.32.86;;http://www.immo-france.com/;;;;;;;
ING Immobilier Nouvelle Génération;22 Avenue Jean-Jaurès;08000;Charleville-Mézières;03.24.56.37.37;;http://www.agence-ing.fr/;;;;;;;
JD IMMOBILIER;18, place de la Halle;08200;SEDAN;0310438289;;http://www.jd-immobilier08.fr/;;;;;;;
JML-Immobilier;42 rue du théatre;08000;Charleville-Mézières;03.24.37.15.68;;http://jml-immobilier.fr/;;;;;;;
Justimmo 08;4, Avenue de St Julien;08103;CHARLEVILLE-MEZIERES;;;http://www.justimmo08.fr/;;;;;;;
L'Immobilière;6 Avenue Georges Corneau;08000;Charleville-Mézières;03.24.33.11.54;;http://www.immobilierardennes.com/;;;;;;;
Lempereur Immobilier;17, bis Rue de Rethel;08460;SIGNY-L'ABBAYE;03 24 54 58 58;;http://www.immobilier-lempereur.net/;;;;;;;
Nais Sorema;33 avenue Leclerc;08200;SEDAN;03 24 42 21 43;;http://www.nais-immo.fr/;https://www.facebook.com/naissorema;;;;;;
SEFAC;19 Boulevard Gambetta;08106;Charleville-Mézières;03.24.33.06.05;;http://www.sefac-immo.com/;;;;;;;
Toutabitat;39, Avenue Forest;08000;Charleville-Mézières;0324262892;;http://www.toutabitat.com/;https://www.facebook.com/agence.toutabitat;;;;;;
Turenne Immo;18, rue Gambetta;08200;SEDAN;03 24 32 76 47;;http://www.turenne-immo.fr/;https://www.facebook.com/Turenne-IMMO-731076567056218/;;;;;;
