company_name;company_address;company_postalcode;company_city;company_phone;company_email;company_website;company_facebook;contact_firstname;contact_lastname;contact_email;contact_phone;contact_position;contact_linkedin
Abita Immobilier;Pont Valgelas;07100;ANNONAY;04 75 69 70 00;;http://www.abitaimmobilier.com/;;;;;;;
Agence Ardèche Sud Immobilier;8 Place du Général de Gaulle;07200;Aubenas;04 75 35 97 77;;http://www.07aasi.fr/;;;;;;;
Agence Houbron immobilier;3, pl de la Madeleine;07700;BOURG St ANDEOL;04 75 54 82 56;;http://www.houbron-immobilier.net/;;;;;;;
Agence Pierre Francois;;;;0475386549;;http://www.ardechimmo.com/;;;;;;;
Agence Saint Martin;72 Rue de la République;07400;LE TEIL;0475522048;;http://www.agence-saint-martin.fr/;https://www.facebook.com/agencesaint.martin/;;;;;;
AGENCE TOURRE;2 rue nationale 2 rue du bac;07120;RUOMS;04 75 39 73 70;;http://www.agencetourre.com/;;;;;;;
Alo Immo;Quartier de Ladreyt;07240;Vernoux en vivarais;0475582711;;http://www.alo-immo.com/;https://www.facebook.com/aloimmo;;;;;;
ANNONAY IMMOBILIER;Les Domaines de la Gare;07100;ANNONAY;04 75 33 43 70;;http://www.annonayimmobilier.com/;;;;;;;
ANNONAY IMMOBILIER;3 Place Bochirol;07370;SARRAS;04 75 31 56 51;;http://www.annonayimmobilier.com/;;;;;;;
APImmobilier;Quai Jules Roche;07340;SERRIERES;04 75 34 31 91;;http://www.pilat-immobilier.com/;https://www.facebook.com/pages/AP-Immobilier/157491404368561;;;;;;
APLIMMO;87 Rue de la république;07400;LE TEIL;09.50.95.51.91;;http://www.aplimmo.fr/;;;;;;;
Ardèche Immobilier;1 RUE DIANE DE POITIERS;07000;PRIVAS;04 75 64 20 90;;http://www.ardecheimmo.fr/;;;;;;;
Ardèche Pro Immo;38 Boulevard Gambetta,;07200;Aubenas;04 75 36 66 31;;https://www.ardeche-pro-immobilier.fr/;https://www.facebook.com/Arde%CC%80che-Pro-Immo-101289664706372/;;;;;;
ARDECHE TRANSACTIONS;5 Rue Frédéric Mistral;07700;Bourg St Andeol;04.75.54.82.47;;http://www.immobilierbourgstandeol.com/;;;;;;;
Arthurimmo terre d'Ardèche;550 Avenue Martin Sauze,;07170;Lavilledieu;04 75 36 81 28;;http://www.terredardeche-arthurimmo.com/;https://www.facebook.com/terredardeche.immobilier.lavilledieu/;;;;;;
Cabinet des Cordeliers;12, place des Cordeliers;07100;ANNONAY;04 75 33 29 90;;http://www.cabinet-des-cordeliers.fr/;;;;;;;
CENTURY 21 Agence Nogier;20 boulevard Pasteur;07200;AUBENAS;04 75 93 25 60;;http://www.century21agencenogier.com/;https://www.facebook.com/pages/CENTURY-21-Agence-Nogier/107510002605378;;;;;;
