company_name;company_address;company_postalcode;company_city;company_phone;company_email;company_website;company_facebook;contact_firstname;contact_lastname;contact_email;contact_phone;contact_position;contact_linkedin
Agence Armance Immobilier;15, Grande Rue;10130;Auxon;03.25.70.96.50;;http://www.agencearmance.com/;;;;;;;
Agence de la Boule d'Or;14 Rue de la Boule d'Or;10100;ROMILLY SUR SEINE;03.25.24.33.33;;http://www.agencebouledor.com/;;;;;;;
Agence des Lacs;44 Rue de l'Ecole Militaire;10500;Brienne le Château;03 25 92 63 78;;http://www.agence-des-lacs.com/;;;;;;;
Antea immobilier;4 Avenue Galliéni;10300;SAINTE SAVINE;03 25 45 30 30;;http://www.anteaimmobilier.fr/;;;;;;;
Aube Staging;79 rue de la republique;10510;Origny le Sec;03 25 21 35 12;;http://www.aubestaging.com/;;;;;;;
Avenir immobilier;6 rue Pierre Brossolette (place de l'Eglise);10160;Aix en Othe;03.25.40.88.88;;http://www.avenirimmob.com/;;;;;;;
C.A.I.G;24, rue Gornet Boivin;10100;ROMILLY-SUR-SEINE;03.25.24.88.25;;http://www.caig.fr/;https://www.facebook.com/pages/CAIG/602941649724997;;;;;;
C.A.I.G;120, Route Nationale;10200;BAR-SUR-AUBE;03.25.27.24.09;;http://www.caig.fr/;https://www.facebook.com/pages/CAIG/602941649724997;;;;;;
CABINET CENTRAL IMMOBILIER;4 RUE BOULE D'OR;10100;ROMILLY SUR SEINE;03.25.24.73.66;;http://www.centralimmobilier.com/;;;;;;;
Champignolle immo;56 Rue du General Leclerc;10600;Villacerf;;;http://www.champignolleimmo.com/;;;;;;;
Dao Immobilier;113 avenue du Général Gallieni;10300;STE SAVINE;;;http://www.dao-immobilier.fr/;;;;;;;
Eurofoncière;44 Avenue Tricoche Maillard;10160;Aix-en-Othe;03 25 46 47 48;;http://www.euro-fonciere.com/;;;;;;;
Immobilière Euro foncière;18 Grande Rue Saint-Laurent;10400;Nogent-sur-Seine;03 25 25 20 00;;http://www.euro-fonciere.com/;;;;;;;
Prieur Immobilier;51 rue henri dunant;10800;st julien les villas;03 25 49 19 83;;http://www.prieur-immobilier.fr/;;;;;;;
Romilly immo;26 rue de la Boule d'Or;10100;Romilly-sur-Seine;03.25.25.09.65;;http://www.romilly-immo.com/;;;;;;;
Smart Immo;69 avenue du Général Gallieni;10300;Ste savine;;;http://www.agence-smartimmo.com/;https://www.facebook.com/Smart-Immo-464541717253864/;;;;;;
