company_name;company_address;company_postalcode;company_city;company_phone;company_email;company_website;company_facebook;contact_firstname;contact_lastname;contact_email;contact_phone;contact_position;contact_linkedin
Nestenn Carcassonne;76 allée d'Iéna;11000;Carcassonne;04 68 71 57 27;;https://immobilier-carcassonne.nestenn.com/;;;;;;;
3L IMMOBILIER;RUE DU LAURAGAIS - SOUILHANELS;11400;CASTELNAUDARY;04 68 60 07 99;;http://www.3limmobilier.fr/;;;;;;;
ABESSAN Immobilier;3 Place de la République;11300;LIMOUX;"04 67 29 73 55
Twitter :";;http://www.abessan.fr/;;;;;;;
Abessan Immobilier;10 Allée de Bezons;11000;CARCASSONNE;04 67 29 73 55;;http://www.abessan.fr/;https://www.facebook.com/pages/Agence-Abessan-Immobilier/323645394322202;;;;;;
Acasat Immobilier;40 avenue Docteur Henri Gout;11000;Carcassonne;04 68 10 91 81;;https://www.acasat-immobilier.com/;https://www.facebook.com/acasat.immobilier/;;;;;;
Accés Immobilier;27 avenue Pasteur;11800;TREBES;04.68.78.53.20;;http://www.acces-immobilier.com/;https://www.facebook.com/pages/ACCES-IMMOBILIER/132176470136808;;;;;;
Agence Alizés;849, Bd Pech Maynaud;11430;Gruissan;04 68 49 62 20;;http://www.immobiliergruissan.com/;;;;;;;
Agence Aulis;9 Bd des Embruns;11560;St Pierre la Mer;04 68 49 38 46;;http://www.agenceaulis.com/;;;;;;;
Agence Aulis;80, ave de Fleury;11110;Salles d'Aude;04 68 33 65 15;;http://www.agenceaulis.com/;;;;;;;
Agence Aulis;1 rue de la Poste;11560;Fleury d'Aude;04 68 33 31 44;;http://www.agenceaulis.com/;;;;;;;
Agence Boixadera;4 bd Dr Ferroul;11100;NARBONNE;04 68 32 08 06;;http://www.boixadera.fr/;;;;;;;
Agence du golfe;9 Bd Pierre Brossolette;11560;St Pierre La Mer;04 68 75 20 12;;http://www.agencedugolfe.fr/;;;;;;;
Agence du Soleil;1 rue des Acacias Les Ibis;11560;Saint Pierre La Mer;04-68-91-43-10;;http://www.agencedusoleil.com/;;;;;;;
Agence du Soleil;42 avenue de Narbonne;11130;Sigean;04-68-48-82-25;;http://www.agencedusoleil.com/;;;;;;;
Agence du Soleil;168 avenue de la Mer;11210;Port La Nouvelle;04-68-48-00-71;;http://www.agencedusoleil.com/;;;;;;;
Agence du Soleil;Place des Menhirs;11430;Port Gruissan;04-68-49-01-57;;http://www.agencedusoleil.com/;;;;;;;
Agence du Soleil;7 bd Gambetta;11100;Narbonne;04-68-32-17-09;;http://www.agencedusoleil.com/;;;;;;;
Agence Gambetta;15 bis Bd Gambetta;11103;Narbonne;04 68 65 05 44;;http://www.agencegambetta.com/;;;;;;;
Agence Hamilton;30, rue Armagnac;11000;CARCASSONNE;04 68 72 48 38;;http://www.hamiltonimmo.com/;;;;;;;
Agence Ibis;Place de Vergnettes;11560;Saint-Pierre la Mer;04 68 75 20 20;;http://www.ibis-immobilier.com/;;;;;;;
Agence immobilière du Pont Vieux;2 Esplanade François Mitterrand;11300;LIMOUX;04 68 31 54 08;;http://www.agencedupontvieux.com/;;;;;;;
Agence Immobilière du Port;Rue du Dour Port Leucate;11370;Leucate;04 68 40 46 46;;http://aiduport.fr/;;;;;;;
