company_name;company_address;company_postalcode;company_city;company_phone;company_email;company_website;company_facebook;contact_firstname;contact_lastname;contact_email;contact_phone;contact_position;contact_linkedin
Nestenn Lingolsheim;28A rue du Maréchal Foch;67380;Lingolsheim;03 88 30 30 40;;https://immobilier-lingolsheim.nestenn.com/;;;;;;;
A & K Immobilier;67, rue Principale;67206;Mittelhausbergen;03 88 56 28 28;;http://www.aetkimmobilier.fr/;;;;;;;
ABC Immobilier;12 Rue de Verdun;67600;SELESTAT;03 88 58 08 58;;http://www.abcimmo-reitzer.fr/;;;;;;;
ABC Immobilier;16 Rue des Boulangers;67140;BARR;03 88 08 51 01;;http://abcimmo67.com/;;;;;;;
Abondance Immobilière;23, rue Gutenberg;67610;La Wantzenau;03 88 96 67 67;;http://www.abondance-immo.com/;;;;;;;
Absis Immobilier;4 impasse de la Mairie;67550;ECKWERSHEIM;03 88 25 70 04;;http://www.absis-immobilier.com/;;;;;;;
Addict immo;19 rue principale;67206;Mittelhausbergen;03 88 56 82 15;;http://www.addict-immo.com/;https://www.facebook.com/AddictImmobilier67;;;;;;
Agence de l'Ill;21 Rue de Verdun;67600;SELESTAT;03 88 92 05 86;;http://www.agence-ill.com/;;;;;;;
Agence de l'Ill;14 Rue Clémenceau;67390;Marckolsheim;03 88 74 94 76;;http://www.agence-ill.com/;;;;;;;
Agence immobilière du Vignoble;36 Grand Rue;67140;Barr;03 88 08 03 50;;http://www.agencevignoble.fr/;;;;;;;
Agence Immobiliere Schwartz;80 rue du Général de Gaulle;67310;Wasselonne;03 88 87 05 02;;http://www.a-i-schwartz.com/;;;;;;;
Agence Schorp;153 Grand Rue;67500;HAGUENAU;03 88 73 42 41;;http://www.agence-schorp.com/;;;;;;;
Alsace Fonciere wernher;11, route de Haguenau;67620;Soufflenheim;03.88.86.72.31;;http://www.alsacefonciere.com/;;;;;;;
Alsace Résidence;132 rue du General Leclerc;67540;Ostwald;03 88 105 200;;http://www.alsace-residence.com/;;;;;;;
Alsimmo;24, route de Strasbourg;67190;MUTZIG;03 88 38 16 97;;http://www.alsimmo.com/;;;;;;;
Alsimmo;139 Grand'Rue;67130;SCHIRMECK;03 88 97 05 13;;http://www.alsimmo.com/;;;;;;;
Alterhome;11 rue Fin de Banlieue;67400;ILLKIRCH-GRAFFENSTADEN;03.88.43.10.33;;http://www.alterhome.fr/;https://www.facebook.com/pages/alterHome/136716649817395;;;;;;
