company_name;company_address;company_postalcode;company_city;company_phone;company_email;company_website;company_facebook;contact_firstname;contact_lastname;contact_email;contact_phone;contact_position;contact_linkedin
Nestenn Allauch;164 avenue Leï Rima;13190;Allauch;04 91 08 32 35;;https://immobilier-allauch.nestenn.com/;;;;;;;
Nestenn Aubagne;30 rue de la république;13400;Aubagne;04 42 82 31 05;;https://immobilier-aubagne.nestenn.com/;;;;;;;
Nestenn Chateauneuf-les-Martigues;28 avenue du 4 septembre;13220;Chateauneuf-les-Martigues;04 42 34 04 59;;https://immobilier-chateauneuf-les-martigues.nestenn.com/;;;;;;;
Nestenn Gardanne;6 Place de Gueydan;13120;Gardanne;04 42 24 38 73;;https://immobilier-gardanne.nestenn.com/;;;;;;;
Nestenn Istres;10 bd Jean-Marie l'Huillier, Immeuble le Vauranne;13800;Istres;04 42 48 44 31;;https://immobilier-istres.nestenn.com/;;;;;;;
Nestenn La Ciotat;Les arcades, 33 chemin puits de brunet;13600;La Ciotat;04 84 83 01 26;;https://immobilier-la-ciotat.nestenn.com/;;;;;;;
Nestenn Salon-de-Provence;242 allées de Craponne;13300;Salon de Provence;04 84 47 06 50;;https://immobilier-salon-de-provence.nestenn.com/;;;;;;;
2 Rc Consult;Av. des 53, 22 résidence St. Martin;13250;Saint Chamas;04 90 50 91 21;;http://www.2rcconsult.com/;;;;;;;
A2MIMMO;Chemin des crêtes;13960;SAUSSET LES pins;;;http://www.a2mimmo.fr/;https://www.facebook.com/a2mimmo;;;;;;
Acanthe Immo;11, avenue de la Libération;13210;SAINT REMY;04 90 92 21 69;;http://www.acanthe-immo.com/;https://www.facebook.com/AcantheImmobilier.SaintRemydeProvence;;;;;;
Accueil Immo;17, avenue Général de Gaulle;13140;Miramas;04 90 58 98 94;;http://www.accueilimmo13.fr/;;;;;;;
Action Immo Internationale;34 rue des Prairies;13310;Saint-Martin-de-Crau;04 90 47 38 94;;http://www.actionim.net/;;;;;;;
Actuel Immobilier;7a rue Lafayette;13210;Saint Rémy de Provence;04 32 60 16 62;;http://www.actuelimmobilier.net/;https://fr-fr.facebook.com/pages/Actuel-Immobilier-Saint-R%C3%A9my-de-Provence/279269428839628;;;;;;
