company_name;company_address;company_postalcode;company_city;company_phone;company_email;company_website;company_facebook;contact_firstname;contact_lastname;contact_email;contact_phone;contact_position;contact_linkedin
Nestenn Mondeville;17 rue Chapron;14120;Mondeville;02 31 70 27 00;;https://immobilier-mondeville.nestenn.com/;;;;;;;
Abaximmo;20 PLACE DU DR GERMAN;14700;Falaise;02 31 41 40 00;;http://www.abaximmo.com/;https://www.facebook.com/pages/Abaximmo/133089123435579;;;;;;
ABC immobilier;2 avenue du Général Leclerc;14150;OUISTREHAM;02 31 96 50 57;;http://www.abcimmo14.com/;;;;;;;
Adde immobilier;12, rue Saint Malo;14400;BAYEUX;02 31 92 02 41;;http://www.adde-immo.com/;;;;;;;
Agence Bleu Marine Immobilier;85 rue Victor tesniere;14990;BERNIERES SUR MER;02 31 36 00 10;;http://www.bleumarineimmobilier.fr/;;;;;;;
Agence Brokken;12, rue ROYALE;14400;Bayeux;0231510591;;http://www.agencebrokken.com/;;;;;;;
Agence du centre;19, rue de la résistance;14100;LISIEUX;02 31 31 42 02;;http://www.agence-du-centre.net/;;;;;;;
Agence du Saratoga;3, avenue du Général de Gaulle;14800;Deauville;02 31 87 14 14;;http://www.agence-saratoga.com/;;;;;;;
AGENCE HONFLEURAISE;4 rue Cachin;14600;Honfleur;02 31 14 97 79;;http://www.agence-honfleuraise.fr/;;;;;;;
Agence immobilière du Pays d'Auge;2, place Saint-Melaine;14130;PONT-L'EVEQUE;02 31 65 42 42;;http://www.immobilierpaysdauge.com/;;;;;;;
Agence JP Rouy;20, place Foch;14360;Trouville sur Mer;02 31 98 13 36;;http://www.trouville-deauville-immobilier.com/;;;;;;;
Agence Nacre Immobilier Vente;28bis, boulevard Paul Doumer;14780;LION SUR MER;02 31 97 66 00;;http://www.nacre-immobilier.fr/;;;;;;;
Agence Normandy Castel;170 boulevard Fernand Moureaux;14360;Trouville sur Mer;02.31.98.98.98;;http://www.trouville-sur-mer-immobilier.com/;;;;;;;
Agence Vouillon;1 place Jeanne d’Arc,;14640;Villers sur mer;02 31 87 01 29;;http://www.cabinetvouillon.com/;;;;;;;
Agences d'aujourd'hui;1, rue du Maréchal Leclerc;14640;VILLERS-SUR-MER;02 31 87 05 51;;http://www.ada-immo.com/;;;;;;;
Agences d'aujourd'hui;110, bd. Fernand Moureaux;14360;TROUVILLE SUR MER;02 31 81 01 01;;http://www.ada-immo.com/;;;;;;;
Agences d'aujourd'hui;31, avenue Michel d'Ornano;14910;BLONVILLE SUR MER;02 31 87 95 95;;http://www.ada-immo.com/;;;;;;;
Agences d'aujourd'hui;54, rue du Général Leclerc;14510;HOULGATE;02 31 24 88 44;;http://www.ada-immo.com/;;;;;;;
Agences d'aujourd'hui;24, avenue de la Mer;14390;CABOURG;02 31 24 62 00;;http://www.ada-immo.com/;;;;;;;
Agences d'aujourd'hui;38, avenue de Paris;14810;MERVILLE-FRANCEVILLE;02 31 28 23 23;;http://www.ada-immo.com/;;;;;;;
Agences d'aujourd'hui;6, rue Georges Clémenceau;14310;VILLERS-BOCAGE;02 31 77 19 00;;http://www.ada-immo.com/;;;;;;;
Anaïs Immobilier;2 Rte de Bretteville;14740;Secqueville en Bessin;;;http://www.anaisimmobilier.com/;https://www.facebook.com/anaisimmobilier/;;;;;;
Augimmo;Place de Verdun;14590;Moyaux;02.31.63.78.10;;http://www.augimmo.com/;;;;;;;
Bénouville Immobilier;4, avenue Commandant Kieffer;14970;BENOUVILLE;02 31 54 53 50;;http://www.benouville-immo.com/;;;;;;;
Banque immobilière de Normandie;;;;;;http://www.bi-normandie.com/;https://www.facebook.com/banqueimmobiliere;;;;;;
Beeznest Immo;15 Avenue de Verdun;14110;Condé-sur-Noireau;02 31 69 24 68;;https://www.beeznest-immo.com/;;;;;;;
Bleu Marine Immobilier;34 rue du général Leclerc;14830;LANGRUNE SUR MER;02 31 85 71 10;;http://www.bleumarineimmobilier.fr/;https://www.facebook.com/pages/Agence-Bleu-Marine-Immobilier/121522041229375;;;;;;
Bréville Immobilier;75, rue des Bains;14360;TROUVILLE-SUR-MER;02.31.87.11.12;;http://www.breville-immobilier.com/;;;;;;;
Bréville Immobilier;26, avenue de Paris;14810;Merville-Franceville Plage;02 31 06 00 86;;http://www.breville-immobilier.com/;;;;;;;
Cabinet Billet-Giraud;34 BIS RUE GAMBETTA;14800;DEAUVILLE;02 31 98 57 84;;http://www.billet-giraud.fr/;;;;;;;
Cabinet Billet-Giraud;57 AVENUE DE PARIS;14810;MERVILLE-FRANCEVILLE;02 31 24 79 79;;http://www.billet-giraud.fr/;;;;;;;
CABINET DELASALLE IMMOBILIER;21 rue Trinité;14700;FALAISE;0231404440;;http://www.del-immo.com/;;;;;;;
Cabinet Deligny;Rue Pasteur;14750;SAINT AUBIN SUR MER;02 31 36 21 05;;http://www.littoral-immobilier.fr/;;;;;;;
Cabinet Deligny;33, Quai Est;14470;Courseulles sur Mer;02 31 37 46 02;;http://www.courseulles-immobilier.fr/;;;;;;;
Cabinet duval;18, place sainte catherine;14600;HONFLEUR;02 31 89 19 10;;http://www.cabinet-duval.fr/;;;;;;;
Cabinet Faudais;25 rue Aristide Briand;14450;GRANDCAMP MAISY;02 31 22 85 77;;http://www.cabinet-faudais.com/;https://www.facebook.com/pages/Cabinet-Faudais/155927374439228;;;;;;
Cabinet Faudais;30 PLACE DU GENERAL DE GAULLE;14230;ISIGNY SUR MER;02 31 22 12 77;;http://www.cabinet-faudais.com/;https://www.facebook.com/pages/Cabinet-Faudais/155927374439228;;;;;;
Cabinet Folliot;1 Rue Georges Guynemer;14530;LUC SUR MER;02.31.36.08.08;;http://www.cabinetfolliot.com/;;;;;;;
Cabinet Folliot;3 rue Deslongrais;14500;VIRE;02.31.69.14.14;;http://www.cabinetfolliot.com/;;;;;;;
Cabinet Folliot;1 Place De La Basilique;14440;Douvres La Delivrande;02.31.37.24.26;;http://www.cabinetfolliot.com/;;;;;;;
Cabinet GALLIOT;34, place Charles de Gaulle;14400;BAYEUX;02 31 10 11 11;;http://www.galliot-immobilier.com/;https://www.facebook.com/cabinetgalliot;;;;;;
Cabinet Laurent Malapel;25, rue Saint Patrice;14400;Bayeux;02 31 51 65 00;;http://www.malapelimmo.com/;https://www.facebook.com/malapelimmo;;;;;;
Cabinet Laurent Malapel;3, cale Neptune;14117;Arromanches-les-Bains;02 31 92 79 83;;http://www.malapelimmo.com/;;;;;;;
