company_name;company_address;company_postalcode;company_city;company_phone;company_email;company_website;company_facebook;contact_firstname;contact_lastname;contact_email;contact_phone;contact_position;contact_linkedin
ABRY Immobilier;1 rue de la Rollandie;15100;SAINT-FLOUR;04 71 73 16 16;;http://www.abry.fr/;https://www.facebook.com/AbryImmobilier;;;;;;
Accord Immobilier 15;6 Rue des Frères Charmes;15000;AURILLAC;0471647476;;http://www.accord-immobilier15.com/;;;;;;;
Agence Mazard;3, rue Marcenague;15000;AURILLAC;04 71 48 39 07;;https://www.agence-mazard.fr/;;;;;;;
AGI Agence Immobilière et de Gestion Aurillac;2bis, avenue de la République;15000;Aurillac;04.71.48.11.82;;http://www.aurillac-gestion-immobiliere.com/;;;;;;;
AGIM Immobilier;20 avenue République;15000;Aurillac;04.71.48.25.26;;http://www.lombardagim-immobilier.fr/;;;;;;;
AGIM Immobilier Conseil;11 avenue Charles Perié;15200;Mauriac;04.71.68.05.58;;http://www.lombardagim-immobilier.fr/;;;;;;;
Benet Immobilier;20, bis rue des Frères;15000;AURILLAC;04.71.43.41.41;;http://www.benet-immobilier.com/;;;;;;;
Benet immobilier;Résidence Font du Roy;15300;LE LIORAN;0471495047;;http://www.benet-immobilier.com/;https://www.facebook.com/benetimmobilier/;;;;;;
CENTRIMMO;9 rue des Lacs;15100;SAINT-FLOUR;04.71.23.96.99;;http://www.centrimmo15.com/;https://www.facebook.com/pages/Centrimmo/157088851139652;;;;;;
CENTURY21 Pradel Immobilier;18, Avenue de la République;15000;AURILLAC;04 71 48 01 54;;http://www.century21pradelimmobilier.com/;https://www.facebook.com/pages/CENTURY-21-Pradel-Immobilier-%C3%A0-Aurillac/116428068378093;;;;;;
Chiva Immobilier;Cours Monthyon;15000;AURILLAC;04 71 63 90 25;;http://www.chiva-immobilier.fr/;;;;;;;
Immo Square;3, avenue de la République;15000;AURILLAC;04 71 48 39 40;;http://www.aurillac-immobilier.com/;;;;;;;
Immobilier du pays vert;1 PLACE PIERRE SEMARD;15000;Aurillac;04 71 43 40 00;;http://www.immobilierdupaysvertaurillac.com/;;;;;;;
La Vache Rouge;;;;04.71.78.69.50;;http://www.agencedelavacherouge.com/;;;;;;;
Orpi;17 avenue Gambetta;15000;AURILLAC;04 71 64 38 55;;http://www.immoteck.com/;;;;;;;
Pays Gentiane Immobilier;Zone d' Activités du Coudert;15400;Riom-es-Montagnes;04 71 78 04 64;;http://www.pgimmo.com/;;;;;;;
SUC Immobilier;5 rue Victor Hugo;15000;AURILLAC;04 71 48 30 44;;http://www.suc-immobilier.fr/;;;;;;;
