company_name;company_address;company_postalcode;company_city;company_phone;company_email;company_website;company_facebook;contact_firstname;contact_lastname;contact_email;contact_phone;contact_position;contact_linkedin
1a1immo;15 Bd Denfert Rochereau;16000;Angoulême;0545392632;;http://www.1a1immo.fr/;;;;;;;
A2B-Immo;252 Rue de Périgueux;16000;Angoulême;05 45 37 48 69;;http://www.a2b-immo.com/;;;;;;;
AB immobilier;147 Bis boulevard Thiers;16000;ANGOULÊME;05.45.69.20.79;;http://www.ab-immobilier-angouleme.fr/;;;;;;;
Adequat;189, place de l’église;16430;CHAMPNIERS;05 45 68 38 29;;http://www.agenceadequat.fr/;;;;;;;
Agence 2000;46 Rue Victor Hugo;16300;Barbezieux-Saint-Hilaire;05 45 78 05 39;;http://www.agence2000.com/;https://www.facebook.com/Agence2000;;;;;;
Agence Aubeterre Immobilier;Place Trarieux;16390;Aubeterre sur Dronne;"05 45 78 97 57
RSS :";;http://www.residenceenfrance.com/;;;;;;;
Agence Immobilière Marquet;8 rue massillon;16000;Angoulême;05 45 38 25 28;;http://www.marquet-immobilier.fr/;;;;;;;
Agence Robert;27 grand rue;16110;La Rochefoucauld;05 45 62 00 42;;http://www.agence-robert.com/;;;;;;;
ANB Immobilier;2 Rue d'Angoulême;16220;Montbron;05 45 23 67 21;;http://www.anb-immobilier.com/;https://www.facebook.com/ANBImmobilier;;;;;;
Ariane Immobilier;2, Avenue Jean Monnet;16170;Rouillac;05 45 21 44 17;;http://www.ariane-immobilier.com/;;;;;;;
Ariane Immobilier;15 rue 14 Juillet;16100;Cognac;05 45 82 00 22;;http://www.ariane-immobilier.com/;;;;;;;
Ariane Immobilier;17 Place du Château;16200;Jarnac;05 45 32 26 67;;http://www.ariane-immobilier.com/;;;;;;;
ARTHUR LOYD ANGOULEME;23 place des Boissieres;16000;Angoulême;05.45.94.61.48;;http://www.cabinetplg.fr/;https://www.facebook.com/pages/Arthur-Loyd-Cabinet-PLG/186425934743267;;;;;;
AVI franimmo;36 rue Principale;16330;VARS;05.45.95.77.03;;http://www.franimmo.fr/;;;;;;;
AVI franimmo.fr;15, Boulevard Berthelot;16000;Angoulême;05.45.95.13.41;;http://www.franimmo.fr/;;;;;;;
AVI franimmo.fr;26 rue de la Boëme;16440;MOUTHIERS / BOEME;05.45.65.89.26;;http://www.franimmo.fr/;;;;;;;
CABINET DARPEIX;17 bis chemin de la Grande Champagne;16200;Gondeville;08 20 20 05 36;;http://www.cabinet-darpeix-immo.com/;;;;;;;
Cabinet du Palet;3 place du Palet;16000;ANGOULEME;05 45 94 96 96;;http://www.cabinet-palet.com/;;;;;;;
Century 21 ALOHA IMMOBILIER;211 RUE SAINT ROCH;16000;Angoulême;05 45 90 01 00;;http://www.century21-aloha-angouleme.com/;https://www.facebook.com/pages/CENTURY-21-Aloha-%C3%A0-Angoul%C3%AAme/275893459191829;;;;;;
Charente Immobilier;1 Rue de Condé Place du Château;16200;Jarnac;05 45 32 14 84;;http://www.charente-immobilier.com/;;;;;;;
Cityimmo;130, rue de Périgueux;16000;ANGOULEME;05.45.95.62.01;;http://www.cityimmo.fr/;;;;;;;
Citymmo;82 rue Camile Pelletan;16600;Ruelle;05 45 65 52 27;;http://www.cityimmo.fr/;;;;;;;
Compagnie Immobilière Charentaise;11 place d'Armes;16700;Ruffec;05.45.30.35.31;;http://www.properties-in-charente.com/;https://www.facebook.com/pages/Compagnie-Immobili%C3%A8re-Charentaise/137300969716435;;;;;;
Etude St André Immobilier;14 de la rue Saint André;16000;Angouleme;05.45.69.20.49;;http://www.etude-st-andre.com/;;;;;;;
EURO IMMOBILIER CHALAIS;7 avenue de la Gare;16210;CHALAIS;05 45 98 00 98;;http://www.euro-immo.com/;;;;;;;
Europ'Immobilier;6, rue de Barbezieux;16210;Chalais;05 45 98 01 56;;http://www.europimmobilier.net/;https://www.facebook.com/pages/EuropImmobilier/148613191942223;;;;;;
Fontenoy Groupe Immobilier;13 rue de Genève;16000;ANGOULEME;05 45 38 32 69;;http://www.fontenoy.com/;;;;;;;
Fontenoy Groupe Immobilier;16, rue du docteur Meslier;16300;Barbezieux Saint Hillaire;05 45 98 00 48;;http://www.fontenoy.com/;;;;;;;
Fontenoy Groupe Immobilier;4 rue Liancourt;16110;LA ROCHEFOUCAULD;05 45 63 00 40;;http://www.fontenoy.com/;;;;;;;
Investissimo;17 place de la gare;16000;ANGOULEME;05 45 38 04 04;;http://www.agence-investissimo.com/;;;;;;;
LA FONCIERE CHARENTAISE;2 rue Louis Pergaud;16000;Angouleme;05 45 21 28 98;;http://www.foncierecharentaise.com/;https://www.facebook.com/pages/La-Fonciere-Charentaise/345595352252687;;;;;;
La Fonciere Charentaise;14 bis Grand'rue;16140;Aigre;05 45 21 78 39;;http://www.foncierecharentaise.com/;https://www.facebook.com/pages/La-Fonciere-Charentaise/345595352252687;;;;;;
La Rivière Immobilier;3 rue Saint Martin;16200;SIGOGNE;"05.45.81.76.97
RSS :";;http://www.lariviereimmobilier.com/;;;;;;;
Lafontaine Immobilier;5 Place Francis Louvel;16000;Angoulême;05 45 92 16 16;;http://www.charente-immobilier-lafontaine.com/;;;;;;;
Lafontaine Immobilier;4 Rue Neuve des Remparts;16100;Cognac;05 45 35 40 40;;http://www.charente-immobilier-lafontaine.com/;;;;;;;
Lafontaine Immobilier;12 Place du Château;16200;Jarnac;05 45 81 77 77;;http://www.charente-immobilier-lafontaine.com/;;;;;;;
