company_name;company_address;company_postalcode;company_city;company_phone;company_email;company_website;company_facebook;contact_firstname;contact_lastname;contact_email;contact_phone;contact_position;contact_linkedin
Nestenn Puilboreau;6 rue de la République;17138;Puilboreau;05 46 51 02 21;;https://immobilier-puilboreau.nestenn.com/;;;;;;;
17 IMMO-SERVICES;58 Cours Reverseaux;17100;SAINTES;05 46 97 17 17;;http://www.17immo-services.com/;https://www.facebook.com/pages/17-immo-services-SAINTES/250920164951120;;;;;;
A3m immobilier;21 rue de Hotel de Ville;17400;Saint Jean d'Angely;05 46 33 91 01;;http://www.a3mimmo.com/;;;;;;;
A3M IMMOBILIER;43 bis rue Saint Vivien;17430;Bords;05 46 83 90 07;;http://www.a3mimmo.com/;;;;;;;
AAPH Locations;8 route du Bois La Couarde;17670;La Couarde sur Mer;05 46 37 48 86;;http://www.aaph-locations.com/;;;;;;;
ACCORD immobilier;Parking du Bastion;17410;Saint Martin de Ré;05 46 35 96 35;;http://www.immobilier-iledere.com/;;;;;;;
Accost Immobilier;2 Avenue de Rochefort;17200;ROYAN;05.46.22.92.35;;http://www.accost-immobilier.fr/;;;;;;;
AD Immo 17;27 rue des Hérons;17450;Saint Laurent de la Prée;;;http://www.adimmo17.fr/;;;;;;;
AGAMA;7, avenue Charles de Gaulle;17610;Chaniers;05 46 92 99 74;;http://www.agama-immobilier-17.com/;;;;;;;
Agence Aquitaine Océane;Place Charles De Gaulle;17200;ROYAN;05 46 05 32 46;;http://www.agence-aquitaine-oceane.com/;;;;;;;
Agence Boisson;32 rue Carnot;17600;SAUJON;05 46 02 86 57;;http://www.agence-boisson.com/;;;;;;;
Agence Centrale Immobilière;2 place des Tilleuls;17150;MIRAMBEAU;05 46 70 31 43;;http://www.agence-centrale-immobiliere.com/;;;;;;;
Agence Centrale P.Bertin;17 quai de la République;17100;SAINTES;05.46.93.54.34;;http://www.agencepbertin.com/;;;;;;;
Agence Charry;26 Avenue de Pontaillac;17420;Saint Palais sur mer;05 46 23 12 03;;http://www.agencecharry.fr/;https://www.facebook.com/NouvelleAgenceCharryCommerces;;;;;;
Agence Corne;20 AVENUE DE PONTAILLAC;17420;SAINT PALAIS SUR MER;05 46 23 07 46;;http://www.agence-corne.fr/;;;;;;;
Agence de L'Abbaye;9B RUE JEAN HENRY LAINE;17630;La Flotte;0546692555;;http://www.agencedelabbaye.com/;https://www.facebook.com/profile.php?id=100005949198221;;;;;;
Agence delille;71 avenue de Bel Air Route Nationale 734;17310;Saint Pierre d'Oleron;05 46 47 02 45;;http://www.agence-delille.com/;https://www.facebook.com/pages/Agence-Del%C3%AElle/402552503093831;;;;;;
Agence Delille;33bis Rd 734;17550;Dolus d'Oleron;05 46 47 18 18;;http://www.agence-delille.com/;https://www.facebook.com/pages/Agence-Del%C3%AElle/402552503093831;;;;;;
Agence Delille;8 Place de la République;17480;Le Chateau D Oleron;05 46 75 39 90;;http://www.agence-delille.com/;https://www.facebook.com/pages/Agence-Del%C3%AElle/402552503093831;;;;;;
Agence Delille;2 Canton de l'Ormeau;17650;Saint Denis d'Oléron;05 46 47 92 49;;http://www.agence-delille.com/;https://www.facebook.com/pages/Agence-Del%C3%AElle/402552503093831;;;;;;
Agence des halles;27, Grande Rue;17120;COZES;05 46 90 83 17;;http://www.agencedeshalles.com/;;;;;;;
Agence des plages Meschers Immo;84 rue Paul Massy;17132;Meschers;05 46 02 72 09;;http://www.meschers-immo.com/;;;;;;;
Agence des Tilleuls;34 avenue des Tilleuls;17204;ROYAN;05 46 05 39 97;;http://www.agence-des-tilleuls.fr/;https://www.facebook.com/pages/Agence-des-Tilleuls-Royan/303581673013053;;;;;;
Agence du Donjon;32 rue Emile Combes;17800;Pons;05 46 98 18 18;;http://www.agencedudonjon.immo/;;;;;;;
Agence du Fier;2 & 4, Place de la Liberté;17880;Les Portes en Ré;05 46 29 52 17;;http://www.agencedufier.fr/;;;;;;;
Agence du Phare;110, rue Thiers;17590;ARS-EN-RE;05 46 43 53 52;;http://www.agenceduphare.com/;;;;;;;
Agence Emeraude;15 Facade Foncillon;17200;Royan;05 46 39 20 69;;http://www.agence-emeraude.fr/;https://www.facebook.com/pages/Agence-Emeraude-Royan/272100399585232;;;;;;
Agence Europ Atlantique;1 bd des Régates;17570;LA PALMYRE - LES MATHES;05 46 22 40 50;;http://www.europ-atlantique.com/;;;;;;;
Agence Océane;Résidence Parc de Pontaillac, Bâtiment B 82 avenue Pasteur;17640;VAUX SUR MER;05.46.39.85.97;;https://www.agence-oceane17.com/;https://www.facebook.com/AgenceOceane/;;;;;;
Agence Phisa;61-63 rue Jean Jaurès;17300;ROCHEFORT;05 46 99 06 18;;http://www.agence-phisa.fr/;;;;;;;
Agence pierre loti;2 bis-4 rue Pierre Loti;17200;Royan;05 46 05 05 03;;http://www.agence-pierre-loti.com/;https://www.facebook.com/pages/AGENCE-PIERRE-LOTI-ROYAN/216485798363810;;;;;;
Agence RODRIGUEZ;89, avenue de Bel-Air;17310;Saint-Pierre d'Oléron;05 46 47 18 12;;http://www.agence-rodriguez.com/;;;;;;;
Agence Saint Yves;6 place de la liberté;17880;LES PORTES EN RE;05 46 29 62 09;;http://www.saintyvesorpi.com/;https://www.facebook.com/pages/ORPI-Agence-Saint-Yves-Ile-de-R%C3%A9/136824319737728;;;;;;
AGIM Re Agence;16, le Mail;17670;La Couarde / Mer;05 46 29 81 39;;http://www.reagence.fr/;;;;;;;
