company_name;company_address;company_postalcode;company_city;company_phone;company_email;company_website;company_facebook;contact_firstname;contact_lastname;contact_email;contact_phone;contact_position;contact_linkedin
Agence Besse Renaudie;15 Avenue Nationale;19700;SEILHAC;05.55.26.98.12;;http://www.agence-besserenaudie.com/;;;;;;;
Agence BESSE-RENAUDIE;6, rue Jean-Jaurès;19000;TULLE;05 55 20 03 05;;http://www.agence-besserenaudie.com/;;;;;;;
Agence Dordogne Vallée;27 avenue Pasteur;19400;ARGENTAT;05 55 28 69 52;;http://www.dordognevallee.fr/;;;;;;;
Agence Dordogne Vallée;27 Avenue Pasteur;19400;Argentat;05 55 28 69 52;;http://www.dordognevallee.fr/;;;;;;;
Agence Fouret Immobilier;30, avenue Charles de Gaulle;19300;Egletons;05 55 93 16 05;;http://www.cfimmo.net/;;;;;;;
Artense immobilier;59 Place Marmontel;19110;Bort-les-Orgues;05 55 96 17 90;;http://www.artense-immobilier.com/;;;;;;;
Berthou immobilier;21, avenue du midi;19230;Pompadour;05.55.73.34.91;;http://www.immo-berthou.com/;;;;;;;
Blayez Immobilier;37 Rue Jean Jaurès;19000;TULLE;05 55 93 94 94;;https://www.blayez-immobilier.fr/;https://www.facebook.com/blayez.immobilier?fref=ts;;;;;;
Blayez Immobilier;48 Avenue Charles de Gaulle;19300;Égletons;05 55 93 34 34;;https://www.blayez-immobilier.fr/;https://www.facebook.com/blayez.immobilier?fref=ts;;;;;;
Blayez Immobilier;4 Avenue Marmontel;19200;Ussel;05 55 72 30 48;;https://www.blayez-immobilier.fr/;https://www.facebook.com/blayez.immobilier/;;;;;;
Blayez Immobilier;32 av Alsace Lorraine;19100;BRIVE LA GAILLARDE;05 55 18 75 93;;https://www.blayez-immobilier.fr/;https://www.facebook.com/blayez.immobilier?fref=ts;;;;;;
Cabinet massif immobilier;51 place du Faubourg;19110;BORT LES ORGUES;05.55.46.06.69;;http://www.massif-immobilier.com/;;;;;;;
CELAUR IMMOBILIER;15 av Winston Churchill;19000;TULLE;0555 26 82 56;;http://www.celaurimmo.com/;;;;;;;
CHEVREL ET FOURET;4 BOULEVARD VICTOR HUGO;19200;USSEL;05 55 72 59 42;;http://www.cfimmo.net/;;;;;;;
Chevrel et Fouret Immobilier;Place Gambetta;19160;Neuvic;05 55 94 72 15;;http://www.cfimmo.net/;;;;;;;
Dufourd Immobilier;18 Avenue Pasteur;19400;ARGENTAT;05.55.28.30.03;;http://www.dufourd-immobilier19.com/;;;;;;;
Faure Immo;35 avenue Jean Lascaux;19130;OBJAT;05 87 49 45 36;;http://www.faureimmo.fr/;https://www.facebook.com/pages/limmobilier-en-correze-avec-faureimmofr/124499920908357;;;;;;
Faure Immo;25 Grand Rue Alexis Jaubert;19600;LARCHE;05 19 07 35 25;;http://www.faureimmo.fr/;https://www.facebook.com/pages/limmobilier-en-correze-avec-faureimmofr/124499920908357;;;;;;
France Limousin Immobilier;3 rue de la république;19170;BUGEAT;05 55 95 53 04;;http://www.fralimo.com/;;;;;;;
ICIMMO;25 Avenue Jean Jaurès;19360;Malemort-sur-Corrèze;05 55 92 01 42;;http://www.icimmo.fr/;;;;;;;
Immopi.com Immobilier Piscicultures Moulins;Moulin de la Selve;19000;Tulle;;;http://www.immopi.com/;;;;;;;
Réparat;57 Avenue Raymond Poincaré;19130;OBJAT;05 55 25 82 60;;http://www.agencereparat.com/;https://www.facebook.com/pages/Agence-Reparat/619387718088886;;;;;;
Treignac immobilier;13 place de la Halle;19260;TREIGNAC;05.55.73.11.91;;http://www.treignac-immobilier.com/;;;;;;;
Van den Berg Immobilier;43 Rue des Remparts;19310;Ayen;05 55 25 28 00;;http://www.francehouses.com/;;;;;;;
Immopi.com Immobilier Piscicultures Moulins;Moulin de la Selve;19000;Tulle;;;http://www.immopi.com/;;;;;;;
Réparat;57 Avenue Raymond Poincaré;19130;OBJAT;05 55 25 82 60;;http://www.agencereparat.com/;https://www.facebook.com/pages/Agence-Reparat/619387718088886;;;;;;
Treignac immobilier;13 place de la Halle;19260;TREIGNAC;05.55.73.11.91;;http://www.treignac-immobilier.com/;;;;;;;
Van den Berg Immobilier;43 Rue des Remparts;19310;Ayen;05 55 25 28 00;;http://www.francehouses.com/;;;;;;;
