company_name;company_address;company_postalcode;company_city;company_phone;company_email;company_website;company_facebook;contact_firstname;contact_lastname;contact_email;contact_phone;contact_position;contact_linkedin
Nestenn Biguglia;Rn 193 Casatorra;20620;Biguglia;04 95 36 22 21;;https://immobilier-bastia.nestenn.com/;;;;;;;
Agence Casa Immobilier;Residence Laniella 1;20260;CALVI;04 95 65 04 69;;http://www.calvi-immobilier.fr/;;;;;;;
Agence Immobilière du Golfe;Avenue Georges Pompidou;20538;Porto-Vecchio;04 95 72 05 02;;http://www.aggolfe.com/;;;;;;;
Agence immobilière Raineri;Les Marines 1;20166;Porticcio;04 95 25 00 15;;http://www.agence-raineri.com/;;;;;;;
Agence immobilière Residenza;Immeuble Santa Regina II;20260;Calvi;04 95 35 04 85;;http://www.immobilier-corse-residenza.com/;;;;;;;
Agila Immobilier;Avenue J.Calizi;20220;L’Ile Rousse;04 95 60 55 48;;http://www.agila-immobilier.com/;;;;;;;
Agosta Immobilier;Agosta Plage;20166;Porticcio;04.95.26.69.37;;http://www.agosta-immobilier.com/;;;;;;;
Al Immo;Résidence Le Grand Large;20260;Calvi;"09 64 15 73 28
RSS :";;http://www.al-immo-calvi.com/;;;;;;;
Alias immobilier;Marina di Fiori;20137;Porto-Vecchio;04 95 70 21 30;;http://www.aliasimmobilier.com/;;;;;;;
Axe immobilier;17 Cours Paoli;20250;Corte;04 95 30 85 36;;http://www.axeimmobilier.fr/;;;;;;;
Balagne immobilier;Marine de Sant'Ambroggio;20260;LUMIO;04 95 60 70 22;;http://www.balagne-immobilier.com/;https://www.facebook.com/pages/Secic-Balagne-Immobilier-Cabinet-Saint-Nicolas/128170700682701;;;;;;
Balagne immobilier;15 bis Ave Paul Doumer;20220;Ile Rousse;0495630350;;http://www.balagne-immobilier.com/;https://www.facebook.com/pages/Groupe-Secic-Balagne-Immobilier-Cabinet-Saint-Nicolas/128170700682701;;;;;;
Barnes Corse;Route de Cala Rossa Lecci;20137;Porto-Vecchio;04 95 76 16 16;;http://www.barnes-corse.com/;https://www.facebook.com/agence.calarossaimmobilier;;;;;;
Cabinet Saint Nicolas;Route de Bastia;20137;PORTO VECCHIO;04 95 70 16 56;;http://www.immobiliermarine.fr/;https://www.facebook.com/pages/Secic-Immobilier-Secic-Syndic-Balagne-Immobilier-Cabinet-Saint-Nicolas/128170700682701;;;;;;
Cala Rossa;Route de Cala Rossa;20137;LECCI;04 95 76 16 16;;http://www.calarossa-immo.com/;https://www.facebook.com/Barnes.corse;;;;;;
Calizi Immobilier;Avenue Calizi;20220;L'ILE ROUSSE;04 95 60 54 96;;http://www.calizimmo.com/;;;;;;;
Calvi Immobillier;Residence Laniella 1;20260;Calvi;04.95.65.04.69;;http://www.calvi-immobilier.com/;;;;;;;
Cap Sud Immobilier;Avenue Général de Boissoudy Résidence Les Albizzias;20137;Porto Vecchio;04 95 26 61 17;;http://www.cap-sud-immobilier.fr/;;;;;;;
Conca d'oru immobilier;Rés. Ste Anne;20217;SAINT FLORENT;04 95 37 29 80;;http://www.conca-oru-immobilier.com/;;;;;;;
Corsagencia;Boulevard Pierre Pasquini;20220;l'Ile Rousse;09.51.39.93.13;;http://www.corsagencia.com/;;;;;;;
Corse Immo;Chemin de Covasina Rond point de la gare;20137;Porto-Vecchio;04 95 70 59 21;;http://www.agence-corse-immo.com/;;;;;;;
CORSE IMMOBILIER;Place des Ormeaux;20167;Alata;0495259076;;http://www.corseimmobilier.fr/;https://www.facebook.com/corseimmobilier;;;;;;
Corse Patrimoine Immobilier;Torre;20137;Porto Vecchio;04 95 520 105;;http://www.cpi-immobilier-porto-vecchio.com/;;;;;;;
Costa Verde Immobilier;CCial Casino;20230;Moriani-Plage;04 95 38 58 55;;http://www.costaverdeimmobilier.com/;;;;;;;
COTI IMMOBILIER;4 rue Camille Pietri;20110;Propriano;04.95.500.500;;http://www.cotiimmobilier.com/;https://www.facebook.com/pages/COTI-Immobilier-Propriano/152729738100949;;;;;;
Delta Immobilier;6, Cours Napoléon;20137;Porto-Vecchio;04 95 70 27 11;;http://www.immodelta.com/;;;;;;;
Etoile immobilier;avenue de la République;20260;CALVI;04.95.46.21.27;;http://www.etoileimmobilier.com/;;;;;;;
GTI Immobilier;28 Crs Soeur Amélie;20100;Sartène;04 95 77 05 95;;http://www.corse-immo.fr/;;;;;;;
Immo2b;Résidence Laniella2;20260;Calvi;04 95 60 68 57;;http://www.immo2b.fr/;;;;;;;
IMMOBILIER CORSE DU SUD;;;;;;http://www.immobilier-corse-du-sud.com/;;;;;;;
Immobilière Sperone;Domaine de Sperone;20169;Bonifacio;04 95 73 13 69;;http://www.immo-sperone.com/;https://www.facebook.com/immobiliere.sperone;;;;;;
KALLISTE PROPERTIES;Cote des Nacres;20240;SOLARO;0495578505;;http://www.kalliste-properties.com/;;;;;;;
L'Immobilière de la Tour Génoise;Pinarello;20144;Sainte Lucie de Porto Vecchio;04 95 718 718;;http://www.limmobilieredelatourgenoise.com/;;;;;;;
Lucciana immobilier;Centre Europa Route Aéroport;20290;Lucciana;04 95 36 21 21;;http://www.luccianaimmo.com/;;;;;;;
Mare IMMO 2B;Rés. Punta Rossa, Av. Christophe Colomb;20260;CALVI;04 95 37 07 85;;http://mareimmo2b.com/;;;;;;;
Mare Immo L Ile Rousse;Résidence le Relais avenue Paul Doumer;20220;L Ile Rousse;"0495308560
RSS :";;http://www.mareimmo.fr/;;;;;;;
Panoramer Immobilier;;;;;;http://www.panoramerimmobilier.com/;;;;;;;
Paoli Immobilier;RÉSIDENCE LE ROI THÉODORE - BÂT B -;20230;SAN NICOLAO;04.95.38.38.39;;http://www.paoli-immobilier.com/;;;;;;;
Parfum de Myrte;Route du Bord de Mer - Pinarello;20140;Sainte Lucie de Porto Vecchio;02 41 72 78 57;;http://www.villas-parfumdemyrte.fr/;;;;;;;
Pinarello Immo;;;;;;http://www.pinarelloimmo.com/;;;;;;;
Scaglia Immo;28, rue Jean Paul PANDOLFI;20110;Propriano;04 95 10 81 39;;http://www.scagliaimmo.fr/;https://www.facebook.com/scagliaimmo.fr/;;;;;;
SGI Corse;les 4 chemins;20137;PORTO VECCHIO;04.95.10.76.22;;http://www.sgicorse.com/;;;;;;;
Sperone;Domaine de Sperone;20169;Bonifacio;04 95 73 13 69;;http://www.sperone.com/;;;;;;;
Sud Est Immobilier;;;;04 95 71 46 08;;http://www.sudest-immobilier.com/;;;;;;;
Suzzoni;Route de Calenzana;20260;Calvi;;;http://www.calvi-immobilier-balagne.com/;https://www.facebook.com/antoine.suzzoni;;;;;;
Terra Nova Immobilier;Avenue Napoléon;20110;PROPRIANO;04 95 76 22 22;;http://www.terranova-immo.com/;;;;;;;
Zenith Immobilier;Ceppe Espace;20620;BIGUGLIA;04 95 33 80 36;;http://www.zenithimmobilier.com/;;;;;;;
Corse Immo;Chemin de Covasina Rond point de la gare;20137;Porto-Vecchio;04 95 70 59 21;;http://www.agence-corse-immo.com/;;;;;;;
CORSE IMMOBILIER;Place des Ormeaux;20167;Alata;0495259076;;http://www.corseimmobilier.fr/;https://www.facebook.com/corseimmobilier;;;;;;
Corse Patrimoine Immobilier;Torre;20137;Porto Vecchio;04 95 520 105;;http://www.cpi-immobilier-porto-vecchio.com/;;;;;;;
Costa Verde Immobilier;CCial Casino;20230;Moriani-Plage;04 95 38 58 55;;http://www.costaverdeimmobilier.com/;;;;;;;
COTI IMMOBILIER;4 rue Camille Pietri;20110;Propriano;04.95.500.500;;http://www.cotiimmobilier.com/;https://www.facebook.com/pages/COTI-Immobilier-Propriano/152729738100949;;;;;;
Delta Immobilier;6, Cours Napoléon;20137;Porto-Vecchio;04 95 70 27 11;;http://www.immodelta.com/;;;;;;;
Etoile immobilier;avenue de la République;20260;CALVI;04.95.46.21.27;;http://www.etoileimmobilier.com/;;;;;;;
GTI Immobilier;28 Crs Soeur Amélie;20100;Sartène;04 95 77 05 95;;http://www.corse-immo.fr/;;;;;;;
Immo2b;Résidence Laniella2;20260;Calvi;04 95 60 68 57;;http://www.immo2b.fr/;;;;;;;
IMMOBILIER CORSE DU SUD;;;;;;http://www.immobilier-corse-du-sud.com/;;;;;;;
Immobilière Sperone;Domaine de Sperone;20169;Bonifacio;04 95 73 13 69;;http://www.immo-sperone.com/;https://www.facebook.com/immobiliere.sperone;;;;;;
KALLISTE PROPERTIES;Cote des Nacres;20240;SOLARO;0495578505;;http://www.kalliste-properties.com/;;;;;;;
L'Immobilière de la Tour Génoise;Pinarello;20144;Sainte Lucie de Porto Vecchio;04 95 718 718;;http://www.limmobilieredelatourgenoise.com/;;;;;;;
Lucciana immobilier;Centre Europa Route Aéroport;20290;Lucciana;04 95 36 21 21;;http://www.luccianaimmo.com/;;;;;;;
Mare IMMO 2B;Rés. Punta Rossa, Av. Christophe Colomb;20260;CALVI;04 95 37 07 85;;http://mareimmo2b.com/;;;;;;;
Mare Immo L Ile Rousse;Résidence le Relais avenue Paul Doumer;20220;L Ile Rousse;"0495308560
RSS :";;http://www.mareimmo.fr/;;;;;;;
Panoramer Immobilier;;;;;;http://www.panoramerimmobilier.com/;;;;;;;
Paoli Immobilier;RÉSIDENCE LE ROI THÉODORE - BÂT B -;20230;SAN NICOLAO;04.95.38.38.39;;http://www.paoli-immobilier.com/;;;;;;;
Parfum de Myrte;Route du Bord de Mer - Pinarello;20140;Sainte Lucie de Porto Vecchio;02 41 72 78 57;;http://www.villas-parfumdemyrte.fr/;;;;;;;
Pinarello Immo;;;;;;http://www.pinarelloimmo.com/;;;;;;;
