company_name;company_address;company_postalcode;company_city;company_phone;company_email;company_website;company_facebook;contact_firstname;contact_lastname;contact_email;contact_phone;contact_position;contact_linkedin
Agence du Château;rue Martin Nadaud;23600;Boussac;;;http://www.maisons-en-creuse.com/;;;;;;;
Agence Marche Limousin;Place Saint Jacques;23300;La Souterraine;05 55 63 13 87;;http://www.agence-marche-limousin.com/;;;;;;;
AUBUSSON IMMOBILIER;47, Grande Rue;23200;AUBUSSON;05.55.67.56.10;;http://www.aubusson-immobilier.fr/;;;;;;;
Aubusson immobilier;4, Grande Rue;23500;FELLETIN;05.55.67.28.94;;http://www.aubusson-immobilier.fr/;;;;;;;
Cendrillon Immobilier;23, rue Zizim;23400;Bourganeuf;05 55 54 95 85;;http://www.limousin-bilingual.com/;;;;;;;
Creuse Berry Immobilier;97, Grande Rue;23800;Dun-Le-Palestel;05 55 89 97 96;;http://www.berrycreuseimmo.com/;;;;;;;
Immobilier Creusois;34 Grande rue;23140;JARNAGES;05 55 61 94 80;;http://www.immo-creusois.fr/;;;;;;;
La petite agence;Pierre Sibuet Le Bourg;23800;Maison Feyne;0555638086;;http://www.lpa-immobilier-gueret.com/;https://www.facebook.com/pages/la-petite-agence/213208675357694;;;;;;
Marcon Immobilier;23 rue Saint Jacques;23300;La souterraine;05 55 63 09 92;;http://www.marcon-immobilier.com/;https://www.facebook.com/pages/Marcon-Immobilier/200041320145226;;;;;;
Marcon Immobilier;2 avenue de la République;23200;Aubusson;05 55 66 20 37;;http://www.marcon-immobilier.com/;https://www.facebook.com/pages/Marcon-Immobilier/200041320145226;;;;;;
MARCON Immobilier;2, rue Eugène France;23000;GUERET;05 55 41 18 38;;http://www.marcon-immobilier.com/;https://www.facebook.com/pages/Marcon-Immobilier/200041320145226;;;;;;
RAPINAT IMMOBILIER;17 rue Eugene France;23000;GUERET;05 55 41 49 49;;http://www.rapinat.com/;;;;;;;
Rousseau-Immobilier;5 Grande Rue;23110;EVAUX-les-BAINS;05 55 65 59 58;;http://www.rousseau-immobilier.fr/;;;;;;;
Transaxia;16 place du Général d'Espagne;23200;Aubusson;05 16 57 04 62;;http://www.transaxia-aubusson.fr/;;;;;;;
Transaxia;1 place de la République;23700;Auzances;05 55 67 01 34;;http://www.transaxia-auzances.fr/;;;;;;;
Transaxia;Place de la Fontaine;23220;Bonnat;0516570470;;http://www.transaxia-bonnat.fr/;;;;;;;
Transaxia;52 av du docteur manouvrier;23000;Guéret;05 81 33 05 98;;http://www.transaxia-gueret.fr/;;;;;;;
Transaxia;10 rue Vincent;23600;Boussac;05 16 57 04 64;;http://www.transaxia-boussac.fr/;;;;;;;
Transaxia;12, place Aubergier;23170;Chambon sur Voueize;05.16.57.04.66;;http://www.transaxia-chambon-sur-voueize.fr/;;;;;;;
Transaxia;19 Grande Rue;23130;Chénerailles;05 55 51 13 91;;http://www.transaxia-chenerailles.fr/;;;;;;;
Transaxia;15 Grande-rue;23800;Dun le Palestel;0214000662;;http://www.transaxia-dun-le-palestel.fr/;;;;;;;
Transaxia;9 rue de la Marche;23320;Saint Vaury;05 55 80 41 23;;http://www.transaxia-saint-vaury.fr/;;;;;;;
Transaxia;15 Grande-rue;23800;Dun le Palestel;0214000662;;http://www.transaxia-dun-le-palestel.fr/;;;;;;;
Transaxia;9 rue de la Marche;23320;Saint Vaury;05 55 80 41 23;;http://www.transaxia-saint-vaury.fr/;;;;;;;
