company_name;company_address;company_postalcode;company_city;company_phone;company_email;company_website;company_facebook;contact_firstname;contact_lastname;contact_email;contact_phone;contact_position;contact_linkedin
A.M.I - Auxois Morvan Immo;3 Rue du Bourg Voisin;21140;Semur-en-Auxois;03 80 97 35 59;;http://www.auxois-morvan-immo.com/;;;;;;;
Agence Colaiacovo;11, place des Halles;21260;SELONGEY;03 80 75 55 47;;http://www.colaiacovo.fr/;;;;;;;
Agence Dom immo;2, place Docteur Roclore;21210;Saulieu;03 80 64 26 10;;http://www.dom-immo.fr/;;;;;;;
Agence Immobilière Richebourg;Rue Richebourg;21220;Gevrey-Chambertin;03 80 58 59 45;;http://www.agence-immobiliere-richebourg.com/;;;;;;;
Agence Immolys;15, rue de lorraine;21200;BEAUNE;03 80 25 96 96;;http://www.immolysbeaune.com/;https://www.facebook.com/pages/Agence-Immolys/170634966410093;;;;;;
Arthurimmo- LA SEDELOCIENNE IMMOBILIERE;3 rue du Tour des Fosses;21210;Saulieu;"03 80 64 02 64
RSS :";;http://www.arthurimmo-saulieu.com/;;;;;;;
Bellis-immo.net;2 bis, rue du cap vert;21800;QUETIGNY;;;http://www.bellis-immo.net/;;;;;;;
Benoit Martin Immobilier;4, rue Saint Antoine;21800;Crimolois;"0380473437
RSS :";;http://www.bmimmobilier.com/;;;;;;;
Brigodiot Immobilier;36 bis rue Edme-Piot;21500;MONTBARD;03 80 92 10 00;;http://www.immobilierbourgogne.com/;;;;;;;
Burgundy Home & Services;11 rue Colbert;21200;Beaune;;;http://www.burgundy-home-services.com/;;;;;;;
Cabinet Bourgogne Immobilier;2 ,bis rue Saint Nicolas;21400;Châtillon sur Seine;;;http://www.bourgogneimmob.com/;;;;;;;
Cabinet Patrice Ryaux;6, place Carnot;21204;Beaune;03 80 25 05 05;;http://www.cabinet-patrice-ryaux.com/;;;;;;;
Cabinet Patrick Echinard;2 Place Carnot;21200;BEAUNE;03 80 24 16 27;;http://www.echinard.com/;;;;;;;
CARREZ Immobilier;76 rue Maxime guillot;21300;CHENOVE;03.80.30.88.73;;http://www.immobilier-chenove.com/;https://www.facebook.com/agencecarrezimmobilier;;;;;;
Centrale de l'immobilier;2, rue Sonoys;21700;Nuits Saint Georges;03 80 62 34 63;;http://www.centralimmo.fr/;;;;;;;
CENTURY 21 Agence Massot-Nouveau;11/13 rue du Faubourg Madeleine;21200;BEAUNE;03 80 24 15 00;;http://www.century21agencemassot-nouveau.com/;https://www.facebook.com/pages/CENTURY-21-Agence-Massot-Nouveau-%C3%A0-Beaune/113444388668774;;;;;;
Chauvenet Immobilier;27 Rue Maizières;21200;BEAUNE;03 80 24 15 40;;http://www.chauvenet-immo.com/;;;;;;;
Confidence Immobilière;Rue Claus Sluter Ctre Cial Champagne-Haute;21160;MARSANNAY LA COTE;03.80.54.93.93;;http://www.immobilier-marsannay.com/;;;;;;;
DijonNord-Immo.fr;2 rue Maréchal Foch;21120;Is-sur-Tille;0 950 960 850;;http://www.dijonnord-immo.fr/;;;;;;;
ERA Bourgogne Immobilier;;;;;;http://www.era-immobilier-bourgogne.fr/;;;;;;;
Immo Transactions;33, rue du Marché;21210;Saulieu;03 80 64 39 75;;http://immotransactions.fr/;;;;;;;
Immobilière de l'Auxois;21, Avenue du Général de Gaulle;21320;POUILLY EN AUXOIS;03 80 90 85 10;;http://www.immolauxois.fr/;;;;;;;
Immobilière Gay;27, Grande rue  Espace Marey;21700;Nuits-Saint-Georges;03 80 61 34 77;;http://www.immobourgogne.com/;https://www.facebook.com/pages/Agence-Immobili%C3%A8re-GAY-Beaune-Nuits-St-Georges-Nolay/195801503856999;;;;;;
Immobilière Gay;17, Rue du Château & Place Général Leclerc;21200;Beaune;03 80 22 48 34;;http://www.immobourgogne.com/;https://www.facebook.com/pages/Agence-Immobili%C3%A8re-GAY-Beaune-Nuits-St-Georges-Nolay/195801503856999;;;;;;
Immobilière Gay;3, Rue de la République;21340;Nolay;03 80 21 77 16;;http://www.immobourgogne.com/;https://www.facebook.com/pages/Agence-Immobili%C3%A8re-GAY-Beaune-Nuits-St-Georges-Nolay/195801503856999;;;;;;
JLS Transactions;3 rue Fraisse;21200;Beaune;0380240606;;http://www.jlstransactions.com/;;;;;;;
Meursault Immobilier;8 rue du 11 Novembre;21190;Meursault;03 80 22 25 50;;http://www.meursault-immobilier.com/;;;;;;;
Odile Perrin immobilier;1 rue monge;21170;SAINT JEAN DE LOSNE;03 80 77 92 25;;http://www.odileperrin-immobilier.com/;;;;;;;
Regie foncière;12, place Monge;21200;BEAUNE;03 80 25 00 64;;http://www.regiefonciere-beaune.com/;;;;;;;
République Transactions;10 Rue Pasumot;21200;Beaune;080 22 39 60;;http://www.republique-transactions.fr/;;;;;;;
Robin;47, rue d Abrantès;21500;MONTBARD;03 80 92 01 63;;http://www.robin-immobilier.com/;;;;;;;
Robin Immobilier;11, rue Armand Grosley;21140;SEMUR EN AUXOIS;03 80 97 03 18;;http://www.robin-immobilier.com/;;;;;;;
Immo Transactions;33, rue du Marché;21210;Saulieu;03 80 64 39 75;;http://immotransactions.fr/;;;;;;;
Immobilière de l'Auxois;21, Avenue du Général de Gaulle;21320;POUILLY EN AUXOIS;03 80 90 85 10;;http://www.immolauxois.fr/;;;;;;;
