company_name;company_address;company_postalcode;company_city;company_phone;company_email;company_website;company_facebook;contact_firstname;contact_lastname;contact_email;contact_phone;contact_position;contact_linkedin
Nestenn Dinan;12 Bis Rue des Rouairies;22100;Dinan;02 96 87 08 08;;https://immobilier-dinan.nestenn.com/;;;;;;;
Nestenn Lamballe;12 rue Villedeneu;22400;Lamballe;02 96 50 04 04;;https://immobilier-lamballe.nestenn.com/;;;;;;;
Nestenn Loudéac;12 Place de l Eglise;22600;Loudéac;02 96 28 28 28;;https://immobilier-loudeac.nestenn.com/;;;;;;;
Nestenn Perros Guirec;3 Place de l Hotel de Ville;22700;Perros Guirec;02 96 23 21 62;;https://immobilier-perrosguirec.nestenn.com/;;;;;;;
Nestenn Plaintel;15 Place de la République;22940;Plaintel;02 96 32 09 09;;https://immobilier-plaintel.nestenn.com/;;;;;;;
Nestenn Plouha;14 avenue Laennec;22580;Plouha;02 96 22 17 80;;https://immobilier-plouha.nestenn.com/;;;;;;;
Nestenn Saint Quay Portrieux;14 rue Jeanne d Arc;22410;Saint Quay Portrieux;02 96 70 46 02;;https://immobilier-stquay.nestenn.com/;;;;;;;
Nestenn Saint-Brieuc;3 rue Saint François;22000;Saint Brieuc;02 96 33 06 06;;https://immobilier-stbrieuc.nestenn.com/;;;;;;;
ABCD Immobilier;Route de tréguier Résidence le clos du bourg;22700;LOUANNEC;02 96 23 04 31;;http://www.abcdimmobilier.com/;;;;;;;
Action Immobilier;5 Rue de Rennes;22360;Langueux;02.96.52.00.20;;http://www.action-immobilier-22.com/;;;;;;;
Agence 2000;7, place Charles-de-Gaulle;22380;Saint Cast Le Guildo;"02.96.41.90.13
RSS :";;http://www.agence2000-immobilier.com/;;;;;;;
Agence Arguenon;16 place du Champ Clos;22100;Dinan;02.96.39.96.73;;http://www.agencearguenon.com/;;;;;;;
Agence Arguenon;3, rue de la croix aux fèves;22400;Lamballe;02.96.50.74.67;;http://www.agencearguenon.com/;;;;;;;
AGENCE ARMORICAINE;10 allée Marie Levaillant;22000;Saint Brieuc;02 96 33 51 32;;http://www.agence-darmorique.com/;;;;;;;
Agence Côte et Villas;11 rue Amiral CHARNER;22370;Pléneuf Val-André;02 96 72 24 32;;http://www.cotevillas.fr/;;;;;;;
AGENCE CABARET REMY;3 square Hotel de ville;22430;ERQUY;02.96.72.44.99;;http://www.agence-remy-cabaret.com/;;;;;;;
Agence de la Plage;23, rue du Duc d’Aiguillon;22380;SAINT-CAST LE GUILDO;02.96.41.80.75;;http://www.agencedelaplage.fr/;;;;;;;
Agence de la Plage;2 square de l'Hôtel de Ville;22430;ERQUY;;;http://www.agencedelaplage.fr/;;;;;;;
Agence de la Plage;4, rue de la Plage;22770;LANCIEUX;0296.86.30.30;;http://lancieux-agencedelaplage.fr/;;;;;;;
Agence de la Plage;11, rue du Colonel Pleven;22650;PLOUBALAY;0296.27.29.29;;http://lancieux-agencedelaplage.fr/;;;;;;;
Agence de la Presqu'ile;24 place Landouar;22750;Saint Jacut de la Mer;02.96.27.71.07;;http://www.agence-presquile.com/;;;;;;;
Agence du Tregor;29, rue des Ponts St-Michel;22200;GUINGAMP;02 96 44 40 03;;http://www.agence-tregor.com/;;;;;;;
Agence Immobiliere Service;17, bd Duponchel;22380;St-Cast le Guildo;02 96 41 83 75;;http://www.agence-immo-service.com/;;;;;;;
Agence Milon Immobilier;1, rue des sports;22190;PLERIN;02 96 74 41 41;;http://www.am-immobilier.fr/;;;;;;;
Agence Noel;5 rue de la Ferronnerie;22100;Dinan;02.96.87.63.60;;http://www.agencenoel.com/;;;;;;;
Agence rizzoni;85, rue des Plages;22560;Trébeurden;02 96 23 50 80;;http://www.agence-rizzoni.fr/;https://www.facebook.com/pages/Agence-Rizzoni-Trebeurden-Perros-Guirec-Vacances-soleil-Bretagne/127496723977747;;;;;;
Agence TILLON;11 rue Foch;22430;ERQUY;02 96 72 30 26;;http://www.erquyimmobilier.com/;;;;;;;
Agence Vétier;9 Rue Clemenceau;22430;ERQUY;02-96-72-30-11;;http://www.agencevetier.fr/;;;;;;;
Agences d'Armor;Zone Artisanale;22490;Plouër-sur-Rance;02 96 89 12 21;;http://www.agence-armor.fr/;;;;;;;
AIPG;14 rue des halles;22570;GOUAREC;"02.96.24.87.47
RSS :";;http://www.aipg.fr/;;;;;;;
AIPG;Face à la poste;22580;PLOUHA;02.96.20.23.01;;http://www.aipg.fr/;;;;;;;
AIPG AGENCE IMMOBILIERE DU PAYS GOELO;1 Rue Pierre et Marie Curie;22590;PORDIC;02.96.79.11.66;;http://www.aipg.fr/;;;;;;;
ARMOR CONSEIL IMMOBILIER;11, rue de La Madeleine;22130;PLANCOET;02.96.84.11.11;;http://www.armor-conseil-immobilier.com/;;;;;;;
Armor Conseil Immobilier;15 rue Saint Germain;22550;MATIGNON;02.96.41.22.22;;http://www.armor-conseil-immobilier.com/;;;;;;;
ARMOR CONSEIL IMMOBILIER;rue Primauguet;22380;SAINT CAST LE GUILDO;02.96.41.70.70;;http://www.armor-conseil-immobilier.com/;;;;;;;
Armor Invest Immo;;;;02 96 83 32 45;;http://www.armorinvestimmo.com/;;;;;;;
Arthurimmo Annick LE CAMUS;36 bd Clemenceau;22000;St Brieuc;"02 96 64 20 19
RSS :";;http://www.saintbrieuc-arthurimmo.com/;;;;;;;
Avel Mor Immobilier;16-18 Rue de L’Oise;22500;PAIMPOL;02 96 20 95 95;;http://www.avelmor-immobilier.com/;;;;;;;
AVL IMMOBILIER;23 bis rue de Rennes;22100;LANVALLAY;02.96.39.34.90;;http://www.avl22.com/;;;;;;;
Blot Entreprise;1 rue des Mimosas;22190;PLERIN;02.96.32.32.32;;http://www.blot-entreprise.fr/;;;;;;;
Bretagne briantais;22, rue Amiral Charner;22370;Pléneuf-Val-André;02 96 72 21 51;;http://www.briantais.com/;;;;;;;
Cabinet Crenn;4, rue Abbé Gibert;22110;Rostrenen;"02.96.29.05.33
RSS :";;http://www.cabinet-crenn.com/;;;;;;;
Cabinet Richard;3 et 5, rue Thiers;22100;Dinan;02 96 87 87 87;;http://www.cabinetrichard.com/;;;;;;;
Christelle Mesnage;14 rue de la Ferronnerie;22100;DINAN;02 96 88 00 01;;http://www.immobilier-dinan.net/;https://fr-fr.facebook.com/AgenceChristelleMesnageImmobilier;;;;;;
Comméreuc Immobilier;5 rue Georges Brassens;22500;Paimpol;02 96 20 89 66;;http://www.commereuc-immobilier.com/;https://www.facebook.com/commereuc.immobilier;;;;;;
Cote & Bretagne;7 rue Lafayette;22000;Saint-Brieuc;;;http://www.cote-et-bretagne.fr/;https://www.facebook.com/coteetbretagne/;;;;;;
Coté immo;15 rue des setp iles;22700;PERROS-GUIREC;02 96 23 21 21;;http://www.cote-immo.fr/;;;;;;;
Dauly Immobilier;5 PL DU CHAMP CLOS;22100;DINAN;02 96 39 25 17;;http://www.dinan-immobilier.com/;;;;;;;
Delf'immo;5 rue de la poste;22970;PLOUMAGOAR;02 96 44 73 11;;http://www.delfimmo.com/;;;;;;;
ERA M & R PLESTIN;46, avenue de la Lieue de Grève;22310;Plestin les Grèves;02 96 35 00 00;;http://www.immobilier-plestin-era.fr/;;;;;;;
François Melscoet Immobilier;5, Quai Marechal Joffre;22300;LANNION;"02.96.46.16.68
RSS :";;http://www.lannion-immobilier.com/;;;;;;;
Gab Immobilier;18 Place Duclos;22100;Dinan;02.96.39.18.98;;http://www.gab-immobilier.fr/;;;;;;;
Gab Immobilier;2 rue du pont;22130;Plancoët;02.96.80.28.24;;http://www.gab-immobilier.fr/;;;;;;;
GOULARD IMMOBILIER;58 rue du 71ème Régiment d'Infanterie;22000;Saint-Brieuc;02 96 33 33 78;;http://www.goulardimmobilier.fr/;;;;;;;
GUEGAN Immobilier;2 Rue St Gilles;22000;St Brieuc;02 96 33 29 30;;http://www.gueganimmo.com/;https://www.facebook.com/GueganImmobilier;;;;;;
Guy Hoquet Saint Quay Portrieux;28 Bis quai de la République;22410;SAINT QUAY PORTRIEUX;02.96.65.20.20;;http://www.guyhoquet-saintquay.com/;;;;;;;
Homebuyer;13 place du Chai;22000;Saint-Brieuc;09 87 34 32 66;;http://www.homebuyer.fr/;;;;;;;
IMM-OUEST;23 place Dugueslin,;22100;Dinan;02 96 87 88 40;;https://www.imm-ouest.com/;https://www.facebook.com/immouestbretagne/;;;;;;
Immobilier Conseil;20, rue Villedeneu;22404;LAMBALLE;02 96 31 22 22;;http://www.immobilierconseil.fr/;;;;;;;
Immobilier Coté Ouest;1 Place de Crec'h Héry;22560;Trébeurden;02 96 15 09 00;;http://www.immobilier-cote-ouest.com/;;;;;;;
Immobilier du Chai;Place Haute du Chai;22000;SAINT-BRIEUC;02.96.68.20.68;;http://www.immobilier-du-chai.fr/;;;;;;;
KERIMO;9 AVENUE MARÉCHAL FOCH;22520;BINIC;02 96 69 28 19;;http://www.kerimo.fr/;;;;;;;
L'Equip Immobilier;1 rue Henri Servain;22000;SAINT BRIEUC;02 96 33 59 84;;http://www.lequip-immobilier.com/;;;;;;;
La petite agence;Place de la liberté;22260;Pontrieux;02 96 95 68 88;;http://www.lapetiteagence.net/;;;;;;;
LE GALL PARTNERS;6, route de Brest;22200;GUINGAMP;02 96 13 50 50;;http://www.lgpimmo.fr/;;;;;;;
Le Guern Immobilier;7 rue Charles Le Goffic;22730;Trégastel;02 96 23 87 74;;http://www.agence-leguern.com/;;;;;;;
Le Guillouzer immobilier;25 rue du Général de Gaulle;22730;Trégastel;02 96 23 88 20;;http://www.agence-leguillouzer.fr/;https://www.facebook.com/pages/Agence-Le-Guillouzer-Immobilier/161465413893555;;;;;;
Le Marchand - Conseil immobilier;3 Rue de Brest;22360;LANGUEUX;02.96.52.02.02;;http://www.groupelemarchand.fr/;;;;;;;
Le Marchand - Conseil immobilier;1 Place du Martray;22500;PAIMPOL;02.96.55.02.80;;http://www.groupelemarchand.fr/;;;;;;;
Le Marchand - Conseil immobilier;6 Rue AC Cadot;22410;SAINT-QUAY-PORTRIEUX;02.96.70.30.30;;http://www.groupelemarchand.fr/;;;;;;;
Le Marchand Conseil Immobilier;9, rue Saint-Vincent de Paul;22000;Saint Brieuc;02 96 77 22 55;;http://www.groupelemarchand.fr/;;;;;;;
Maison Rouge;10 rue de la Ferronnerie;22100;Dinan;"02.96.87.48.87
RSS :";;http://www.maison-rouge.fr/;;;;;;;
Maison Rouge;2, rue des Quais;22130;Plancoët;02.96.84.19.06;;http://www.maison-rouge.fr/;;;;;;;
Mila Et Immo;1 Rue Georges Clémenceau;22410;Saint-Quay-Portrieux;02 96 70 99 98;;http://www.mila-immo.com/;;;;;;;
Mila Et Immo;Parc d’activités du grand Etang;22580;Plouha;02 96 22 11 20;;http://www.mila-immo.com/;;;;;;;
Mila Et Immo;1, rue Arsène Simon;22190;Plérin/mer;02 96 33 73 59;;http://www.mila-immo.com/;;;;;;;
Optimo;19 Rue du Général Leclerc;22500;Paimpol;02 96 20 53 18;;http://www.optimo.fr/;https://www.facebook.com/optimo22;;;;;;
Plancoet Immobilier;39 RUE PONT;22130;Plancoët;"02 96 84 19 63
Twitter :";;http://www.plancoet-immobilier.fr/;;;;;;;
Soquet immobilier;59 rue de Brest;22100;DINAN;02.96.86.20.30;;http://www.soquetimmobilier.com/;;;;;;;
St-Brieuc immobilier;4, rue St-Benoit;22000;SAINT-BRIEUC;"02.96.68.19.99
Twitter :";;http://www.st-brieuc-immobilier.fr/;;;;;;;
TFC immobilier;10 Place du Gén de Gaulle;22290;Lanvollon;;;http://www.tfcimmobilier.com/;;;;;;;
Agence de la Presqu'ile;24 place Landouar;22750;Saint Jacut de la Mer;02.96.27.71.07;;http://www.agence-presquile.com/;;;;;;;
Agence du Tregor;29, rue des Ponts St-Michel;22200;GUINGAMP;02 96 44 40 03;;http://www.agence-tregor.com/;;;;;;;
Agence Immobiliere Service;17, bd Duponchel;22380;St-Cast le Guildo;02 96 41 83 75;;http://www.agence-immo-service.com/;;;;;;;
Agence Milon Immobilier;1, rue des sports;22190;PLERIN;02 96 74 41 41;;http://www.am-immobilier.fr/;;;;;;;
Agence Noel;5 rue de la Ferronnerie;22100;Dinan;02.96.87.63.60;;http://www.agencenoel.com/;;;;;;;
Agence rizzoni;85, rue des Plages;22560;Trébeurden;02 96 23 50 80;;http://www.agence-rizzoni.fr/;https://www.facebook.com/pages/Agence-Rizzoni-Trebeurden-Perros-Guirec-Vacances-soleil-Bretagne/127496723977747;;;;;;
Agence TILLON;11 rue Foch;22430;ERQUY;02 96 72 30 26;;http://www.erquyimmobilier.com/;;;;;;;
Agence Vétier;9 Rue Clemenceau;22430;ERQUY;02-96-72-30-11;;http://www.agencevetier.fr/;;;;;;;
Agences d'Armor;Zone Artisanale;22490;Plouër-sur-Rance;02 96 89 12 21;;http://www.agence-armor.fr/;;;;;;;
AIPG;14 rue des halles;22570;GOUAREC;"02.96.24.87.47
RSS :";;http://www.aipg.fr/;;;;;;;
AIPG;Face à la poste;22580;PLOUHA;02.96.20.23.01;;http://www.aipg.fr/;;;;;;;
AIPG AGENCE IMMOBILIERE DU PAYS GOELO;1 Rue Pierre et Marie Curie;22590;PORDIC;02.96.79.11.66;;http://www.aipg.fr/;;;;;;;
ARMOR CONSEIL IMMOBILIER;11, rue de La Madeleine;22130;PLANCOET;02.96.84.11.11;;http://www.armor-conseil-immobilier.com/;;;;;;;
Armor Conseil Immobilier;15 rue Saint Germain;22550;MATIGNON;02.96.41.22.22;;http://www.armor-conseil-immobilier.com/;;;;;;;
ARMOR CONSEIL IMMOBILIER;rue Primauguet;22380;SAINT CAST LE GUILDO;02.96.41.70.70;;http://www.armor-conseil-immobilier.com/;;;;;;;
Armor Invest Immo;;;;02 96 83 32 45;;http://www.armorinvestimmo.com/;;;;;;;
Arthurimmo Annick LE CAMUS;36 bd Clemenceau;22000;St Brieuc;"02 96 64 20 19
RSS :";;http://www.saintbrieuc-arthurimmo.com/;;;;;;;
Avel Mor Immobilier;16-18 Rue de L’Oise;22500;PAIMPOL;02 96 20 95 95;;http://www.avelmor-immobilier.com/;;;;;;;
