company_name;company_address;company_postalcode;company_city;company_phone;company_email;company_website;company_facebook;contact_firstname;contact_lastname;contact_email;contact_phone;contact_position;contact_linkedin
79 IMMO;52 Avenue Gambetta;79400;SAINT MAIXENT;05 49 24 28 58;;http://www.79immo.com/;;;;;;;
79 IMMO;11 Av du G. de Gaulle;79200;PARTHENAY;05 49 69 98 43;;http://www.79immo.com/;;;;;;;
79 IMMO;52 Avenue Victor Leclerc;79100;THOUARS;05 49 96 52 67;;http://www.79immo.com/;;;;;;;
ABORDimmo;St Sauveur;79300;BRESSUIRE;05.49.80.31.59;;http://www.abordimmo.fr/;;;;;;;
AFI79;67 rue de la Tremoïlle;79101;Thouars;05.49.96.16.16;;http://www.afi79.fr/;;;;;;;
Agence ADI;30 avenue Gambetta;79400;Saint Maixent L’École;05 49 05 78 55;;http://www.agenceadi.com/;;;;;;;
Agence ADI;1 route de Pamproux;79800;LA MOTHE SAINT HÉRAY;05 49 05 02 21;;http://www.agenceadi.com/;;;;;;;
Agence ADI;94 avenue de Paris;79260;LA CRÈCHE;05 49 05 42 34;;http://www.agenceadi.com/;;;;;;;
AIP Bocagimmo;10 av du 25 août 1944;79140;Cerizay;05 49 80 47 86;;http://www.bocagimmo.com/;;;;;;;
Atlas Immobilier;25 rue Ernest Perochon;79230;VOUILLE;05 49 77 53 11;;http://www.atlas-immo-79.com/;;;;;;;
AUGU IMMOBILIER CONSEIL;36, Bld Ernest-Renan;79100;THOUARS;05 49 96 30 14;;http://www.augu-immobilier.fr/;;;;;;;
C. Luneville Immobilier;8 Av. Ml de LATTRE de TASSIGNY;79400;ST MAIXENT L’ECOLE;05.49.16.09.05;;http://www.luneville-immobilier.com/;;;;;;;
C. Luneville Immobilier;5 Place Georges CLEMENCEAU;79800;LA MOTHE ST HERAY;05.49.09.55.07;;http://www.luneville-immobilier.com/;;;;;;;
Cabinet Dieumegard;62 bis, Avenue de Paris;79260;LA CRECHE;05.49.25.06.06;;http://www.dieumegard.com/;;;;;;;
Cabinet Papin;4 rue des Cordeliers;79300;Bressuire;0549650573;;http://www.cabinet-papin.fr/;;;;;;;
CENTURY 21 I.C.S. Immobilier;11 place Cail;79110;CHEF BOUTONNE;05 49 29 20 10;;http://www.century21ics-immobilier.com/;https://www.facebook.com/icscb;;;;;;
Du coté de chez soi;9 rue du Stade;79180;CHAURAY;05 49 79 19 19;;http://ducotedechezsoi.net/;;;;;;;
ERA Poitou-Charentes;;;;;;http://www.era-immobilier-poitou-charentes.fr/;;;;;;;
GROUPE IMMOBILIER ACCORD;5 rue du 8 mai;79180;Chauray;05.49.34.65.55;;http://www.agence-accord.com/;https://www.facebook.com/pages/Accord-Gi/255875264546846;;;;;;
GROUPE IMMOBILIER ACCORD;984 rue du petit fief;79230;Aiffres;05.16.25.24.69;;http://www.agence-accord.com/;;;;;;;
Guillon Immobilier;N° 1 et 3 Boulevard de la Meilleraye;79200;PARTHENAY;05.49.64.00.72;;http://www.guillon-immobilier.com/;;;;;;;
Immovert;60 Place de l'Hôtel de Ville;79360;Beauvoir-sur-Niort;05.49.09.66.99;;http://www.immovert.com/;;;;;;;
Julie Immobilier;5 Place Saint-Pierre;79140;Cerizay;;;http://julie-immobilier.fr/;;;;;;;
L'IMMOBILIERE DE L'AUTIZE;32 PLACE DE L'EGLISE;79510;COULON;05 49 79 05 77;;http://www.autizeimmo.fr/;;;;;;;
La Clé de chez vous;13, rue de Fontenay;79160;Coulonges sur l’Autize;05.49.77.07.07;;http://www.lacledechezvous.com/;;;;;;;
Parthenay're Immobilier;63, boulevard de la Meilleraye;79200;PARTHENAY;05 49 71 09 24;;http://www.parthenayre-immo.fr/;;;;;;;
Thibaudet immobilier;57, Bd de la Meilleraye;79200;PARTHENAY;05 49 94 30 86;;http://www.immobilier-thibaudet.fr/;;;;;;;
Guillon Immobilier;N° 1 et 3 Boulevard de la Meilleraye;79200;PARTHENAY;05.49.64.00.72;;http://www.guillon-immobilier.com/;;;;;;;
Immovert;60 Place de l'Hôtel de Ville;79360;Beauvoir-sur-Niort;05.49.09.66.99;;http://www.immovert.com/;;;;;;;
Julie Immobilier;5 Place Saint-Pierre;79140;Cerizay;;;http://julie-immobilier.fr/;;;;;;;
L'IMMOBILIERE DE L'AUTIZE;32 PLACE DE L'EGLISE;79510;COULON;05 49 79 05 77;;http://www.autizeimmo.fr/;;;;;;;
La Clé de chez vous;13, rue de Fontenay;79160;Coulonges sur l’Autize;05.49.77.07.07;;http://www.lacledechezvous.com/;;;;;;;
Parthenay're Immobilier;63, boulevard de la Meilleraye;79200;PARTHENAY;05 49 71 09 24;;http://www.parthenayre-immo.fr/;;;;;;;
Thibaudet immobilier;57, Bd de la Meilleraye;79200;PARTHENAY;05 49 94 30 86;;http://www.immobilier-thibaudet.fr/;;;;;;;
