company_name;company_address;company_postalcode;company_city;company_phone;company_email;company_website;company_facebook;contact_firstname;contact_lastname;contact_email;contact_phone;contact_position;contact_linkedin
Nestenn Bergerac;35 rue neuve d'Argenson;24100;Bergerac;05 53 73 87 46;;https://immobilier-bergerac.nestenn.com/;;;;;;;
Agence CHARBIT;53, rue Neuve d'Argenson;24100;BERGERAC;05 53 57 27 82;;http://www.charbit-immo.fr/;;;;;;;
Agence Dauta;10 avenue du 108° R. I.;24100;Bergerac;05 53 57 14 03;;http://www.agence-dauta.com/;;;;;;;
Agence du Périgord;Place de la liberté;24220;Saint-CYPRIEN;05 40 00 06 32;;http://www.agence-du-perigord.com/;https://www.facebook.com/Agence-du-P%C3%A9rigord-101002413298160/;;;;;;
Agence FL IMMOBILIER BELVES;3 rue jacques Manchotte;24170;BELVES;05.53.59.00.96;;http://www.belves-immobilier.com/;;;;;;;
Agence Grandchamp Immobilier;9 Rue de la République;24450;LA COQUILLE;05 53 55 33 96;;http://www.perigord-immobilier.com/;https://www.facebook.com/agence.grandchamp;;;;;;
Agence Grandchamp Immobilier;7 Avenue de la Quatrième République;24210;THENON;05 53 05 49 11;;http://www.perigord-immobilier.com/;https://www.facebook.com/agence.grandchamp;;;;;;
Agence Immobilière Herman de Graaf;Le Bourg;24800;St Jean de Côle;05 53 62 38 03;;http://www.immobilier-dordogne.com/;;;;;;;
Agence Vergt Immobilier;32 place Jean Jaurès;24380;VERGT;05 53 13 33 33;;http://www.agence-vergt-immobilier.fr/;;;;;;;
Agence Viaud;32 place Gambetta;24100;Bergerac;;;http://www.agence-viaud.com/;;;;;;;
Arcad'Immo;39 Place Gambetta;24500;EYMET;05.53.27.14.34;;http://www.arcadimmo.com/;;;;;;;
Cabinet Gratte Immobilier;Route de Brive;24590;SALIGNAC;05 53 28 90 26;;http://www.perigord-immo.com/;;;;;;;
Castagnie Immobilier;Lignière;24450;LA COQUILLE;05 53 52 68 64;;http://www.immobiliercastagnie.fr/;;;;;;;
