company_name;company_address;company_postalcode;company_city;company_phone;company_email;company_website;company_facebook;contact_firstname;contact_lastname;contact_email;contact_phone;contact_position;contact_linkedin
ACP Transactions;2bis rue de la République;25300;PONTARLIER;03 81-39-58-49;;http://www.acp-transactions.fr/;https://www.facebook.com/pages/ACP-Transactions/163465120350458;;;;;;
Agence Vauban;10 bis, rue de la Poste;25410;SAINT-VIT;03 81 83 52 88;;http://www.agencevauban.com/;;;;;;;
Agence Vauban;61, rue Principale;25210;LES FONTENELLES;03 81 67 78 08;;http://www.agencevauban.com/;;;;;;;
Alliance;19 avenue Aristide Briand;25400;Audincourt;03 81 36 90 20;;http://www.alliance-immobilier.fr/;https://www.facebook.com/allianceimmo;;;;;;
Alliance Immobilier;1 rue de la Sous-Préfecture;25200;Montbéliard;03 81 91 33 00;;http://www.alliance-immobilier.fr/;;;;;;;
Bersot immobilier;126 rue des Mines;25400;AUDINCOURT;03 81 30 40 30;;http://www.bersot.net/;;;;;;;
Bersot immobilier;12 rue du Docteur Grenier;25300;PONTARLIER;03 81 39 24 44;;http://www.bersot.net/;;;;;;;
Bersot immobilier;1 rue Neuve;25500;MORTEAU;03 81 67 42 42;;http://www.bersot.net/;;;;;;;
Cabinet Paul-Henri Vigneron;6, avenue du Maréchal de Lattre de Tassigny;25200;Montbéliard;03 81 99 37 71;;http://www.vigneron-immo.com/;;;;;;;
CENTURY 21 Agence Adobati-Rollat;11 rue Philippe Goudey;25400;EXINCOURT;03 81 94 11 02;;http://www.century21agenceadobati.com/;https://www.facebook.com/pages/CENTURY-21-Agence-Adobati-%C3%A0-Exincourt/115117978506603;;;;;;
CENTURY 21 Agence de la Gare;17 place du Général de Gaulle;25200;MONTBELIARD;03 81 31 22 31;;http://www.century21aireurbaine.com/;https://www.facebook.com/pages/CENTURY-21-Agence-de-la-Gare-%C3%A0-Montb%C3%A9liard/114431515253042;;;;;;
CENTURY 21 Avenir Immobilier;11 rue Arthur Bourdin;25300;PONTARLIER;03 81 39 76 76;;http://www.century21avenirimmobilier-p.com/;https://www.facebook.com/century21.avenirimmobilier;;;;;;
CENTURY 21 Haut Doubs Immobilier;3 place Xavier Authier;25370;METABIEF;03 81 49 26 66;;http://www.century21-haut-doubs-immobilier-metabief.com/;https://www.facebook.com/century21.metabief;;;;;;
CENTURY 21 L'Immobilier de la Vallée;70 rue Pierre Vernier;25290;ORNANS;03 81 57 52 52;;http://www.century21limmobilierdelavallee.com/;https://www.facebook.com/century21.immobilierdelavallee;;;;;;
CENTURY 21 L'Immobilier du Plateau;2 rue Maulbronn;25800;VALDAHON;03 81 56 30 30;;http://www.century21limmobilierduplateau.com/;https://www.facebook.com/century21.immobilierduplateau;;;;;;
CENTURY 21 L'Immobilier Nouveau;23 rue Charles de Gaulle;25120;MAICHE;03 81 64 16 08;;http://www.century21-immobilier-nv-maiche.com/;https://www.facebook.com/century21.immobiliernouveau;;;;;;
CENTURY 21 PG Immobilier;3 rue de L'Helvetie;25500;MORTEAU;03 81 67 98 50;;http://www.century21pgimmobilier.com/;https://www.facebook.com/century21.pgimmobilier;;;;;;
ELFI;2 RUE MORTEAU;25300;PONTARLIER;03 81 46 89 27;;http://immobilier-pontarlier.com/;;;;;;;
ERA Franche-Comté;;;;;;http://www.era-immobilier-franche-comte.fr/;;;;;;;
Guy Hoquet l'Immobilier Saint-Vit;11 rue Besançon;25410;Saint-Vit;03 81 80 14 89;;http://www.guyhoquet-immobilier-saintvit.com/;;;;;;;
IMMO CONCEPT;1 rue du Mont Bart;25420;Voujeaucourt;03.81.98.15.54;;http://www.immoconceptonline.com/;https://www.facebook.com/pages/Immo-concept-Voujeaucourt/146615688727221;;;;;;
Immobilière Du Château;35, Avenue d'Helvétie;25200;MONTBELIARD;03 81 99 88 88;;http://www.immochateau.fr/;;;;;;;
Immobilière du Château;71 Grande Rue;25400;Audincourt;03 81 36 33 33;;http://www.immochateau.fr/;;;;;;;
L'IN IMMOBILIER;2 bis, rue du Général de Gaulle;25460;Etupes;03 81 94 40 21;;http://www.linimmobilier.com/;;;;;;;
La Marmotte Immobilier;1 rue de Pontarlier;25600;SOCHAUX;03 81 71 09 61;;http://www.la-marmotte-immobilier.com/;;;;;;;
