company_name;company_address;company_postalcode;company_city;company_phone;company_email;company_website;company_facebook;contact_firstname;contact_lastname;contact_email;contact_phone;contact_position;contact_linkedin
Nestenn Coudray Montceaux;Centre commercial Les Terrasses Avenue Général De Gaulle;91830;Coudray Montceaux;01 69 90 45 45;;https://immobilier-coudray-montceaux.nestenn.com/;;;;;;;
Nestenn Etampes;72 rue Louis Moreau;91150;Etampes;01 64 94 47 36;;https://immobilier-etampes.nestenn.com/;;;;;;;
Nestenn Itteville;2 place Charles de Gaulle;91760;Itteville;01 81 85 06 06;;https://immobilier-itteville.nestenn.com/;;;;;;;
Nestenn Leuville-sur-Orge;3 rue du 8 mai 1945 C. Commercial AUCHAN;91310;Leuville-sur-Orge;01 69 88 88 48;;https://immobilier-leuville-sur-orge.nestenn.com/;;;;;;;
Nestenn Massy;15 rue de la division Leclerc;91300;Massy;01 78 85 80 80;;https://immobilier-massy.nestenn.com/;;;;;;;
Abeille Conseil Immobilier;1 RUE CHARLES DE GAULLE;91530;ST CHERON;01 64 56 14 14;;http://www.abeille-conseilimmobilier.com/;;;;;;;
ABP BIENVENUE;61 av de la république;91230;Montgeron;01 69 48 33 26;;http://www.abpweb.fr/;;;;;;;
Abri immobilier;48, avenue de la libération RN7;91130;Ris-Orangis;01 69 43 57 57;;http://www.abri.fr/;;;;;;;
acces immobilier;Rond point petit caporal 1 av de Paris;91150;ETAMPES;01.69.78.22.83;;http://www.acces-immobilier.fr/;;;;;;;
Actif Immobilier;8 Bis Allée de l'Orme à Martin;91080;Courcouronnes;01 69 13 05 21;;http://www.actif-immo91.fr/;;;;;;;
ACTIMMO CONSEIL;144 avenue du Général Leclerc;91800;Brunoy;01 69 43 84 00;;http://www.actimmoconseil.fr/;;;;;;;
Afk-immobilier.fr;8 rue Carnot;91660;Mereville;01 64 95 43 73;;http://www.afk-immobilier.fr/;;;;;;;
Agence adv immobilier;16 AVENUE DE LA DIVISION LECLERC;91430;Igny;;;http://www.advimmobilier.com/;;;;;;;
AGENCE ALVIMMO;19 avenue du General Leclerc;91120;Palaiseau;01 60 14 97 97;;http://www.alvimmo.com/;;;;;;;
Agence Centrale;41 rue de Paris;91400;Orsay;01 69 07 03 03;;http://www.agencecentrale.fr/;;;;;;;
agence de l'eglise;;;;01 69 57 95 40;;http://www.agencedeleglise91.fr/;;;;;;;
Agence de la mairie;210 avenue Henri Barbusse;91210;Draveil;01 69 40 13 13;;http://www.agence-delamairie.fr/;;;;;;;
Agence du Parc;4 Place du marché;91590;LA FERTE ALAIS;01.64.57.80.80;;http://www.agenceduparc91.com/;;;;;;;
Agence du Parc;1, rue du Général Leclerc;91540;MENNECY;01 69 90 06 15;;http://www.immobilier-mennecy.com/;;;;;;;
Agence Foncière de Linas;37, rue de la Division Leclerc;91310;LINAS;01 69 80 94 44;;http://www.aflmimmobilier.com/;;;;;;;
AGENCE IMMOBILIÈRE DU CENTRE;8 rue Paron;91370;VERRIERES LE BUISSON;01 69 53 41 91;;http://www.agenceaic.com/;https://www.facebook.com/pages/Agence-Immobiliere-Du-Centre/184216138299495;;;;;;
Agence immobilière Ferrari;2, rue de Boussy;91480;QUINCY ss/ SENART;01.69.00.66.44;;http://www.immoferrari.com/;;;;;;;
AGENCE IMMOBILIERE POUR LA FONCTION PUBLIQUE;2 rue Montespan;91024;Evry;01 60 78 80 67;;http://www.aipfp.com/;;;;;;;
Agence Jules Ferry;75 rue de Montlhery;91240;Saint Michel sur Orge;01 64 49 99 99;;http://www.immobilier-91.net/;;;;;;;
AGENCE LA RESIDENCE;15 Place du Général Leclerc;91430;Vauhallan;01 69 41 31 44;;http://www.agencelaresidence.com/;;;;;;;
Agence Le Marechal;11 rue de Paris;91120;Palaiseau;01 60 14 14 41;;http://www.agence-immobiliere-palaiseau.com/;;;;;;;
Agence LOGISVERT- Immobilière de Lozère;6 rue Alfred de Musset;91120;PALAISEAU;01.69.31.00.00;;http://www.logisvert.com/;;;;;;;
Agence Lucas;1 RUE D ANTONY;91370;Verrières-le-Buisson;01 69 20 27 02;;http://www.agence-lucas.com/;;;;;;;
AGENCE MASSY-VERRIERES;104 avenue de la Gare;91300;MASSY;01.69.20.40.40;;http://www.agencemassy.fr/;;;;;;;
AGEVAL;42bis, av du Général Leclerc;91330;YERRES;01 69 49 26 23;;http://www.agevalimmobilier.com/;;;;;;;
ALBRECHTS IMMOBILIER;62 AVENUE DU 18 AVRIL;91200;ATHIS MONS;01 69 38 11 59;;http://www.albrechts-immobilier.com/;;;;;;;
Alpha Immo;29 rue Lamoignon;91530;SAINT CHÉRON;01 64 56 54 54;;http://www.alpha-immo91.fr/;;;;;;;
ALPHA IMMO 91;46 route de Chartres;91470;LIMOURS;01 64 91 71 71;;http://www.alpha-immo91.fr/;;;;;;;
Amj Immobilier;49 Route de Chartres;91440;Bures-sur-Yvette;01 69 28 10 00;;http://www.amj-immobilier.fr/;;;;;;;
Amj Immobilier;169 Rue de Paris;91120;Palaiseau;01 69 31 57 37;;http://www.amj-immobilier.fr/;;;;;;;
APP;6 rue Jean Danaux;91260;Juvisy-sur-Orge;01 69 44 22 22;;http://www.app-immo.com/;;;;;;;
Arpajon Immobilier;Place de l'Hôtel de Ville;91290;Arpajon;01 64 92 08 08;;http://www.arpajonimmobilier.fr/;;;;;;;
Asf immo;4 rue de Châtres;91790;BOISSY SOUS ST YON;01 60 82 08 08;;http://www.asf-immo.com/;;;;;;;
Asf immo;59 rue de la Libération;91680;BRUYERES LE CHATEL;01 64 90 96 67;;http://www.asf-immo.com/;;;;;;;
ASF Immobilier;41, Rue de la Libération;91680;BRUYERES LE CHATEL;01.64.90.96.67;;http://www.asf-immo.com/;;;;;;;
Astrid Immobilier;42, avenue Gabriel Péri;91700;Sainte-Geneviève-des-Bois;01 69 72 10 10;;http://www.astridimmo91.com/;;;;;;;
Attract;77 Za de Montvoisin;91400;Gometz la Ville;0169531225;;http://www.attract-immo.com/;;;;;;;
Atypique Immobilier;13 rue de Panserot;91510;LARDY;01.60.82.11.95;;http://www.immobilierlardy.fr/;;;;;;;
Bravo Immo;33 Bd de Fontainebleau RN 7;91550;Paray-Vieille-Poste;01 69 38 99 33;;http://www.bravo-immo.fr/;;;;;;;
Bures Immobilier;8 Place de la Poste;91440;BURES SUR YVETTE;01 64 86 10 00;;http://www.buresimmobilier.com/;;;;;;;
Cabinet Degrelle;11,13 rue Saint Antoine;91150;ETAMPES;0164944823;;http://www.immobilier-degrelle.com/;;;;;;;
