company_name;company_address;company_postalcode;company_city;company_phone;company_email;company_website;company_facebook;contact_firstname;contact_lastname;contact_email;contact_phone;contact_position;contact_linkedin
Agence d'Ivry;71, rue Henri IV;27540;IVRY LA BATAILLE;02 32 26 06 17;;http://www.immobilier-agence-ivry.fr/;;;;;;;
Agence DE NORMANDIE;16 rue Grande;27390;Montreuil l'Argille;0232463652;;http://www.agence-de-normandie.com/;https://www.facebook.com/agencedenormandie;;;;;;
Agence des 2 vallées;41 rue Isambard;27530;EZY SUR EURE;02.37.64.76.20;;http://www.agencedes2vallees.com/;;;;;;;
Agence Desjardins;119 RUE CARNOT;27200;Vernon;0232517400;;http://www.agencedesjardins.fr/;;;;;;;
Agence Immobilière Paris Deauville;R.N 13;27230;Duranville;02.32.46.59.81;;http://www.immobilier-parisdeauville.com/;;;;;;;
Agence Leblanc;5 rue Dauphine;27140;GISORS;02 32 55 06 20;;http://www.agenceleblanc.fr/;;;;;;;
Agence St Clair Immobilier;67 Place Sadi Carnot;27190;Conches;02 32 58 43 00;;http://www.agence-saint-clair.fr/;;;;;;;
Agence Turlot;109 rue Isambard;27120;PACY SUR EURE;02 32 36 00 40;;http://www.turlot-immobilier.com/;;;;;;;
Andelle Immo Conseil;108 Grande Rue;27360;Pont-Saint-Pierre;02 32 48 25 41;;http://www.andelle-immo.com/;;;;;;;
Armelle immo;20 place Benserade;27480;Lyons La Forêt;02 32 48 01 65;;http://www.armelimo.com/;;;;;;;
AVRE IMMOBILIER;98 rue Thiers;27130;VERNEUIL SUR AVRE;02 32 30 51 03;;http://www.avre-immobilier.com/;;;;;;;
Bias;73, Rue Dupont de l'Eure;27110;LE NEUBOURG;02 32 67 13 00;;http://www.biasimmobilier.fr/;;;;;;;
BIAS IMMOBILIER;676, Rue de Rouen;27310;BOURG ACHARD;02 32 42 16 00;;http://www.biasimmobilier.fr/;;;;;;;
BIAS IMMOBILIER;6, Grande Rue;27520;BOURGTHEROULDE INFREVILLE;02 35 77 49 00;;http://www.biasimmobilier.fr/;;;;;;;
BIAS IMMOBILIER;16, Place Hyacinthe Langlois;27340;PONT DE L'ARCHE;02 35 02 15 22;;http://www.biasimmobilier.fr/;;;;;;;
Cabinet Lamy;16 bis, rue Saint-Ouen;27140;GISORS;02.32.55.21.93;;http://www.cabinet-daniel-lamy.fr/;;;;;;;
Cabinet Lateurte;58 rue Aristide Briand;27120;Pacy sur Eure;02 32 36 07 16;;http://www.cabinet-lateurte.com/;;;;;;;
Cabinet Philippe Longfier;1, place Blanmont;27140;GISORS;02 32 55 21 11;;http://www.gisorslocation.fr/;;;;;;;
CENTURY 21 Osmose CB;22 rue Cappeville;27140;GISORS;02 32 27 37 37;;http://www.century21osmosecb.com/;https://www.facebook.com/pages/CENTURY-21-Osmose-CB/107373302624410;;;;;;
