company_name;company_address;company_postalcode;company_city;company_phone;company_email;company_website;company_facebook;contact_firstname;contact_lastname;contact_email;contact_phone;contact_position;contact_linkedin
Nestenn Chartres;23 place des Halles;28000;Chartres;02 37 83 75 99;;https://immobilier-chartres.nestenn.com/;;;;;;;
Nestenn Epernon;9 rue du Malconseil;28230;Epernon;02 37 83 83 83;;https://immobilier-epernon.nestenn.com/;;;;;;;
A LA PETITE COMMISSION;52 rue Pannard;28190;COURVILLE SUR EURE;02.37.32.12.87;;http://www.immopetitecom.com/;;;;;;;
A2i Immobilier;13, Place du Cygne;28000;CHARTRES;02 37 84 13 60;;http://www.a2i-immobilier.com/;;;;;;;
ABS IMMO;21 PLACE DU MARCHE;28700;Auneau;02 37 31 19 22;;https://www.absimmo28.com/;https://www.facebook.com/ABS-IMMO-1491110864244574/;;;;;;
Agence Alnéloise;3 avenue de Paris;28700;Auneau;02 37 31 83 46;;http://www.agencealneloise.com/;;;;;;;
Agence de la Halle;4 bis Place de La Halle;28270;BREZOLLES;02 37 48 38 57;;http://www.agencedelahalle.com/;;;;;;;
Agence Immote;20 RUE VILLETTE GATE;28400;NOGENT LE ROTROU;02.37.52.17.91;;http://www.agence-immote.com/;;;;;;;
Agence Salmagne;23 Rue du Grand Faubourg;28000;Chartres;02.37.83.75.99;;http://www.salmagne-immobilier.fr/;;;;;;;
Agence Salmagne;39 rue Jean Moulin;28170;Chateauneuf en Thymerais;02.37.51.36.91;;http://www.salmagne-immobilier.fr/;;;;;;;
Alain PALLY;39 Rue de Varize;28200;CHATEAUDUN;02 37 45 48 48;;http://www.apally.com/;;;;;;;
Alain PALLY;41 Rue de Chartres;28800;BONNEVAL;02 37 47 32 32;;http://www.apally.com/;;;;;;;
Alain PALLY;27 Rue Nationale;28220;CLOYES SUR LE LOIR;02 37 98 63 15;;http://www.apally.com/;;;;;;;
Anou Immobilier;4 Rue Jean Moulin;28200;CHATEAUDUN;02.37.45.10.00;;http://www.anou-immobilier-chateaudun.fr/;;;;;;;
Anou Immobilier;4 place de la Porte-Saint-Michel;28000;CHARTRES;02.37.88.40.88;;http://www.anou-immobilier.fr/;;;;;;;
Anou Immobilier;Z.A. route de Chartres;28160;BROU;02.37.96.40.25;;http://www.anou-immobilier.fr/;;;;;;;
Anou Immobilier;50, rue Jean Moulin;28170;CHATEAUNEUF-EN-THYMERAIS;02.37.51.83.84;;http://www.anou-immobilier.fr/;;;;;;;
Anou Immobilier;17, Place des Fusillés de la Résistance;28190;COURVILLE SUR EURE;02.37.23.39.32;;http://www.anou-immobilier.fr/;;;;;;;
Anou Immobilier;38, rue d Orfeuil;28100;DREUX;02.37.63.03.03;;http://www.anou-immobilier.fr/;;;;;;;
Anou Immobilier;5 rue du Château;28240;la loupe;02.37.81.01.02;;http://www.anou-immobilier.fr/;;;;;;;
Anou Immobilier;23, rue Collin d'Harleville;28130;MAINTENON;02.37.27.17.17;;http://www.anou-immobilier.fr/;;;;;;;
Authon immobilier;5 pl Marché;28330;Authon du Perche;02 37 49 00 37;;http://www.authonimmobilier.com/;;;;;;;
Aviron conseil immobilier;1, place Maurice Cazalis;28000;Chartres;02 37 300 400;;http://www.aviron-immo.fr/;;;;;;;
Cabinet Lemare-Hénault;13 bis, place du Musée;28100;Dreux;02 37 50 00 79;;http://www.lemare-immobilier.fr/;;;;;;;
CENTURY 21 Maitrejean Immobilier;14 rue Mathurin Régnier;28000;CHARTRES;02 37 99 21 21;;http://www.century21maitrejean.com/;https://www.facebook.com/Century21.maitrejean;;;;;;
Chateauneuf Immobilier;40, rue Maurice Viollette;28170;Châteauneuf en Thymerais;02 37 51 89 94;;http://www.agence-immobilier-chateauneuf.com/;;;;;;;
Chateauneuf Immobilier;5, rue Louis Peuret;28520;Senonches;02 37 37 85 24;;http://www.agence-immobilier-chateauneuf.com/;;;;;;;
CRITERES IMMOBILIER;45b rue Francs Bourgeois;28410;Bû;0237821020;;http://www.criteresimmobilier.com/;https://www.facebook.com/Criteres-Immobilier-Bu-840773272646922;;;;;;
DPI;49 rue Hubert Baraine;28260;Anet;02 37 41 48 23;;http://www.immobilier-anet.fr/;;;;;;;
Eco Immobilier;20 Ter rue Péan;28200;CHATEAUDUN;0972552170;;http://www.immobilier-moinscher.fr/;;;;;;;
ERA AGENCE DES 3 RIVIERES;4, rue Drouet;28230;Epernon;02 37 27 60 24;;http://www.era-immobilier-epernon.fr/;;;;;;;
ERA DEMEURES DU PERCHE IMMOBILIER;131, rue Saint Hilaire;28400;Nogent le Rotrou;02 37 52 08 08;;http://www.era-immobilier-nogent-le-rotrou.fr/;;;;;;;
ERA MULTI IMMOBILIER;46, rue du Grand Faubourg;28000;Chartres;02 37 20 99 01;;http://www.era-immobilier-chartres.fr/;https://www.facebook.com/pages/ERA-Immobilier-Chartres/142588422556436;;;;;;
Groupe Normile Immobilier;16 place du Vieux-Pré;28100;DREUX;;;http://www.normile.fr/;;;;;;;
Groupe Normile Immobilier;11, rue du Général De Gaulle;28210;NOGENT-LE-ROI;02.37.51.32.71;;http://www.normile.fr/;;;;;;;
Guy Hoquet l'Immobilier Chartres;24 PLACE DES EPARS;28000;Chartres;02 37 20 02 00;;http://www.guyhoquet-immobilier-chartres.com/;;;;;;;
Guy Hoquet L'immobilier Chateaudun;10 RUE JEAN MOULIN;28200;Châteaudun;02 37 45 05 57;;http://www.guyhoquet-immobilier-chateaudun.com/;https://www.facebook.com/pages/Guy-Hoquet-lImmobilier-Ch%C3%A2teaudun/278691278879903;;;;;;
Guy Hoquet l'Immobilier Chateauneuf-en-Thymerais;30 RUE JEAN MOULIN;28170;Châteauneuf-en-Thymerais;02 37 51 00 28;;http://www.guyhoquet-immobilier-chateauneuf.com/;;;;;;;
Guy Hoquet l'Immobilier Courville-sur-Eure;1 PLACE DES FUSILLES DE LA RESISTANCE;28190;Courville-sur-Eure;02 37 23 37 21;;http://www.guyhoquet-immobilier-courville.com/;;;;;;;
Guy Hoquet l'Immobilier Maintenon;12 rue de la Ferté Résidence les Grandes Cours;28130;Maintenon;02 37 27 10 13;;http://www.guyhoquet-immobilier-maintenon.com/;;;;;;;
Guyon Immobilier;10 rue de Chartres;28240;La Loupe;02 37 81 04 90;;http://www.guyon-immobilier.com/;;;;;;;
HANCHES Immobilier;43, rue de la Billardière;28130;HANCHES;"02.37.83.57.16
RSS :";;http://www.hanches-immobilier.fr/;;;;;;;
Jade Immobilier;;;;02 37 29 12 30;;http://www.ori.fr/;;;;;;;
JOSIANE GAUDE IMMOBILIER;10, place des Epars;28005;Chartres;02.37.21.70.70;;http://www.josiane-gaude-immobilier.com/;;;;;;;
L'Immobilier Percheron;2, rue du Sous-lieutenant Germond;28330;AUTHON-DU-PERCHE;02.37.49.02.47;;http://www.immobilierpercheron.com/;;;;;;;
La chaumière;7 rue collin d'harleville;28130;Maintenon;02.37.23.11.55;;http://www.la-chaumiere.fr/;;;;;;;
La villa é;41 rue d'Oullins;28260;Anet;02 37 64 54 05;;http://www.lavillae-immobilier.com/;https://www.facebook.com/pages/La-Villa-%C3%A9/1433579423532233;;;;;;
LAGENCE l'Esprit Immobilier;26, Rue de Chartres;28800;BONNEVAL;02.37.47.10.00;;http://www.lagence-esprit-immo.fr/;;;;;;;
Latour;34, rue d'Orfeuil;28100;Dreux;02 37 62 80 22;;http://www.latour-location.com/;;;;;;;
LES LOGIS DE BROU;17 RUE DE LA CHEVALERIE;28160;BROU;02 37 96 00 11;;http://www.leslogisdebrou.com/;;;;;;;
Martin transactions - Arthur Loyd;4, Avenue Maurice Maunoury;28600;LUISANT;;;http://www.martin-transactions.com/;;;;;;;
MGN Immobilier;2 rue du Général de Gaulle;28210;NOGENT LE ROI;02 37 51 44 34;;http://www.mgn-immobilier.com/;;;;;;;
Paola immobilier;60 rue de la République;28110;LUCE;02.37.30.75.08;;http://www.paolaimmobilier.com/;;;;;;;
Saint-thibault immobilier;;;;;;http://www.saint-thibault-immobilier.com/;;;;;;;
Salmagne Perche Immobilier;39 rue Jean Moulin;28170;CHATEAUNEUF EN THYMERAIS;0237513691;;http://www.salmagne-immobilier.com/;;;;;;;
UNIVERSAL DEMEURE IMMOBILIER;25 RUE BOURGEOISE;28230;EPERNON;02.37.83.57.10;;http://www.universal-demeure.fr/;;;;;;;
Anou Immobilier;23, rue Collin d'Harleville;28130;MAINTENON;02.37.27.17.17;;http://www.anou-immobilier.fr/;;;;;;;
Authon immobilier;5 pl Marché;28330;Authon du Perche;02 37 49 00 37;;http://www.authonimmobilier.com/;;;;;;;
Aviron conseil immobilier;1, place Maurice Cazalis;28000;Chartres;02 37 300 400;;http://www.aviron-immo.fr/;;;;;;;
Cabinet Lemare-Hénault;13 bis, place du Musée;28100;Dreux;02 37 50 00 79;;http://www.lemare-immobilier.fr/;;;;;;;
