company_name;company_address;company_postalcode;company_city;company_phone;company_email;company_website;company_facebook;contact_firstname;contact_lastname;contact_email;contact_phone;contact_position;contact_linkedin
Nestenn Concarneau;21 Avenue Pierre Gueguin;29900;Concarneau;02 98 58 08 88;;https://immobilier-concarneau.nestenn.com/;;;;;;;
Agence de l'Europe;15 PLACE DE L EUROPE;29880;PLOUGUERNEAU;02 98 37 12 37;;http://www.agencedeleurope.com/;;;;;;;
Agence De L'Odet;20 moulin du pont;29170;Pleuven;"02.98.54.70.68
RSS :";;http://www.agencedelodet.com/;;;;;;;
Agence de la baie;26 rue Charles de Gaulle;29940;La Foret Fouesnant;02.98.91.58.47;;http://www.agencedelabaie.fr/;;;;;;;
Agence de la Place;9, place de la Libération;29820;GUILERS;"02.98.07.68.61
RSS :";;http://www.immodelaplace.com/;;;;;;;
Agence des Avens;4, rue des Plages;29350;MOELAN-SUR-MER;"02.98.39.07.07
RSS :";;http://www.agence-des-avens.com/;;;;;;;
Agence Douarneniste Immobilière;29 quai de l'Yser;29100;Douarnenez;02 98 74 04 04;;http://www.immo-treboul.fr/;;;;;;;
Agence du Chateau à Pont l'Abbé;5,rue du Général de Gaulle;29120;PONT L'ABBE;02.98.82.37.38;;http://www.agenceduchateaupontlabbe.fr/;;;;;;;
AGENCE du Porzay;18 rue de la Presqu'Ile;29550;PLONEVEZ PORZAY;02 98 11 99 12;;http://www.briec-immobilier.com/;;;;;;;
Agence du Quai;7, quai Carnot;29900;CONCARNEAU;"02.98.50.88.06
RSS :";;http://www.agenceduquai.com/;;;;;;;
Agence Immobilier Service;15 bis route de la côte des légendes;29890;KERLOUAN;02 98 83 92 56;;http://www.immo-ais.com/;;;;;;;
Agence Immobilière Dambrine;29 Rue du Général de Gaulle;29930;Pont Aven;02.98.35.15.76;;http://www.immo-dambrine.com/;https://www.facebook.com/pages/AID-Agence-Immobili%C3%A8re-Dambrine/1416198435316949;;;;;;
AIP;2 RUE DU CHATEAU;29870;LANNILIS;02 98 37 21 21;;http://www.aip-immobilier.fr/;;;;;;;
Alain Fechant Immobilier;9 rue Hoche;29120;Pont-l'abbé;"02.98.87.18.63
RSS :";;http://www.afimmobilier.fr/;;;;;;;
Alain Guirriec Immobilier;4 Avenue de la Gare;29900;CONCARNEAU;02 98 97 18 50;;http://www.alain-guirriec-immobilier.com/;;;;;;;
Alv Immobilier;50 Avenue du Rouillen;29500;ERGUE-GABERIC;02.98.90.24.10;;http://www.alvimmobilier.com/;;;;;;;
AQG Concarneau;53 Avenue de la Gare;29900;CONCARNEAU;02.98.50.59.59;;http://www.aqg-concarneau.com/;;;;;;;
Ar Faou Immobilier;4 place aux Foires;29590;LE FAOU;02.98.81.09.67;;http://www.faou-immobilier-finistere.com/;;;;;;;
Ar Men Immobilier;32 RUE HENRI PROVOSTIC;29830;PLOUDALMEZEAU;"02.98.38.16.06
RSS :";;http://www.armen-immobilier.com/;;;;;;;
Armoric Agence;64 avenue de la plage;29950;BENODET;02 98 57 11 71;;http://www.armoricagence.com/;;;;;;;
Arvro Immobilier;1, rue Anne de Bretagne;29490;GUIPAVAS;02 98 32 11 12;;http://www.arvro-immobilier-finistere.fr/;;;;;;;
Audierne Immobilier;16 rue Gambetta;29770;AUDIERNE;"02.98.70.08.27
RSS :";;http://www.audierne-immobilier.fr/;;;;;;;
Barraine Immobilier;;;;;;http://www.barraine-immobilier.com/;;;;;;;
Beniguet;7 rue de Brest;29830;Ploudalmézeau;02 98 38 10 90;;http://www.beniguet-immobilier.com/;;;;;;;
Briec immobilier;66 rue du Général de Gaulle;29510;BRIEC;02 98 57 90 98;;http://www.briec-immobilier.com/;;;;;;;
Cabinet Kerjean;1 place de la libération;29660;Carantec;02.98.67.03.03;;http://www.cabinet-kerjean.fr/;https://www.facebook.com/cabinetkerjean;;;;;;
Cabinet Kerjean;72 rue Alsace Lorraine;29160;Crozon;02.98.27.10.22;;http://www.cabinet-kerjean.fr/;;;;;;;
Cabinet Kerjean;10 bd de la République;29270;Carhaix Plouguer;02.98.99.19.19;;http://www.cabinet-kerjean.fr/;;;;;;;
Cabinet Kerjean;12, quai du Léon;29800;Landerneau;02.98.21.39.67;;http://www.cabinet-kerjean.fr/;;;;;;;
Cabinet Kerjean;13 rue georges clemenceau;29400;Landivisiau;02.98.68.10.10;;http://www.cabinet-kerjean.fr/;;;;;;;
Cabinet Kerjean;2 place du Général Leclerc;29870;Lannilis;02.98.04.14.14;;http://www.cabinet-kerjean.fr/;;;;;;;
Cabinet Kerjean;3, place de l'Europe;29260;Lesneven;02.98.83.06.54;;http://www.cabinet-kerjean.fr/;;;;;;;
Cabinet Kerjean;54 nouvelle côte;29241;Locquirec;02.98.79.34.39;;http://www.cabinet-kerjean.fr/;;;;;;;
Cabinet Kerjean;33, place des Otages;29600;Morlaix;02.98.62.13.62;;http://www.cabinet-kerjean.fr/;;;;;;;
Cabinet Kerjean;7 rue de Brest;29280;Plouzané;02.98.05.98.16;;http://www.cabinet-kerjean.fr/;;;;;;;
Cabinet LCI;29 place Cornic;29600;Morlaix;02.56.45.68.83;;http://www.cabinetlci-morlaix.fr/;;;;;;;
Cabinet Pegase;400 r augustin fresnel zi kergaradec;29490;Guipavas;"02.98.42.61.42
RSS :";;http://www.cabinet-pegase.fr/;;;;;;;
Cailliau & Le Garo Immobilier;5bis av mer;29950;Bénodet;02.98.57.26.79;;http://www.clg-immobilier.fr/;;;;;;;
Cailliau & Le Garo Immobilier;15 rue de L'odet;29120;Combrit;02.98.56.73.80;;http://www.clg-immobilier.fr/;;;;;;;
Cailliau & Le Garo Immobilier;Rond Point de l' Odet;29170;FOUESNANT;02.98.56.51.53;;http://www.clg-immobilier.fr/;;;;;;;
Casea Immobilier;13 Avenue de l'Odet;29950;BENODET;02.98.11.22.22;;http://www.casea-immobilier.fr/;;;;;;;
Casea Immobilier;42 rue de Cornouaille;29170;FOUESNANT;02.98.51.22.22;;http://www.casea-immobilier.fr/;;;;;;;
Chailloux Immobilier;7 Avenue Alain Le Lay;29900;CONCARNEAU;"02.98.50.51.00
RSS :";;http://www.chailloux-immobilier.com/;;;;;;;
Cil Atlantique;;;;;;http://www.cilatlantique.com/;;;;;;;
CLOHARS GESTION IMMOBILIERE;15 rue de Quillien;29360;Clohars Carnoët;02 98 96 37 20;;http://www.cloharsgestionimmobiliere.fr/;;;;;;;
Cormorans immo;1 rue de Pen Allée;29120;PLOMEUR;02 98 59 96 26;;http://www.cormoransimmo.com/;;;;;;;
Côté Mer Côté Jardin immobilier;40 vieille côte Marie galante;29241;LOCQUIREC;02 98 67 41 33;;http://www.cotemercotejardinimmobilier.com/;;;;;;;
Creff Immobilier;15 rue de Quillien;29360;CLOHARS-CARNOËT;02 98 06 63 46;;http://www.creff-immobilier.com/;;;;;;;
Crozon Immobilier;18 Bd. de la France libre;29160;Crozon - Morgat;02 98 26 25 00;;http://www.crozonimmobilier.com/;;;;;;;
Elorn immobilier;17,rue Alain Daniel;29800;LANDERNEAU;02 98 85 11 64;;http://www.elorn-immobilier.com/;;;;;;;
ERA Bretagne;;;;;;http://www.era-immobilier-bretagne.fr/;;;;;;;
ERA M & R IMMOBILIER;24, place Général de Gaulle;29600;Morlaix;02 98 88 11 11;;http://www.immobilier-morlaix-era.fr/;;;;;;;
ERA PRIMA IMMOBILIER - QUIMPERLE;31, rue de Pont Aven;29300;Quimperle;02 98 39 09 20;;http://www.era-immobilier-quimperle.fr/;;;;;;;
ERA ROUXELIMMO;20, Hent Kerfram;29700;Plomelin;02 98 97 22 72;;http://www.era-immobilier-plomelin.fr/;https://www.facebook.com/era.rouxelimmo;;;;;;
Erwann Cossec;8 bis, Rue Du Port;29750;Loctudy;02.98.66.58.01;;http://www.pontlabbe-immobilier.com/;;;;;;;
Erwann Cossec;8 bis rue du Port;29750;Loctudy;;;http://www.cossec-immobilier.com/;;;;;;;
Esprit Immobilier;Place de l'Eglise;29920;Nevez;02.98.06.60.30;;http://esprit-immo.com/;https://www.facebook.com/espritimmo;;;;;;
Esprit Immobilier;11 rue de Pont Aven;29910;Tregunc;02.98.50.24.64;;http://www.esprit-immo.com/;https://www.facebook.com/espritimmo;;;;;;
Excell Immobilier;15 rue du Général Leclerc;29250;Saint-Pol De Leon;"02.98.78.00.80
RSS :";;http://www.excellimmobilier.com/;;;;;;;
Fontenoy Groupe Immobilier;5 rue du Général Leclerc;29430;Plouescat;02 98 69 85 76;;http://www.fontenoy.com/;;;;;;;
Fontenoy Groupe Immobilier;1 rue St Yves;29250;St Pol de Leon;02 98 19 10 49;;http://www.fontenoy.com/;;;;;;;
Geneviève TANGUY;17 rue du Général de Gaulle;29;Le Faou;02.98.81.00.98;;http://www.immodufaou.fr/;;;;;;;
Glin - Immo;62,rue de Kerneveleck;29170;FOUESNANT;02.98.60.29.29;;http://www.glin-immo.com/;;;;;;;
Glin - Immo;13 rue du Château;29120;PONT L'ABBE;02.98.87.11.11;;http://www.glin-immo.com/;;;;;;;
Glin Immobilier;3, rue Jean Bart;29100;DOUARNENEZ;02 98 92 88 88;;http://www.glin-immobilier.com/;;;;;;;
Horizon Immobilier;10 Place du Commerce;29280;PLOUZANE;02.98.49.09.62;;http://www.horizonimmo.com/;;;;;;;
Immobilier Autrement;13, place de la Libération;29480;Le Relecq de Kerhuon;"02.98.30.49.59
RSS :";;http://www.immobilier-kerhuon.com/;;;;;;;
Immobilier Bocquet;Corniche de la Plage;29950;BÉNODET;02 98 57 00 77;;http://www.immobilier-bocquet.com/;;;;;;;
Immobilier KEREBEL;3, Rue de la Mairie;29470;Plougastel-Daoulas;02 98 40 52 62;;http://www.finistereimmobilier.com/;https://www.facebook.com/immobilier.kerebel;;;;;;
Immoplus29.com;22 rue Duguay Trouin;29100;Douarnenez;02 98 11 05 11;;http://www.immoplus29.com/;;;;;;;
Immoplus29.com;Menez Bras;29870;Lannilis;02 98 37 23 46;;http://www.immoplus29.com/;;;;;;;
Ker Heol Immobilier;105 rue de l'Armor;29290;MILIZAC;"02.30.82.08.33
RSS :";;http://www.kerheol-immobilier.com/;;;;;;;
Kérentrée Immobilier;1, rue de Kérentrée;29120;PONT L'ABBE;02 98 87 13 50;;http://www.kerentree-immobilier.fr/;;;;;;;
