company_name;company_address;company_postalcode;company_city;company_phone;company_email;company_website;company_facebook;contact_firstname;contact_lastname;contact_email;contact_phone;contact_position;contact_linkedin
Nestenn Condom;Avenue des Anciens Combattants AFN et TOE;32100;Condom;05 62 68 12 59;;https://immobilier-condom.nestenn.com/;;;;;;;
Accueil Immobilier Voltaire;8 Place de Verdun;32000;AUCH;05.62.05.09.66;;http://www.aivoltaire.com/;;;;;;;
Belle Maison;19, Rue Gambetta;32100;Condom;05 62 68 34 23;;http://www.bellemaison32.com/;;;;;;;
CIAL;21, rue Alsace-Lorraine;32700;LECTOURE;05 62 68 94 00;;http://www.cial.fr/;;;;;;;
Compass Immobilier;84 Ave des Thermes;32410;Castéra-Verduzan;05-62 28 60 48;;http://www.compass-immo.com/;https://www.facebook.com/pages/Castera-Verduzan-France/Compass-Immobilier/136670415490;;;;;;
Condom Immobilier;Place Marre;32100;Condom;05 62 28 05 61;;http://www.condom-immobilier.com/;;;;;;;
Gelas Immobilier;19 route d'Auch;32190;VIC-FEZENSAC;05.62.06.52.91;;http://www.immobilier-gelas.com/;;;;;;;
Groupe Bertoletti Immobilier;37, avenue des Thermes;32150;Barbotan Les Thermes;05 62 08 38 63;;http://www.bonheurimmobilier.com/;;;;;;;
Groupe Bertoletti Immobilier;7, place de l'Eglise;32160;Plaisance du Gers;05 62 69 33 89;;http://www.bonheurimmobilier.com/;;;;;;;
Groupe Bertoletti Immobilier;2, Rue Joseph Abeilhé;32230;Marciac;05 62 09 34 36;;http://www.bonheurimmobilier.com/;;;;;;;
HENRY IMMOBILIER & FILLES;;;;;;http://www.maisons-gers.com/;;;;;;;
IDG;4, Place Jean David;32000;AUCH;05.62.63.00.12;;http://www.idgers.com/;;;;;;;
Immo Pro;9, place des Cordeliers;32130;SAMATAN;05 62 62 42 62;;http://www.immopro.fr/;;;;;;;
Immo-Gers;1 rue H.cazaubon;32100;CONDOM;05.62.28.88.65;;http://www.immo-gers.com/;;;;;;;
Immobilier 32;1 rue de Rohan;32300;Mirande;05 62 59 03 17;;http://www.immobilier32.com/;;;;;;;
Immobilière De La Save;14, Rue Jean Moulin;32600;L'ISLE JOURDAIN;0562070707;;http://www.immobiliere-de-la-save.fr/;;;;;;;
Kap'Immo;215 Av de Gascogne;32600;PUJAUDRAN;05.62.07.44.70;;http://www.kapimmo.com/;;;;;;;
L'adresse AGENCE 124;10 boulevard Carnot;32600;L'Isle en Jourdain;05 62 07 30 98;;http://www.ladresse-lislejourdain.com/;;;;;;;
L'OCCITANE;7, rue République;32600;L'ISLE JOURDAIN;05.62.07.34.34;;http://www.occitane.fr/;;;;;;;
Laffitte Immobilier;5, avenue de la Ténarèze;32800;Eauze en Gascogne;05 62 09 83 88;;http://www.gascogne-immo.com/;;;;;;;
Ma Maison Immobilier;14, Avenue des Anciens Combattants;32100;Condom;0562 680959;;http://www.mamaison-immobilier.com/;;;;;;;
Pierres de Gascogne;38 av des Thermes;32410;CASTERA-VERDUZAN;05.62.68.10.86;;http://www.pierres-de-gascogne.com/;;;;;;;
Saint Jacques Immobilier;27, rue GAMBETTA;32100;CONDOM;05.62.29.18.13;;http://www.stjacquesimmobilier.com/;;;;;;;
Tournesol Immobilier;Au Moulin Neuf 75 Rue de la République;32120;Mauvezin;;;https://www.tournesol-immo.fr/;https://www.facebook.com/tournesolimmo/;;;;;;
Un projet pour vous;16 Place Gambetta;32600;L Isle Jourdain;05 62 67 83 13;;http://www.unprojetpourvous.com/;;;;;;;
Ma Maison Immobilier;14, Avenue des Anciens Combattants;32100;Condom;0562 680959;;http://www.mamaison-immobilier.com/;;;;;;;
Pierres de Gascogne;38 av des Thermes;32410;CASTERA-VERDUZAN;05.62.68.10.86;;http://www.pierres-de-gascogne.com/;;;;;;;
Saint Jacques Immobilier;27, rue GAMBETTA;32100;CONDOM;05.62.29.18.13;;http://www.stjacquesimmobilier.com/;;;;;;;
Tournesol Immobilier;Au Moulin Neuf 75 Rue de la République;32120;Mauvezin;;;https://www.tournesol-immo.fr/;https://www.facebook.com/tournesolimmo/;;;;;;
Un projet pour vous;16 Place Gambetta;32600;L Isle Jourdain;05 62 67 83 13;;http://www.unprojetpourvous.com/;;;;;;;
