company_name;company_address;company_postalcode;company_city;company_phone;company_email;company_website;company_facebook;contact_firstname;contact_lastname;contact_email;contact_phone;contact_position;contact_linkedin
Nestenn Begles;32 Cours Victor Hugo;33130;Begles;05 56 85 65 56;;https://immobilier-begles.nestenn.com/;;;;;;;
Nestenn La Teste de Buch;3 rue Victor Hugo;33150;La Teste de Buch;00 00 00 00 00;;https://immobilier-arcachon.nestenn.com/;;;;;;;
Nestenn Pessac;21 Avenue Jean Jaurès;33600;Pessac;05 57 02 09 00;;https://immobilier-pessac.nestenn.com/;;;;;;;
Nestenn Saint-Medard-En-Jalles;97 Avenue Montesquieu;33160;Saint-Médard-En-Jalles;05 56 11 15 79;;https://immobilier-saint-medard-en-jalles.nestenn.com/;;;;;;;
Nestenn Talence;241 Bis Cours Gambetta;33400;Talence;05 56 06 41 41;;https://immobilier-talence.nestenn.com/;;;;;;;
A2Z AGENCY;;;;05 56 76 74 28;;http://www.a2z-agency.com/;;;;;;;
Absolute Habitat;66 Avenue du Président Robert Schuman;33110;Le Bouscat;;;http://www.absolutehabitat.com/;;;;;;;
Aby;50 avenue de la Mairie;33950;Lège Cap-Ferret;05 56 603 603;;http://www.aby-immobilier.com/;;;;;;;
ACM Immobilier;64 Avenue de la cote d'Argent;33680;Lacanau;05 56 03 58 86;;http://immobilierlacanau.fr/;;;;;;;
Acropole Immobilier;11 rue Pierre Dignac;33260;TESTE;05 56 54 18 19;;http://www.acropole-immobilier.com/;;;;;;;
AGAMA;88, av de la République;33820;Saint Ciers sur Gironde;05 57 32 84 77;;http://www.agama-immobilier-17.com/;;;;;;;
Agate Immobilier;Arroutgey sud;33730;NOAILLAN;;;http://www.agate-immobilier.com/;https://www.facebook.com/pages/Agate-Immobilier-Annonces/263555497088451;;;;;;
Agenc'immo;14 Place du Souvenir;33610;CESTAS;05.56.78.29.79;;http://www.agenc-immo.com/;https://www.facebook.com/pages/Agencimmo/285278598211261;;;;;;
Agence Abatilles;278, Boulevard de la Plage;33120;Arcachon;05 56 22 52 67;;http://www.agenceabatilles.com/;;;;;;;
Agence Alizés;29, Rue des Goélands;33970;Lège-Cap-Ferret;05 56 60 48 57;;http://www.agence-alizes.com/;;;;;;;
