company_name;company_address;company_postalcode;company_city;company_phone;company_email;company_website;company_facebook;contact_firstname;contact_lastname;contact_email;contact_phone;contact_position;contact_linkedin
Ag Frey Immo;11 rue de Kingersheim;68270;WITTENHEIM;03 89 53 22 94;;http://www.ag-conseil.net/;;;;;;;
Ag Frey Immo;6 rue d'Eschentzwiller;68440;Zimmersheim;;;http://www.ag-conseil.net/;;;;;;;
Agence Domimmo;53 avenue du Général de Gaulle;68300;Saint Louis;03 89 69 97 03;;http://www.agencedomimmo.com/;;;;;;;
Agence Immobiliere Serbatim;2 rue des Pruniers;68190;ENSISHEIM;03 89 26 49 48;;http://www.serbatim.com/;;;;;;;
AlainG;47, rue de Mulhouse;68310;WITTELSHEIM;03 89 57 34 71;;http://www.alaingimmo.com/;;;;;;;
Alliances Immo;4 rue du Dr SCHOLER;68350;BRUNSTATT;03 89 54 48 81;;http://www.alliancesimmo.com/;;;;;;;
ALMABOIS GROUPE IMMOBILIER;19, rue de France;68510;MAGSTATT-LE-HAUT;03 89 81 64 10;;http://www.almabois-immo.com/;;;;;;;
Alsagest;2 rue de Pfastatt;68110;ILLZACH;03 89 53 18 35;;http://www.alsagest.com/;;;;;;;
Altkirch Immobilier;11 rue Jean-Jacques Henner;68130;Altkirch;03 89 08 89 08;;http://www.altkirch-immo.com/;;;;;;;
APFI;2, rue de Mulhouse;68310;WITTELSHEIM;03 89 55 31 74;;http://www.agence-apfi.com/;;;;;;;
AS Immo;91, Rue de Mulhouse;68390;SAUSHEIM;03.89.36.07.07;;http://www.asimmo.net/;;;;;;;
Axel Immobilier;10 Rue de la Paix;68700;CERNAY;;;http://www.axel-immo.fr/;;;;;;;
AXH Immobilier;1, rue des Alpes;68390;Sausheim;03 89 61 55 40;;http://www.axh-immo.com/;;;;;;;
CAGIM;2, rue du Cavalier;68330;HUNINGUE;;;http://www.cagim.fr/;;;;;;;
Dif immo;33, rue de Paris;68220;ATTENSCHWILLER;03/89/68/46/68;;http://www.dif-immo.com/;;;;;;;
EFCO Immo;9 croisée des Lys;68300;Saint-Louis;03 89 89 90 58;;http://www.efco-immo.com/;;;;;;;
Etimmo;6 rue des Acacias;68300;Saint-Louis;03 89 67 00 30;;http://www.etimmo.com/;;;;;;;
ETUDE HOENNER;59 rue de Mulhouse;68400;Riedisheim;03 89 65 11 11;;http://www.etude-hoenner.com/;;;;;;;
Fleith Immo;14 A rue Vignoble;68150;RIBEAUVILLE;03 89 23 09 41;;http://www.fleith-immo.fr/;;;;;;;
Hagenbach Immobilier;1 rue du Maréchal de Lattre de Tassigny;68170;RIXHEIM;03 89 35 30 90;;http://www.hagenbach-immobilier.com/;;;;;;;
IDZ-Immo;15 rue de Hégenheim;68220;Hésingue;03 89 89 47 00;;http://www.idz-immo.com/;https://www.facebook.com/pages/IDZ-Immobilier/130499237002780;;;;;;
IFK;20b Grand Rue;68180;HORBOURG-WIHR;03 89 23 89 09;;http://www.agence-ifk.com/;;;;;;;
IMMO 68;5, rue de Kingersheim;68270;Wittenhein;03 89 57 60 26;;http://www.immo68.fr/;;;;;;;
Immo Conseil Dagon;58 rue de la République;68500;Guebwiller;03 89 76 48 98;;http://www.immoconseildagon.fr/;;;;;;;
Immo Déclic;7b, rue du Général De Lattre de Tassigny;68730;BLOTZHEIM;03 89 89 20 76;;http://www.immo-declic.com/;https://www.facebook.com/pages/Agence-Immo-D%C3%A9clic-Blotzheim/135056613223137;;;;;;
Immobilière Duchesne;27 avenue de Bale;68300;Saint Louis;;;http://www.immo-duchesne.com/;;;;;;;
Immobilière Landis;6 Grand’Rue;68140;MUNSTER;03 89 77 89 00;;http://www.immo-landis.fr/;;;;;;;
Immoclair;6, rue de Bâle;68210;Dannemarie;03 89 25 12 35;;http://immoclair.com/;https://www.facebook.com/pages/Immoclair/164893060220790;;;;;;
Immoplus;36 rue de la Libération;68870;Bartenheim-la-Chaussée;03 89 40 84 34;;http://www.immoplus-alsace.com/;;;;;;;
Joffre Immobilier;6 rue Maréchal JOFFRE;68250;ROUFFACH;03.89.73.15.13;;http://www.joffre-immobilier.fr/;;;;;;;
L’ADRESSE AGENCE AU POLE IMMOBILIER;10 avenue du Général De Gaulle;68300;SAINT LOUIS;03 89 89 90 00;;http://www.ladresse-saintlouis.com/;;;;;;;
Logis d'Alsace;9 Place de la Republique;68130;Altkirch;0389088899;;http://www.logis-alsace.com/;;;;;;;
Maya Immo;Galerie HYPER U;68510;Sierentz;03 89 28 51 18;;http://www.maya-immo.com/;;;;;;;
MH IMMOBILIER CONSEIL;10 Pl Joffre;68800;Thann;03 89 37 53 20;;http://www.mhimmobilierconseil.fr/;;;;;;;
MH Immobilier Conseil;40 rue du Gél. de Gaulle;68550;Saint Amarin;03 89 82 13 16;;http://www.mhimmobilierconseil.fr/;;;;;;;
PREFERENCE IMMOBILIER;54 Rue Bartholdi;68400;Riedisheim;03 89 44 40 44;;http://www.preference-immobilier.com/;;;;;;;
Regio-Immo;9 rue du GMA;68580;Seppois Le Bas;03 89 70 16 84;;http://www.regioimmo.com/;;;;;;;
Relais Immo;32, place d'Armes;68600;Neuf-Brisach;03 89 72 91 92;;http://www.relais-immo.com/;;;;;;;
Scoop Immo;7 rue du Maréchal Foch;68128;Village Neuf;03 89 91 02 55;;http://www.scoop-immo.com/;;;;;;;
Sofovam;28 Grand rue;68140;Munster;03 89 77 32 05;;http://www.sofovam.fr/;;;;;;;
Staub Immobilier;6, Rue de Mulhouse;68300;Saint Louis;03 89 89 72 30;;http://www.staubimmo.com/;https://www.facebook.com/pages/Staub-Immobilier/209928489075441;;;;;;
V.F. Conseils;34bis, route d'Altkirch;68720;ILLFURTH;03 89 08 43 92;;http://www.fritsch-immobilier.com/;;;;;;;
IDZ-Immo;15 rue de Hégenheim;68220;Hésingue;03 89 89 47 00;;http://www.idz-immo.com/;https://www.facebook.com/pages/IDZ-Immobilier/130499237002780;;;;;;
IFK;20b Grand Rue;68180;HORBOURG-WIHR;03 89 23 89 09;;http://www.agence-ifk.com/;;;;;;;
IMMO 68;5, rue de Kingersheim;68270;Wittenhein;03 89 57 60 26;;http://www.immo68.fr/;;;;;;;
Immo Conseil Dagon;58 rue de la République;68500;Guebwiller;03 89 76 48 98;;http://www.immoconseildagon.fr/;;;;;;;
Immo Déclic;7b, rue du Général De Lattre de Tassigny;68730;BLOTZHEIM;03 89 89 20 76;;http://www.immo-declic.com/;https://www.facebook.com/pages/Agence-Immo-D%C3%A9clic-Blotzheim/135056613223137;;;;;;
Immobilière Duchesne;27 avenue de Bale;68300;Saint Louis;;;http://www.immo-duchesne.com/;;;;;;;
Immobilière Landis;6 Grand’Rue;68140;MUNSTER;03 89 77 89 00;;http://www.immo-landis.fr/;;;;;;;
Immoclair;6, rue de Bâle;68210;Dannemarie;03 89 25 12 35;;http://immoclair.com/;https://www.facebook.com/pages/Immoclair/164893060220790;;;;;;
Immoplus;36 rue de la Libération;68870;Bartenheim-la-Chaussée;03 89 40 84 34;;http://www.immoplus-alsace.com/;;;;;;;
Joffre Immobilier;6 rue Maréchal JOFFRE;68250;ROUFFACH;03.89.73.15.13;;http://www.joffre-immobilier.fr/;;;;;;;
