company_name;company_address;company_postalcode;company_city;company_phone;company_email;company_website;company_facebook;contact_firstname;contact_lastname;contact_email;contact_phone;contact_position;contact_linkedin
A2b immobilier;5, Place Cadelade;43000;PUY EN VELAY;04 71 09 56 67;;http://www.a2bimmobilier.net/;;;;;;;
ABRY Immobilier;46 rue Jules Maigre;43100;BRIOUDE;04 71 50 13 13;;http://www.abry.fr/;https://www.facebook.com/AbryImmobilier;;;;;;
Act'immo;7 rue Chenebouterie;43000;Le Puy en Velay;04 71 02 12 83;;http://www.actimmo-43.fr/;;;;;;;
AGENCE DU PLATEAU;2 rue mairie;43400;le chambon sur lignon;04 71 59 27 09;;http://www.agenceduplateau.fr/;https://www.facebook.com/pages/Agence-du-Plateau-Haute-Loire-et-Ardeche/184934791554427;;;;;;
Agence Velay Immobilier;6 rue Crozatier;43002;Le Puy-en-Velay;04 71 05 34 34;;http://www.agence-velay-immobilier.fr/;;;;;;;
Audenis porte immobilier;6, RUE JULES MAIGNE;43100;BRIOUDE;04 71 50 01 35;;http://www.immauvergne.com/;;;;;;;
Corimmo;6 Bd Carnot;43000;Le Puy;04 71 02 50 50;;http://www.immobilier-haute-loire.com/;;;;;;;
CURTIS IMMOBILIER;4, rue Louis de Charbonnel;43120;Monistrol sur Loire;04 71 75 93 60;;http://www.curtis-immobilier.fr/;;;;;;;
General Partners;23 Faubourg St Jean;43000;Le Puy en Velay;04 71 01 23 84;;http://www.gpartners.fr/;https://www.facebook.com/pages/Immobilier-LE-PUY/192543447436247;;;;;;
Gibert Immobilier;17 avenue Georges Clémenceau;43000;Le Puy en Velay;04 71 02 03 04;;http://www.gibert-immobilier.fr/;;;;;;;
Guy Hoquet l'Immobilier Langeac;21 PLACE DE LA FAVIERE;43300;Langeac;04 71 77 30 87;;http://www.guyhoquet-immobilier-langeac.com/;;;;;;;
Immobilier Romeyer;8, Rue Chaussade;43000;Le Puy-en-Velay;"04 71 02 02 22
Twitter :";;http://www.immobilier-romeyer.fr/;;;;;;;
Immoplus43 et RCI;1 Avenue De La Gare;43130;RETOURNAC;04 71 65 20 61;;http://www.immoplus43.fr/;;;;;;;
JB Transactions;Place Carnot;43200;YSSINGEAUX;04 71 56 07 08;;http://www.jb-transactions.fr/;;;;;;;
JB Transactions;3 Route d'Yssingeaux;43130;RETOURNAC;04 71 56 07 08;;http://www.jb-transactions.com/;;;;;;;
JB Transactions;Place Saint-Georges;43350;SAINT-PAULIEN;04 71 00 50 92;;http://www.jb-transactions.com/;;;;;;;
La Clé des Gens;19 Avenue Charles Dupuy;43700;Brives-Charensac;04 71 04 25 73;;http://www.agenceimmobiliere-lacle.fr/;;;;;;;
LOGERIM MONISTROL SUR LOIRE;28 Rue L. DE CHARBONNEL;43120;MONISTROL SUR LOIRE;04 71 66 06 06;;http://www.logerim.com/;;;;;;;
Maurin Immobilier;Route Nationale 88;43490;Costaros;04.71.57.13.01;;http://www.maurin-immobilier.com/;;;;;;;
RCI Immobilier;65, avenue de la Gare;43130;RETOURNAC;04.71.65.20.61;;http://www.rci-immobilier.fr/;;;;;;;
ROCHE IMMO;32 bis BOULEVARD ARISTIDE BRIAND;43100;BRIOUDE;04 71 50 07 14;;http://www.agencerocheimmo.com/;;;;;;;
Secom;Crouzillac;43190;TENCE;04 77 96 32 20;;http://www.secom-immobilier.com/;;;;;;;
Tempère Immobilier;Place Jeanne D'Arc;43800;ROSIERES;04 71 07 91 79;;http://www.tempereimmobilier.fr/;;;;;;;
Trincal immobilier;1, Rue des Moulins Angle Place Michelet;43000;LE PUY-EN-VELAY;04 71 09 55 76;;http://www.trincalimmobilier.com/;;;;;;;
ROCHE IMMO;32 bis BOULEVARD ARISTIDE BRIAND;43100;BRIOUDE;04 71 50 07 14;;http://www.agencerocheimmo.com/;;;;;;;
Secom;Crouzillac;43190;TENCE;04 77 96 32 20;;http://www.secom-immobilier.com/;;;;;;;
Tempère Immobilier;Place Jeanne D'Arc;43800;ROSIERES;04 71 07 91 79;;http://www.tempereimmobilier.fr/;;;;;;;
Trincal immobilier;1, Rue des Moulins Angle Place Michelet;43000;LE PUY-EN-VELAY;04 71 09 55 76;;http://www.trincalimmobilier.com/;;;;;;;
