company_name;company_address;company_postalcode;company_city;company_phone;company_email;company_website;company_facebook;contact_firstname;contact_lastname;contact_email;contact_phone;contact_position;contact_linkedin
Nestenn Annemasse;1 rue d'Etrembières - Place Alexandre Moret;74100;Annemasse;04 50 37 20 43;;https://immobilier-annemasse.nestenn.com/;;;;;;;
Nestenn Evian les Bains;1 Rue de la Monnaie;74500;Evian-les-bains;04 50 70 71 65;;https://immobilier-evian-les-bains.nestenn.com/;;;;;;;
2A immo;4 Place d’Armes;74150;RUMILLY;04.50.64.56.21;;https://www.2a-immo.fr/;https://www.facebook.com/2aimmo;;;;;;
2A immo;Route du Crêt;74290;TALLOIRES;04.50.27.97.92;;https://www.2a-immo.fr/;;;;;;;
4807;2, rue du Mont Blanc;74100;Annemasse;04.50.95.08.07;;http://www.4807-immobilier.com/;;;;;;;
4807;56, Place de l hôtel de ville;74130;Bonneville;04.50.25.02.50;;http://www.4807-immobilier.com/;;;;;;;
4807;9, Grande rue;74300;Cluses;04.50.89.48.07;;http://www.4807-immobilier.com/;;;;;;;
4807;4, rue de centre;74140;Douvaine;04.50.94.28.70;;http://www.4807-immobilier.com/;;;;;;;
4807;126, rue Carnot;74800;La Roche sur Foron;04.50.25.83.59;;http://www.4807-immobilier.com/;;;;;;;
4807;206, Route Edmond de Rothschild;74120;Megeve;04.50.21.02.31;;http://www.4807-immobilier.com/;;;;;;;
4807;20, place d Armes;74150;Rumilly;04.50.01.48.07;;http://www.4807-immobilier.com/;;;;;;;
4807;6,bis grande rue;74160;Saint-Julien-en-Genevois;04.50.49.48.07;;http://www.4807-immobilier.com/;;;;;;;
4807;158, place Charles Albert;74700;Sallanches;04.50.58.48.07;;http://www.4807-immobilier.com/;;;;;;;
4807;13, av Général de Gaulle;74200;Thonon;04.50.26.48.07;;http://www.4807-immobilier.com/;;;;;;;
ACCORT IMMOBILIER;22 PLACE DE LA LIBERTE;74240;Gaillard;0450955384;;http://www.accort.fr/;https://www.facebook.com/pages/Accort-Immobilier/624149647618779;;;;;;
ACCORT IMMOBILIER;109 rue Carnot;74800;LA ROCHE SUR FORON;04 50 25 40 04;;http://www.accort.fr/;https://www.facebook.com/pages/Accort-Immobilier/624149647618779;;;;;;
ACM Immobilier;192 rue du Vieux Village;74260;Les Gets;04 50 75 89 26;;http://www.acm-immobilier.fr/;;;;;;;
ACP Immobilier;22 Place Charles de Gaulle;74210;FAVERGES;04.50.44.64.32;;http://www.acp-immobilier.com/;;;;;;;
