company_name;company_address;company_postalcode;company_city;company_phone;company_email;company_website;company_facebook;contact_firstname;contact_lastname;contact_email;contact_phone;contact_position;contact_linkedin
Agence Comtoise Vesoul;39, Bis Rue du Breuil;70000;VESOUL;03 84 75 09 75;;http://immobilier-avenir.com/;https://www.facebook.com/pages/Avenir-Immobilier/165286903482498;;;;;;
Agence Immobilière Grandvoinet;59 avenue de la République;70200;LURE;03 84 62 92 52;;http://www.grandvoinet-immo.com/;;;;;;;
Agnès Beneux Immobilier;2 place de la République;70000;Vesoul;03 84 97 33 27;;http://www.agnes-beneux-immobilier.fr/;;;;;;;
Agnès Beneux Immobilier;43 rue Jeanneney;70300;Luxeuil-les-Bains;03 84 40 57 57;;http://www.agnes-beneux-immobilier.fr/;;;;;;;
Alliance Immobilier;49 rue Victor Genoux;70300;Luxeuil-Les-Bains;03 84 40 20 97;;http://www.alliance-immobilier.fr/;;;;;;;
Arbitrio IMMOBILIER;9 rue de Paris;70100;Gray;03 84 65 50 50;;http://www.arbitrio.fr/;;;;;;;
Avenir Immo;3 avenue Pasteur;70250;Ronchamp;;;http://www.avenir-immo-cg.com/;;;;;;;
Avenir Immobilier Faverney;39, Bis Rue du Breuil;70000;VESOUL;03 84 75 09 75;;http://www.immobilier-avenir.com/;https://www.facebook.com/pages/Avenir-Immobilier/165286903482498;;;;;;
Bersot immobilier;12 rue du Commandant Girardot;70000;VESOUL;03 84 78 54 20;;http://www.bersot.net/;;;;;;;
C.A. Py Immobilier;88, avenue de la République;70200;Lure;0384300607;;http://www.py-immobilier.com/;https://www.facebook.com/pages/Agence-PY-Immobilier/109744369106046;;;;;;
Caritey immobilier;28, avenue Carnot;70200;LURE;03 84 63 87 51;;http://www.caritey-immobilier.com/;https://www.facebook.com/pages/Caritey-Immobilier/238155686323603;;;;;;
CENTURY 21 D.S.I.;47 rue du Général de Gaulle;70400;HERICOURT;03 84 19 47 75;;http://www.century21-dsi-hericourt.com/;;;;;;;
CENTURY 21 Est Agence;7 Boulevard Charles de Gaulle;70000;VESOUL;03 84 97 15 70;;http://www.century21estagence.com/;https://www.facebook.com/pages/CENTURY-21-Est-Agence/107863595899776;;;;;;
Immobilier du chêne;8, place du palais;70000;Vesoul;03 84 95 97 00;;http://www.immobilier-du-chene.com/;;;;;;;
Marcelin Prevot Immobilier;23 rue du Général de Gaulle;70400;HERICOURT;03 84 56 84 40;;http://www.prevot-immobilier.com/;;;;;;;
Résifrance;Grande Rue;70120;la Roche Morey;03 84 910 749;;http://www.resifrance.com/;;;;;;;
VERAN IMMOBILIER;22 RUE THIERS;70100;GRAY;03 84 65 01 01;;http://www.veran-immobilier.com/;;;;;;;
Vesoul Immobilier;26 rue Georges Genoux;70000;VESOUL;03 84 97 50 30;;http://www.vesoul-immobilier.com/;https://www.facebook.com/pages/VESOUL-IMMOBILIER/145340688865853?sk=wall;;;;;;
