company_name;company_address;company_postalcode;company_city;company_phone;company_email;company_website;company_facebook;contact_firstname;contact_lastname;contact_email;contact_phone;contact_position;contact_linkedin
Actu 87 Immobilier;LE GENETIE;87170;Isle;05 55 77 50 10;;http://www.actu87immobilier.com/;;;;;;;
ALN conseil et expertise;La Seynie;87500;Saint-Yrieix-La-Perche;;;http://www.aln-conseil-expertise.com/;;;;;;;
AM Gestion à Ambazac;2 Avenue du Général de Gaulle;87240;AMBAZAC;05 87 31 00 13;;https://www.amgestion-limoges.com/;;;;;;;
Berthou immobilier;9, avenue du 11 novembre;87500;COUSSAC BONNEVAL;05 55 08 17 56;;http://immo-berthou.com/;;;;;;;
ERA Limousin Immobilier;;;;;;http://www.era-immobilier-limousin.fr/;;;;;;;
Immobilière Saint Louis;11 avenue de la paix;87120;EYMOUTIERS;05 55 69 65 15;;http://www.immosaintlouis.com/;;;;;;;
Immointer;2 avenue de la Libération;87570;RILHAC-RANCON;05 55 36 73 73;;http://www.immointer.fr/;https://www.facebook.com/immointer.limoges;;;;;;
L'Immobilier aredien;7 rue Victor Hugo;87500;Saint-Yrieix-la-Perche;05 55 08 16 76;;http://www.immoaredien.com/;https://www.facebook.com/pages/Immobilier-Ar%C3%A9dien-Josette-Jayat/369055056504955;;;;;;
Le dénicheur immo;6, rue Dupuytren;87260;Pierre Buffière;05 55 00 58 81;;http://www.ledenicheurimmo.com/;;;;;;;
LES MAISONS D'ELLE;4 Rue Auguste Renoir;87510;St Gence;09 82 40 61 94;;http://www.lesmaisonsdelle.com/;;;;;;;
Saint Leonard Immobilier;4, Avenue du Champ de Mars;87400;SAINT LEONARD DE NOBLAT;05.55.56.74.98;;http://www.saintleonard-immobilier.com/;;;;;;;
Saint Leonard Immobilier;Avenue Pont la Prairie;87130;Châteauneuf-la-Forêt;05 55 69 49 55;;http://www.saintleonard-immobilier.com/;;;;;;;
Transaxia;2 place de l'Eglise;87160;Saint Sulpice les Feuilles;05 55 76 05 01;;http://www.transaxia-saint-sulpice-les-feuilles.fr/;;;;;;;
Vivre en Limousin;1 avenue du 11 novembre 1918;87250;Bessines sur Gartempe;05 55 76 63 79;;http://www.liveinlimousin.com/;;;;;;;
