company_name;company_address;company_postalcode;company_city;company_phone;company_email;company_website;company_facebook;contact_firstname;contact_lastname;contact_email;contact_phone;contact_position;contact_linkedin
Activ'Immo;Résidence le Laus;05600;Risoul;04.92.24.24.00;;http://www.activimmo05.com/;;;;;;;
Activimmo;Le village;05260;ANCELLE;04 92 50 37 73;;http://www.activimmo05.com/;;;;;;;
Activimmo;Galerie commerciale le chamois;05170;ORCIERES;04 92 55 47 70;;http://www.activimmo05.com/;;;;;;;
Agence du Parc;4 avenue de la République;05100;BRIANCON;04 92 20 16 08;;http://www.agence-du-parc.com/;;;;;;;
Agence Géraldine JULLIEN;3 place Centrale;05100;Briançon;04 92 24 96 54;;http://www.immobilier-briancon.com/;;;;;;;
Agence Pellat;39 rue Carnot;05000;GAP;;;http://www.agencepellat.com/;;;;;;;
Agence Sogestour;;;;04 92 55 80 61;;http://www.sogestour.com/;;;;;;;
Agence Turinn Immobilier;Résidence du château Route de Grenoble;05220;MONETIER LES BAINS;04 92 46 00 85;;http://www.turin-immobilier.com/;;;;;;;
Agence-prestimmo;24 RUE JEAN EYMAR;05004;GAP;04 92 22 29 20;;http://www.agence-prestimmo.com/;;;;;;;
Alp'Immo;6, av. du Dauphiné;05100;BRIANÇON;04.92.20.57.70;;http://www.alp-immo.com/;;;;;;;
Alpages Immobilier;Le Point show;05560;Vars les Claux;;;http://www.alpages-immo.com/;;;;;;;
BATIE IMMOBILIER;Résidence la Tour;05230;LA BATIE NEUVE;04 92 51 37 06;;http://www.batie-immo.com/;;;;;;;
BLV Immobilier;;;;04 92 23 40 43;;http://www.blv.fr/;;;;;;;
Buech-Devoluy Immo;2 Boulevard Gambetta;05400;VEYNES;04 92 22 33 73;;http://www.buech-devoluy.com/;;;;;;;
Buech-Devoluy Immo;Lieu dit Le Pin;05250;SAINT ÉTIENNE EN DEVOLUY;04 92 22 33 73;;http://www.buech-devoluy.com/;;;;;;;
Cabinet du REVELLY;1, place du Révelly;05000;Gap;04-92-52-59-59;;http://www.cabinet-revelly.com/;;;;;;;
Chaillol Loisirs;Avenue de Soleil Boeuf Chaillol 1600;05260;SAINT MICHEL DE CHAILLOL;;;http://www.chaillol.net/;;;;;;;
Champsaur Immo;;;;04 92 223 157;;http://www.champsaur-immo.com/;;;;;;;
Charlemagne;4, avenue René Froger;05100;Briançon;04 92 20 15 00;;http://www.agence-charlemagne.fr/;;;;;;;
Charlemagne;Le Forum Allée des Boutiques;05330;Chantemerle;04 92 49 62 86;;http://www.agence-charlemagne.fr/;;;;;;;
CJM Transimo;29, rue Jean-Eymar;05000;GAP;04 92 56 12 12;;http://www.transimo.com/;;;;;;;
CJM Transimo;Place Hodoul;05200;LES ORRES;04 92 44 01 38;;http://www.transimo.com/;;;;;;;
Declic Immobilier;Allée des boutiques;05330;Chantemerle;04 92 24 08 21;;http://www.declic-immobilier.fr/;;;;;;;
DH Immobilier;Place Dosse;05200;EMBRUN;04 92 43 03 61;;http://www.dh-immobilier.com/;;;;;;;
DH immobilier;2, Rue Pasteur;05000;GAP;04 92 52 02 00;;http://www.dh-immobilier.com/;;;;;;;
DH immobilier;Résidence Centre Vars;05560;vars;04 92 46 59 35;;http://www.dh-immobilier.com/;;;;;;;
DH immobilier;Place Joseph Salva;05600;GUILLESTRE;04 92 45 23 23;;http://www.dh-immobilier.com/;;;;;;;
ERA Immobilier Provence-Alpes-Côte d'Azur;;;;;;http://www.era-immobilier-paca.fr/;;;;;;;
Gap immobilier;9 Place de la République;05000;Gap;04-92-56-07-08;;http://www.gap-immobilier.com/;;;;;;;
Immobilier Cimes & Neige;Résidence Le Podium;05290;PUY SAINT VINCENT;04 92 23 51 51;;http://www.montagne-immobilier.com/;;;;;;;
Immobilière de l'aigle;;;;04.92.24.95.81;;http://serreche-immobilier.com/;;;;;;;
Interalpes Immobilier;Place du Chevréril;05500;Saint-Bonnet-en-Champsaur;04 92 50 54 44;;http://www.interalpes-immobilier.com/;;;;;;;
Laforêt EMBRUN;Avenue Justin GRAS;05200;Embrun;04 92 49 64 51;;http://www.laforet-immobilier-embrun.com/;;;;;;;
MS Immobilier;24, rue Carnot;05000;Gap;04 92 52 31 88;;http://www.ms-immo.com/;;;;;;;
MS Immobilier;Grande Rue;05230;Chorges;04 92 52 51 80;;http://www.ms-immo.com/;;;;;;;
