company_name;company_address;company_postalcode;company_city;company_phone;company_email;company_website;company_facebook;contact_firstname;contact_lastname;contact_email;contact_phone;contact_position;contact_linkedin
Abafim;16 Avenue de la Marne;65000;TARBES;05.62.34.54.54;;http://www.abafim.com/;https://www.facebook.com/Abafim;;;;;;
Agence Agnès Immobilier;57 bis Rue Vincent Mir;65170;SAINT-LARY;0562 395 398;;http://www.agnes-immo.com/;https://www.facebook.com/pages/AAI-Agence-Agn%C3%A8s-Immobilier/457691884273569;;;;;;
Agence Alain Abadie;15, avenue Maransin;65100;LOURDES;"05 62 94 63 55
RSS :";;http://www.abadie-immobilier-lourdes.com/;;;;;;;
Agence Européenne;6 place du Foirail;65400;ARGELES GAZOST;05 62 97 00 97;;http://www.agenceeuropeenne.com/;;;;;;;
Agence Européenne;8, avenue Francis Largardère;65100;LOURDES;05 62 42 05 20;;http://www.agenceeuropeenne.com/;;;;;;;
Agence immobilière Bordenave Bordenave;Place de la Gare;65110;Cauterets;05 62 92 55 10;;http://www.immobilierbordenave.com/;;;;;;;
AGENCE PIC du MIDI;26 Rue Ramond;65120;Barèges;05.62.926.926;;http://www.agence-picdumidi.com/;https://www.facebook.com/pages/Agence-Pic-du-Midi/330521136981218;;;;;;
AGENCE RABAUD-CARRIE;1, rue des 4 Frères Soulas;65100;Lourdes;05 62 42 70 36;;http://www.lourdes-immobilier.com/;;;;;;;
Aktimo;58, avenue Bertrand Barère;65000;Tarbes;05 62 56 19 62;;http://www.aktimo.fr/;;;;;;;
Alpha immo;14 rue du Corps Franc Pommies;65230;CASTELNAU MAGNOAC;05 61 79 31 20;;http://www.alphaimmo.com/;https://www.facebook.com/pages/Alpha-Immo/205171592867953;;;;;;
Aquitaine viager;14 route d'OURSBELILLE;65460;BAZET;05 62 31 48 70;;http://www.aquitaineviager.com/;;;;;;;
Arc En Ciel immobilier;2 rue des Pyrénées;65000;TARBES;05 62 56 14 38;;http://www.arcenciel-immobilier.com/;;;;;;;
BELLES VACANCES Immobilier;Avenue des Thermes;65170;SAINT LARY SOULAN;05 62 39 47 48;;http://www.immobilierstlary.com/;;;;;;;
Belles vacances immobilier;Av. des Thermes;65170;SAINT-LARY;05 62 39 47 48;;http://www.belles-vacances.com/;;;;;;;
Bonnemaizon et Associés;57 avenue du Regiment de Bigorre;65000;Tarbes;0562344547;;http://www.bonnemaizon.fr/;https://www.facebook.com/pages/BonneMaizon-Associ%C3%A9s/1447761322196320;;;;;;
Century 21 Immobilière Des Gaves;16, avenue du Général Leclerc;65110;CAUTERETS;05 62 92 08 05;;http://www.location-vente-cauterets-century21.com/;https://www.facebook.com/pages/CENTURY-21-LImmobili%C3%A8re-des-Gaves/111795222167866;;;;;;
CENTURY 21 Pyrénées Immo;16 rue Thiers;65300;LANNEMEZAN;05 62 40 24 23;;http://www.century21-pi-lannemezan.com/;;;;;;;
Claire Montagne immobilier;30, Grande Rue;65240;ARREAU;05 62 98 48 17;;http://www.clairemontagne.com/;;;;;;;
CLAIRE MONTAGNE IMMOBILIER;36 rue Vincent Mir;65170;SAINT LARY SOULAN;05 62 39 54 80;;http://www.immobilier-st-lary.com/;;;;;;;
Euro-immobilier;12 rue Belfort;65000;TARBES;05 62 44 94 94;;http://www.euroimmobilier-65.com/;;;;;;;
Immobilia;16 Cours Gambetta;65000;TARBES;05 62 93 06 52;;http://www.immobilia65.com/;;;;;;;
Immopyrennees;10, Place Marcadal;65100;LOURDES;05 62 94 03 69;;http://www.immopy.fr/;;;;;;;
La montagne immobilier;4 Rue Maréchal Foch;65400;Argelès-Gazost;05.62.97.92.64;;http://www.lamontagne-immobilier.com/;;;;;;;
Le Bonheur;96 Place de la Libération;65700;MAUBOURGUET;;;http://www.le-bonheur.com/;;;;;;;
Page;10 Av Leclerc;65110;Cauterets;05.62.42.19.53;;http://www.page.fr/;;;;;;;
Pascale Pyrénées Immobilier;Rue Vincent Mir;65170;SAINT LARY;05 62 99 59 08;;http://www.saint-lary-immobilier.com/;;;;;;;
Propriétés immobilières;6 bis, rue Victor Hugo;65000;Tarbes;05 62 93 69 53;;http://www.proprietes-immobilieres.com/;;;;;;;
Square Habitat Adour Pyrénées;4, rue Despourrins;65000;TARBES;05.62.44.75.48;;http://www.pyrenees-vacances.fr/;;;;;;;
Vaconie;2, rue de la Gare;65140;RABASTENS;05 62 96 63 27;;http://www.vasconie-immobilier.com/;;;;;;;
Vasconie;190, place de la Libération;65700;MAUBOURGUET;05 62 96 01 02;;http://www.vasconie-immobilier.com/;;;;;;;
Vasconie Immobilier;7, rue Massey;65000;TARBES;05 62 96 63 27;;http://www.vasconie-immobilier.com/;;;;;;;
Immobilia;16 Cours Gambetta;65000;TARBES;05 62 93 06 52;;http://www.immobilia65.com/;;;;;;;
Immopyrennees;10, Place Marcadal;65100;LOURDES;05 62 94 03 69;;http://www.immopy.fr/;;;;;;;
La montagne immobilier;4 Rue Maréchal Foch;65400;Argelès-Gazost;05.62.97.92.64;;http://www.lamontagne-immobilier.com/;;;;;;;
Le Bonheur;96 Place de la Libération;65700;MAUBOURGUET;;;http://www.le-bonheur.com/;;;;;;;
Page;10 Av Leclerc;65110;Cauterets;05.62.42.19.53;;http://www.page.fr/;;;;;;;
