company_name;company_address;company_postalcode;company_city;company_phone;company_email;company_website;company_facebook;contact_firstname;contact_lastname;contact_email;contact_phone;contact_position;contact_linkedin
Nestenn Issy Les Moulineaux;60 Avenue Victor Cresson;92130;Issy Les Moulineaux;01 41 90 10 69;;https://immobilier-issy.nestenn.com/;;;;;;;
Nestenn Ivry-sur-Seine;66 bis Avenue Maurice Thorez;94200;Ivry-sur-Seine;01 45 21 50 50;;https://immobilier-ivry-sur-seine.nestenn.com/;;;;;;;
Nestenn Puteaux;105 rue Jean Jaures;92800;Puteaux;01 41 02 95 95;;https://immobilier-puteaux.nestenn.com/;;;;;;;
Nestenn Sevres;123 Grande Rue;92310;Sevres;01 81 89 27 20;;https://immobilier-sevres.nestenn.com/;;;;;;;
Nestenn St Cloud;54 Boulevard de La République;92210;St Cloud;01 47 71 77 00;;https://immobilier-st-cloud.nestenn.com/;;;;;;;
Nestenn Suresnes;77 rue Carnot;92150;Suresnes;01 41 91 00 00;;https://immobilier-suresnes.nestenn.com/;;;;;;;
A Demeure;63, Bd Rodin;92130;Issy;;;http://www.a-demeure.com/;;;;;;;
ACOR Immobilier;14 RUE PIERRE BROSSOLETTE;92320;Chatillon;01 70 28 97 30;;http://www.acorimmobilier.com/;https://www.facebook.com/acorimmobilierchatillon;;;;;;
Acteur Immobilier;23 rue Chante Coq;92800;PUTEAUX;01 46 92 03 04;;http://www.acteurimmobilier.com/;;;;;;;
Adequadom;;;;01 79 30 01 01;;http://www.adequadom.com/;;;;;;;
ADS immobilier;158, Grande Rue;92310;SEVRES;01 45 07 89 89;;http://www.ads-immobilier.fr/;;;;;;;
Agence Chris Immo;12 rue Pierre Franquet;92140;Clamart;01.47.36.00.56;;http://www.agencechrisimmo.com/;https://www.facebook.com/AgenceChrisImmo;;;;;;
agence de l'Observatoire;34 rue de la République;92190;Meudon;01 45 34 83 82;;http://www.agence-observatoire.com/;;;;;;;
Agence de la Mairie;47 BLD DE LA REPUBLIQUE;92250;La Garenne Colombes;01 47 81 46 46;;http://www.agencedelamairie.net/;;;;;;;
Agence de Levallois;5 place de la république;92300;LEVALLOIS-PERRET;01 47 48 00 00;;http://www.agence-levallois.fr/;;;;;;;
AGENCE DE VALLIERE;66 BOULEVARD RICHARD WALLACE;92800;Puteaux;01 46 25 03 80;;http://www.agencedevalliere.com/;;;;;;;
AGENCE DE VALLIERE;10 RUE DU MONT VALERIEN;92150;Suresnes;01 42 04 63 40;;http://www.agencedevalliere.com/;;;;;;;
AGENCE DES ALLEES;12 Allées Leon Gambetta;92110;Clichy;01 47 37 13 67;;http://www.agence-des-allees.com/;;;;;;;
Agence du Château;21, rue Houdan;92330;Sceaux;01 46 83 13 95;;http://www.agencechateau.eu/;;;;;;;
Agence du Golf;77, rue du 19 Janvier;92380;GARCHES;01 47 01 18 18;;http://www.wahlinvest.com/;;;;;;;
Agence du Mail;223 BOULEVARD GALLIENI;92390;VILLENEUVE LA GARENNE;01 47 94 93 92;;http://www.agencedumail.com/;;;;;;;
Agence du Pont de Saint-Cloud;5 rue Dailly;92210;Saint Cloud;01 46 02 04 05;;http://www.agencepsc.fr/;;;;;;;
Agence g2i;6 boulevard du Maréchal Joffre;92340;BOURG-LA-REINE;01 46 64 19 76;;http://www.agence-g2i.com/;;;;;;;
Agence Groupe Auteuil;18, rue Marius Aufan;92300;Levallois-Perret;01 40 89 00 10;;http://www.groupeauteuil.com/;;;;;;;
Agence Immobilière de la Voie Royale;1336, avenue Roger Salengro;92370;Chaville;01 47 50 88 25;;http://www.immobilierevoieroyale.com/;https://www.facebook.com/AgenceDeLaVoieRoyale;;;;;;
Agence Immobilière de Havilland;18 rue Gounod;92210;Saint-Cloud;01 46 02 60 60;;http://www.dehavilland.fr/;;;;;;;
Agence immobilière Val Fleury;24 Place Henri Brousse;92190;Meudon;01 46 26 22 78;;http://www.immobilier-meudon.fr/;;;;;;;
Agence Katz;4 Boulevard Raymond Poincaré;92380;GARCHES;01 47 41 33 33;;http://www.agencekatz.com/;;;;;;;
Agence Les marechaux;11 bis Avenue Joffre;92380;Garches;01.47.41.88.22;;http://www.agence-marechaux.com/;;;;;;;
Agence Principale Chaville;1986 Av Roger Salengro;92370;CHAVILLE;01.47.09.87.87;;http://chaville.agenceprincipale.com/;;;;;;;
Agence Principale Clamart;37 Rue Paul Vaillant Couturier;92140;CLAMART;01.41.09.00.00;;http://clamart.agenceprincipale.com/;;;;;;;
Agence Principale La Garenne Colombes;6 ter rue Voltaire;92250;LA GARENNE COLOMBES;01.47.84.02.12;;http://la-garenne-colombes.agenceprincipale.com/;;;;;;;
Agence principale Sèvre;104 Grande Rue;92310;SEVRES;01.46.29.02.02;;http://sevres.agenceprincipale.com/;;;;;;;
Agence Principale Suresnes;37, Boulevard du Maréchal de Lattre de Tassigny;92150;Suresnes;01.41.38.30.00;;http://suresnes.agenceprincipale.com/;;;;;;;
Agence RG;25 AVENUE FOCH;92380;GARCHES;01 47 01 42 22;;http://www.agence-rg.fr/;https://www.facebook.com/pages/AGENCE-RG/147285822002328;;;;;;
ALTIMMO;55 rue de la République;92190;MEUDON;01.46.23.90.90;;http://www.altimmo.fr/;;;;;;;
AMV92 immobilier;12, av Joseph Froment;92250;LA GARENNE COLOMBES;01.47.86.92.92;;http://www.amv92.com/;;;;;;;
APPARTEMENTS & MAISONS;1859, avenue Roger Salengro;92370;Chaville;01 41 15 04 05;;http://www.appartementsetmaisons.com/;;;;;;;
APPARTEMENTS & MAISONS;19, rue Marcel Allégot;92190;Meudon;01 46 26 34 00;;http://www.appartementsetmaisons.com/;;;;;;;
APPARTEMENTS & MAISONS;82 Grande Rue;92310;Sèvres;01 41 14 40 00;;http://www.appartementsetmaisons.com/;;;;;;;
Arthur Loyd Paris;22-24, rue du Président Wilson;92532;Levallois-Perret;01 41 400 600;;http://www.arthurloydparis.com/;https://www.facebook.com/Arthur.Loyd.Ile.de.France;;;;;;
Arthurimmo SAINT SEVER CONSEIL;1 avenue Bourgain Immeuble le Weiden;92130;Issy les Moulineaux;"01 41 33 95 30
RSS :";;http://www.issy92-arthurimmo.com/;;;;;;;
B.B.F.I.;29 rue Trébois;92300;Levallois-Perret;01 40 89 01 00;;http://www.bbfi.com/;;;;;;;
Bellegarde Immobilier;42 bis, avenue Général Galliéni;92190;Meudon bellevue;01.41.14.06.20;;http://www.bellegarde-immobilier.com/;;;;;;;
Blot Entreprise;30 Rue Vincent Moris;92240;MALAKOFF;01.49.12.10.00;;http://www.blot-entreprise.fr/;;;;;;;
Bréville Immobilier;23 Boulevard des Nations Unies;92190;Meudon;01 46 89 06 26;;http://www.breville-immobilier.com/;;;;;;;
Cabinet Bellevue;12, avenue Galliéni;92190;MEUDON;01 45 34 41 75;;http://www.cabinet-bellevue.fr/;;;;;;;
Cabinet Jourdan;4, rue Louise Michel;92300;Levallois-Perret;01 75 33 88 25;;http://www.cabinetjourdan.com/;;;;;;;
Cabinet Jourdan;24, boulevard Anatole France;92190;Meudon;01 41 14 43 33;;http://www.cabinetjourdan.com/;;;;;;;
Cabinet R. Durand;11 avenue Joseph Froment;92250;La garenne colombes;01 47 85 62 62;;http://www.immodurand.com/;https://www.facebook.com/cabinetdurand;;;;;;
Cabinet Vaillant;118 avenue de la Republique;92120;MONTROUGE;01 46 55 10 07;;http://www.cabinet-raimon.com/;;;;;;;
Cassandre Immobilier;8A, Place François Spoerry;92350;Le Plessis Robinson;0175323575;;http://www.cassandre-immobilier.fr/;;;;;;;
CAYLA immobilier Puteaux;72 bd Richard Wallace;92800;Puteaux;01 41 38 96 96;;http://www.cayla-immo.com/;https://www.facebook.com/cayla.immobilier;;;;;;
Chez nous Chez vous Immobilier;111 boulevard Gabriel Péri;92240;MALAKOFF;01 71 17 82 19;;http://www.cncv-immobilier.com/;https://www.facebook.com/pages/Chez-nous-Chez-vous-Immobilier/101229876633898#!/pages/Chez-nous-Chez-vous-Immobilier/101229876633898;;;;;;
CLDP;;;;;;http://www.cldp.fr/;;;;;;;
Clichy Immobilier;62 bld Jean Jaurès;92110;Clichy;01 42 70 55 55;;http://www.clichyimmobilier.fr/;;;;;;;
COGESPRO;151 av. Jean-Baptiste Clément;92140;Clamart;01 46 32 23 40;;http://www.cogespro.com/;;;;;;;
Connexion Immobilier;72, Avenue Henri Ginoux;92120;Montrouge;01 46 73 07 07;;http://www.connexion-immobilier.com/;;;;;;;
Connexion Immobilier;44, Boulevard du Général Leclerc;92110;Clichy;01 77 37 10 10;;http://www.connexion-immobilier.com/;;;;;;;
Consultants Immobilier;77, rue Voltaire;92300;Levallois Perret;01 47 30 53 53;;http://www.consultants-immobilier.com/;;;;;;;
Daniel Féau;78 boulevard de la République;92210;SAINT-CLOUD;01 41 12 03 12;;http://www.feau-immobilier.fr/;;;;;;;
de Kerangat Immobilier;127 rue Houdan;92330;Sceaux;01 46 60 36 36;;http://www.dekerangatimmo.com/;https://www.facebook.com/dekerangatimmobilier;;;;;;
Dorval;28 rue Jean Pierre Timbaud;92130;Issy Les Moulineaux;01 41 08 03 59;;http://www.dorvalimmo.com/;;;;;;;
DUCLOUX Immobilier;14 rue du General Leclerc;92270;Bois Colombes;01 42 42 10 86;;http://www.duclouximmobilier.com/;https://www.facebook.com/pages/Ducloux-Immobilier-Bois-Colombes/1460747584167701;;;;;;
ERA AAA IMMOBILIER;20, rue Béranger;92240;Malakoff;01 46 12 99 99;;http://www.era-immobilier-malakoff-vanves.fr/;https://www.facebook.com/pages/ERA-immobilier-Malakoff/332102723514974;;;;;;
ERA AGENCE DE LA MAI;15bis, rue du Mont Valérien;92150;Suresnes;01 47 72 00 35;;http://www.era-immobilier-suresnes.fr/;https://www.facebook.com/ERA.Suresnes;;;;;;
ERA ALLIANCE IMMOBILIER;60-62, rue Gabriel Péri;92320;Chatillon;01 46 56 66 66;;http://www.immobilier-chatillon-era-hautsdeseine.fr/;;;;;;;
