company_name;company_address;company_postalcode;company_city;company_phone;company_email;company_website;company_facebook;contact_firstname;contact_lastname;contact_email;contact_phone;contact_position;contact_linkedin
Nestenn Betton;21 bis rue de Rennes;35830;Betton;02 99 55 15 15;;https://immobilier-betton.nestenn.com/;;;;;;;
Nestenn Bruz;6 rue Alphonse Legault;35170;Bruz;02 99 52 56 56;;https://immobilier-bruz.nestenn.com/;;;;;;;
Nestenn Chateaugiron;23 Rue de la Madeleine;35410;Chateaugiron;02 99 37 17 17;;https://immobilier-chateaugiron.nestenn.com/;;;;;;;
Nestenn Chavagne;7 avenue de la Mairie;35310;Chavagne;02 99 64 47 87;;https://immobilier-chavagne.nestenn.com/;;;;;;;
Nestenn Combourg;7 place Albert Parent;35270;Combourg;02 99 73 29 92;;https://immobilier-combourg.nestenn.com/;;;;;;;
Nestenn Saint-Méen le Grand;7 Place de La Mairie;35290;Saint-Méen le Grand;02 23 43 13 43;;https://immobilier-saintmeenlegrand.nestenn.com/;;;;;;;
Agence de la Plage;16, boulevard de la Houle;35800;SAINT BRIAC;0299.88.91.08;;http://lancieux-agencedelaplage.fr/;;;;;;;
Agence Des Abers;7 Grande Rue;35800;Saint Briac sur Mer;"02.99.88.92.70
RSS :";;http://www.aabers.com/;;;;;;;
Agence Emeraude;48 rue levavasseur;35800;Dinard;02.99.46.11.01;;http://www.agenceemeraude.fr/;;;;;;;
Agence immobilière Malouine et Jacques Dubois Immobilier;7, place de l'église;35430;Saint Jouan des Guérets;02 99 19 12 04;;http://www.immobiliere-malouine.fr/;;;;;;;
Agence Mevennaise d'Immobilier;2, place Patton;35290;ST-MEEN-LE-GRAND;02 99 09 44 00;;http://www.ag-mevennaise.com/;;;;;;;
AJP Immobilier;16 rue de l'Hotel de Ville;35470;BAIN DE BRETAGNE;02 99 43 30 30;;http://www.ajp-immobilier.com/;;;;;;;
AJP Immobilier;4 rue des Douves;35600;REDON;02 99 70 36 36;;http://www.ajp-immobilier.com/;;;;;;;
ARNAUD HOUGET;23 rue de Bel Air;35150;Janze;;;http://www.houget-immobilier.fr/;;;;;;;
Bienvenue chez toit;Zone commerciale du Pommeret;35310;Bréal Sous Montfort;"09.67.17.28.23
RSS :";;http://www.bienvenue-chez-toit.com/;;;;;;;
Boyer;24 r Bertrand d'Argentré;35500;Vitré;"02.99.75.59.75
RSS :";;http://www.boyer-immobilier.fr/;;;;;;;
Cabinet Brumbt Immobilier;1, rue Simone de Beauvoir;35135;CHANTEPIE;02.99.41.69.24;;http://www.cbi35-immobilier.com/;;;;;;;
Cabinet Chateaubriand Immobilier;5 place Saint Gilduin;35270;COMBOURG;02.99.73.56.56;;https://www.cabinetchateaubriand.com/;https://www.facebook.com/pages/Cabinet-Chateaubriand-Immobilier-Sens-De-Bretagne/213900715327340;;;;;;
Cabinet Chateaubriand Immobilier Dol de Bretagne;21 grande rue des Stuarts;35120;Dol de Bretagne;02.99.48.48.48;;http://www.dol-immobilier.fr/;;;;;;;
Cabinet Chateaubriand Immobilier Saint Malo;7, avenue Jean Jaurès;35400;Saint Malo;02.99.20.16.12;;http://www.saintmaloimmobilier.com/;;;;;;;
Cabinet Chateaubriand Immobilier Sens de Bretagne;6 place de la Mairie;35490;Sens de Bretagne;02.99.39.68.60;;http://www.immobilier-sens-de-bretagne.com/;;;;;;;
Cabinet Rolland & Girot immobilier;56 rue de Rennes;35340;LIFFRE;02.99.68.55.55;;http://www.cabinet-rolland-girot.com/;;;;;;;
Cabinet Rolland & Girot immobilier;30 rue de Saint-Médard;35250;SAINT-AUBIN-D'AUBIGNE;02.99.55.88.88;;http://www.cabinet-rolland-girot.com/;;;;;;;
Cabinet Yvanez;1, rue Rouairie;35410;CHATEAUGIRON;02.99.37.26.74;;http://www.cabinet-yvanez-immobilier.com/;;;;;;;
CAPIM Immobilier;2 place de la république;35300;Fougères;"02.99.94.14.14
RSS :";;http://www.capim-immobilier.com/;;;;;;;
