company_name;company_address;company_postalcode;company_city;company_phone;company_email;company_website;company_facebook;contact_firstname;contact_lastname;contact_email;contact_phone;contact_position;contact_linkedin
AGENCE BLANCOISE;4, place de L'Eglise;36800;ST GAULTIER;02 54 01 44 50;;http://www.agenceblancoise.com/;;;;;;;
Agence Blancoise;14 RUE P. COLLIN DE SOUVIGNY;36300;LE BLANC;02 54 28 20 20;;http://www.agenceblancoise.com/;;;;;;;
Agence Blancoise;4 RUE VICTOR HUGO;36370;BELABRE;02 54 28 52 53;;http://www.agenceblancoise.com/;;;;;;;
Agence Blancoise;3 RUE DU PONT MALIENTRAS;36290;MEZIERES EN BRENNE;02 54 38 17 85;;http://www.agenceblancoise.com/;;;;;;;
Agence Blancoise PROIMMCO;4 PLACE DE L'EGLISE;36800;SAINT GAULTIER;02 54 01 44 50;;http://www.proimmco.com/;;;;;;;
Agence des Mille Etangs;7, place de la Libération;36300;Le Blanc;02 54 28 79 29;;http://www.agencedesmilleetangs.com/;;;;;;;
Ardentes Berry Immobilier;41 Avenue de Verdun;36120;ARDENTES;02 54 36 25 18;;http://www.ardentes-berry-immobilier.fr/;;;;;;;
Ardentes immobilier;1, rue de la République;36120;ARDENTES;02 54 08 45 44;;http://www.ardentesimmobilier.com/;;;;;;;
CENTURY 21 Agence de l'Europe;107 rue Nationale;36400;LA CHATRE;02 54 48 10 66;;http://www.century21agencedeleurope.com/;https://www.facebook.com/pages/CENTURY-21-Agence-de-lEurope/110551088956278;;;;;;
Déols Logis;4 avenue du Général de Gaulle;36130;Déols;02 54 61 07 17;;http://www.immobilier-deols-logis.com/;;;;;;;
Domus Immobilier;19, rue de la République;36260;Reuilly;02 54 21 47 31;;http://agencedomus.com/;;;;;;;
DOMUS Immobilier;15, place de la République;36150;Vatan;02 54 49 80 82;;http://agencedomus.com/;;;;;;;
Immobilier Center;38, rue Gambetta;36200;ARGENTON SUR CREUSE;02 53 35 75 15;;http://www.immobilier-center.fr/;;;;;;;
Jovimmo;Avenue du General de Gaulle;36110;LEVROUX;;;http://www.jovimmo.com/;;;;;;;
Jovimmo;Route d'Argenton;36170;SAINT BENOÎT DU SAULT;;;http://www.jovimmo.com/;;;;;;;
L'Aribout;40 rue Grande;36200;Argenton sur Creuse;0218473129;;https://www.laribout-immobilier.fr/;;;;;;;
PNJ Patrimoine;4 rue du Château;36600;VALENCAY;02 54 40 16 58;;http://www.pnjpatrimoine.com/;https://www.facebook.com/pages/PNJ-Patrimoine/205738646224249;;;;;;
SCALIS;27, place de la Halle;36600;Valençay;02 54 08 15 58;;http://www.scalis.fr/;;;;;;;
SCALIS;;;;;;http://www.scalis.fr/;;;;;;;
SCALIS;69-70, rue du 11 novembre 1918;36500;Buzançais;02 54 08 15 58;;http://www.scalis.fr/;;;;;;;
SCALIS;8, rue Saint-Lazare;36300;Le Blanc;02 54 08 15 58;;http://www.scalis.fr/;;;;;;;
SCALIS;31, rue Auclert-Descottes;36200;Argenton sur Creuse;02 54 08 15 58;;http://www.scalis.fr/;;;;;;;
Transaxia;1 Avenue d'Auvergne;36400;La Châtre - Montgivray;02 14 00 06 42;;http://www.transaxia-la-chatre.fr/;;;;;;;
Transaxia;4 rue de la Gare;36200;Argenton sur Creuse;02 14 00 06 69;;http://www.transaxia-argenton-sur-creuse.fr/;;;;;;;
Transaxia;14, Place des Anciens Combattants;36600;vicq sur nahon;02 54 47 43 98;;http://www.transaxia-vicq-sur-nahon.fr/;;;;;;;
Transaxia;1 rue St Laurian;36150;Vatan;02-14-00-05-90;;http://www.transaxia-vatan.fr/;;;;;;;
Transaxia;1 Route de Blois;36600;Valençay;02.48.69.51.29;;http://www.transaxia-valencay.fr/;;;;;;;
Transaxia;30 avenue d'Auvergne;36160;Sainte Sévère sur Indre;02 54 30 64 16;;http://www.transaxia-sainte-severe-sur-indre.fr/;;;;;;;
Transaxia;5, place de la République;36260;Reuilly;;;http://www.transaxia-reuilly.fr/;;;;;;;
Transaxia;15, rue Emile Forichon;36230;Neuvy Saint Sépulchre;02 54 30 93 88;;http://www.transaxia-neuvy-saint-sepulchre.fr/;;;;;;;
Transaxia;5 rue de l'Eglise;36290;Mezières en Brenne;02.14.00.05.89;;http://www.transaxia-mezieres-en-brenne.fr/;;;;;;;
Transaxia;29 rue Victor Hugo;36110;Levroux;02 54 35 34 11;;http://www.transaxia-levroux.fr/;;;;;;;
Transaxia;5, Place André Gasnier;36300;Le Blanc;02.14.00.06.45;;http://www.transaxia-le-blanc.fr/;;;;;;;
Transaxia;1 rue de la Poterie;36100;Issoudun;;;http://www.transaxia-issoudun.fr/;;;;;;;
Transaxia;14 place de la République;36270;Eguzon;0214000670;;http://www.transaxia-eguzon.fr/;;;;;;;
Transaxia;22, Place du 8ème Cuirassiers;36240;ECUEILLE;02 54 26 93 26;;http://www.transaxia-ecueille.fr/;;;;;;;
Transaxia;3, rue de la Liberté;36700;Clion sur Indre;02 14 00 06 77;;http://www.transaxia-clion-sur-indre.fr/;;;;;;;
Transaxia;18, Bd du Général Leclerc;36700;Chatillon sur Indre;02 54 38 83 00;;http://www.transaxia-chatillon-sur-indre.fr/;;;;;;;
Transaxia;1 Avenue Pasteur;36210;Chabris;0254412155;;http://www.transaxia-chabris.fr/;;;;;;;
Transaxia;67, rue des Ponts;36500;Buzançais;02 54 84 27 80;;http://www.transaxia-buzancais.fr/;;;;;;;
SCALIS;8, rue Saint-Lazare;36300;Le Blanc;02 54 08 15 58;;http://www.scalis.fr/;;;;;;;
SCALIS;31, rue Auclert-Descottes;36200;Argenton sur Creuse;02 54 08 15 58;;http://www.scalis.fr/;;;;;;;
Transaxia;1 Avenue d'Auvergne;36400;La Châtre - Montgivray;02 14 00 06 42;;http://www.transaxia-la-chatre.fr/;;;;;;;
Transaxia;4 rue de la Gare;36200;Argenton sur Creuse;02 14 00 06 69;;http://www.transaxia-argenton-sur-creuse.fr/;;;;;;;
Transaxia;14, Place des Anciens Combattants;36600;vicq sur nahon;02 54 47 43 98;;http://www.transaxia-vicq-sur-nahon.fr/;;;;;;;
