company_name;company_address;company_postalcode;company_city;company_phone;company_email;company_website;company_facebook;contact_firstname;contact_lastname;contact_email;contact_phone;contact_position;contact_linkedin
Nestenn Amboise;3 Rue Voltaire;37400;Amboise;02 47 23 21 31;;https://immobilier-amboise.nestenn.com/;;;;;;;
Nestenn Chambray Les Tours;10 Avenue de la République;37170;Chambray Les Tours;02 47 27 51 75;;https://immobilier-chambray-les-tours.nestenn.com/;;;;;;;
Nestenn Chinon;102 quai Jeanne d Arc;37500;Chinon;02 47 98 11 21;;https://immobilier-chinon.nestenn.com/;;;;;;;
Nestenn Joue Les Tours;16 rue Gamard;37300;Joue Les Tours;02 47 78 40 50;;https://immobilier-joue-les-tours.nestenn.com/;;;;;;;
Nestenn Loches;3 Rue Alfred De Vigny;37600;Loches;02 47 91 16 76;;https://immobilier-loches.nestenn.com/;;;;;;;
Nestenn Saint Avertin;15 rue de Cormery;37550;Saint Avertin;02 47 48 03 89;;https://immobilier-stavertin.nestenn.com/;;;;;;;
Agence Simon;58 place Michel Debré;37400;Amboise;02.47.30.51.56;;http://www.agence-simon.com/;;;;;;;
Agence TBI Touraine Berry Immobilier;1, place du marché aux fleurs;37600;LOCHES;02 47 91 83 83;;http://www.agencetbi.com/;;;;;;;
Brosset Immobilier;3 Avenue de Bordeaux;37300;Joué-lès-Tours;02 47 717 717;;http://www.brosset-immobilier.fr/;https://www.facebook.com/pages/Brosset-Immobilier/386840048064333;;;;;;
Brosset Immobilier;2 rue Eugène Gouin;37230;Fondettes;02 47 492 492;;http://www.brosset-immobilier.fr/;https://www.facebook.com/pages/Brosset-Immobilier/386840048064333;;;;;;
Brosset Immobilier;4 Rue Jean-Jacques Rousseau;37400;Amboise;02 47 571 442;;http://www.brosset-immobilier.fr/;https://www.facebook.com/pages/Brosset-Immobilier/386840048064333;;;;;;
Brosset Immobilier;46 Rue du Pont;37150;Bléré;02 47 302 712;;http://www.brosset-immobilier.fr/;https://www.facebook.com/pages/Brosset-Immobilier/386840048064333;;;;;;
Brosset Immobilier;128 rue de la République;37110;Château-Renault;02 47 298 282;;http://www.brosset-immobilier.fr/;https://www.facebook.com/pages/Brosset-Immobilier/386840048064333;;;;;;
