company_name;company_address;company_postalcode;company_city;company_phone;company_email;company_website;company_facebook;contact_firstname;contact_lastname;contact_email;contact_phone;contact_position;contact_linkedin
Nestenn Cremieu;16 rue Lieutenant Colonel Bel;38460;Cremieu;04 74 90 98 14;;https://immobilier-cremieu.nestenn.com/;;;;;;;
Nestenn Echirolles;14 rue Albert Londres;38130;Echirolles;04 76 23 45 50;;https://immobilier-echirolles.nestenn.com/;;;;;;;
Nestenn Heyrieux;12 Avenue de la Republique;38540;Heyrieux;04 28 29 03 90;;https://immobilier-heyrieux.nestenn.com/;;;;;;;
3A Immobilier;RN 90 385 ch. des Vergers;38190;Bernin;04.76.08.80.30;;http://www.3a-immobilier.com/;;;;;;;
ABC Immobilier;77, Grande Rue;38390;Montalieu Vercieu;04 74 80 66 34;;http://www.abcimmobilier38.com/;https://www.facebook.com/pages/ABCimmo/298150716869866;;;;;;
Access Immobilier;Place de l'Eglise;38660;LE TOUVET;04 76 08 22 14;;http://www.accessimmo-gresivaudan.fr/;;;;;;;
Actimmo;9 place du village;38180;seyssins;04 76 84 52 40;;http://www.actimmo.org/;https://www.facebook.com/pages/Actimmo/157744300985184;;;;;;
Action Immobilier;1 rue Jean Moulin;38180;Seyssins;04 76 48 00 71;;http://www.action-immo.fr/;;;;;;;
ADEQUAT IMMOBILIER;2 route de Chambery;38110;Cessieu;;;http://www.adequatimmobilier.com/;https://www.facebook.com/AdequatImmobilier;;;;;;
Agence Europ'Immo;116, avenue du Général de Gaulle;38250;Villard de Lans;04 76 94 12 12;;http://www.europimmo.com/;;;;;;;
Agence Giverdon Immobilier;Avenue des Jeux;38750;Alpe d'Huez;04 76 80 45 38;;http://www.giverdon-immobilier.fr/;;;;;;;
Altitude Immobilier;Avenue de l'Etendard;38750;l'Alpe d'Huez;04.76.11.20.69;;http://www.altitude1850.com/;;;;;;;
ARCH IMMO;26-28, rue du 8 Mai 1945;38130;ECHIROLLES;04.76.47.70.72;;http://www.arch-immo.fr/;https://www.facebook.com/groupe.agda.immobilier;;;;;;
Arthurimmo A2MG IMMOBILIER;Route du Dauphine Z A la Blondiere;38150;Anjou;04 74 87 42 97;;http://www.anjou-arthurimmo.com/;https://www.facebook.com/pages/A2MG-Immobilier-Anjou/1414996982095434;;;;;;
Arthurimmo ALONY IMMOBILIER;1 PLACE GABRIEL PERI;38080;L'Isle d'Abeau;04 74 27 15 80;;http://www.lisledabeau-arthurimmo.com/;https://www.facebook.com/pages/Alony-Immobilier-LIsle-dAbeau/143385739101257;;;;;;
Arthurimmo ALONY IMMOBILIER;6 BOULEVARD DE VILLEFONTAINE;38090;Villefontaine;04 74 90 04 25;;http://www.alony-arthurimmo.com/;https://www.facebook.com/pages/Alony-Immobilier-LIsle-dAbeau/143385739101257;;;;;;
Arthurimmo AlphaB immobilier;2 rue Lamartiniere;38160;St Marcellin;04 76 36 55 50;;http://www.saintmarcellin-arthurimmo.com/;;;;;;;
Arthurimmo BLOT l'immoblier;35 rue de la Republique;38300;Bourgoin Jallieu;04 74 43 84 09;;http://www.bourgoinjallieu-arthurimmo.com/;https://www.facebook.com/pages/Blot-Immobilier-Bourgoin-Jallieu/276665729055985;;;;;;
Arthurimmo DRAC IMMOBILIER;16 avenue Ambroise Croizat;38400;St Martin D Heres;"04 76 03 18 84
RSS :";;http://www.dracimmobilier-arthurimmo.com/;;;;;;;
Arthurimmo DYNAMIC IMMO;60 avenue Alsace Lorraine;38110;La Tour du Pin;"04 74 27 60 69
RSS :";;http://www.latourdupin-arthurimmo.com/;;;;;;;
Barral Immobilier;615 rue du Général de Gaulle;38330;MONTBONNOT SAINT MARTIN;04.76.14.01.69;;http://www.barralimmobilier.com/;https://www.facebook.com/barralimmobilier/;;;;;;
BERNOLE Immobilier;58 place de la libération;38250;Villard de Lans;04 76 95 91 70;;http://www.bernoleimmobilier.com/;;;;;;;
Béroud Immobilier;140 rue de la Galochère;38880;Autrans;04 76 95 62 78;;http://www.beroud-immobilier.com/;;;;;;;
Berti Immobilier;2 RUE DES TILLEULS;38280;Villette d'Anthon;04 78 31 27 36;;http://www.berti-immobilier.com/;;;;;;;
Berti immobilier;9001 avenue des cantinières;38300;Ruy;04 74 43 92 12;;http://www.berti-immobilier.com/;;;;;;;
Bievre immobilier;19 chemin de Morchamp;38590;Saint Etienne de Saint Geoirs;04 86 80 53 21;;http://www.bievre-immobilier.com/;;;;;;;
Bonjour Immobilier;Place de la Mairie;38380;Saint Laurent du Pont;04 76 55 47 17;;http://www.bonjour-immobilier.com/;;;;;;;
C Immobilier;744 Rue de la République;38290;La VERPILLIERE;04 74 95 59 05;;http://www.c-immobilier.com/;;;;;;;
Cara Immobilier - Les avenières;;;;;;http://www.avenieres-immobilier.fr/;;;;;;;
Cara Immobilier - Voiron;;;;;;http://www.voiron-immobilier.fr/;;;;;;;
CENTURY 21 Immobilier Voiron;132 avenue Jean Jaurès;38500;VOIRON;04 76 31 36 36;;http://www.century21-immobilier-voiron.com/;https://www.facebook.com/pages/CENTURY-21-Immobilier-VOIRON/296721667111765;;;;;;
Chastagnol Immobilier;76 avenue Henri duhamel;38410;CHAMROUSSE;04 76 89 90 91;;http://www.chastagnol.com/;https://www.facebook.com/chastagnolimmobilier/;;;;;;
Christian Jouty Immobilier;22 Place de la République;38610;GIERES;04 76 89 64 64;;http://www.jouty-immo.com/;;;;;;;
Christian Jouty Immobilier;16 Place des Roseaux;38320;POISAT;04.76.14.06.06;;http://www.jouty-immo.com/;;;;;;;
CIB Immobilier;17 place Paul Morand;38550;Le Péage de Roussillon;04 74 86 65 04;;http://www.cib-immobilier.com/;;;;;;;
Crémieu Immobilier;8 place du monument;38460;Crémieu;04.74.90.49.58;;http://www.cremieu-immobilier.fr/;;;;;;;
CTIM;304, avenue Générale de Gaulle;38220;Vizille;04 76 08 40 90;;http://www.ctim.fr/;;;;;;;
CTIM;13, rue de l'hôtel de ville;38260;La côte Saint André;04 74 54 29 03;;http://www.ctim.fr/;;;;;;;
CV FINANCE;7 Place Saint Bruno;38500;Voiron;04-76-67-07-93;;https://www.cvfinanceimmobilier.fr/;https://www.facebook.com/CV-Finance-Immobilier-266991880344804/;;;;;;
Dome Immobilier;255 rue général de gaulle;38330;Montbonnot saint martin;04 76 41 86 72;;http://www.domeimmobilier.fr/;;;;;;;
Doucet Immobilier Immo de France;13 bis rue Pontcottier;38300;Bourgoin-Jallieu;04 74 43 89 48;;http://www.immodefrance-isere.com/;;;;;;;
ERA DAUPHINE IMMOBILIER;33, Grande Rue;38500;Voiron;04 76 67 07 51;;http://www.era-immobilier-voiron.fr/;;;;;;;
ERA I.L.V. IMMOBILIER;26, rue Celestin Nicolas;38450;Vif;04 76 40 04 58;;http://www.era-immobilier-vif.fr/;https://www.facebook.com/pages/ERA-Immobilier-VIF/167551886589761;;;;;;
Era Saint-Rhône Immobilier;5, cours Brillier;38200;Vienne;04 74 78 36 36;;http://www.era-immobilier-vienne.fr/;;;;;;;
Espace Cotois Immobilier;66 rue de la République;38260;La Côte-Saint-André;04 74 20 84 95;;http://www.espacecotoisimmo.fr/;;;;;;;
Fontaine Immobilier;52 rue de La liberté;38600;Fontaine;0476535344;;http://www.fontaine-immobilier.com/;;;;;;;
Fontenoy Groupe Immobilier;2 rue de l'Oisans Les Myosotis 38860 Les;2;Alpes;04 76 80 50 22;;http://www.fontenoy.com/;;;;;;;
Groupe Boyer Torrollion;25, Bd. Gambetta;38000;Grenoble;04 76 87 11 36;;http://www.botor.com/;https://www.facebook.com/BoyerTorrollion;;;;;;
Groupe Boyer Torrollion;674, Grande Rue;38660;Le Touvet;04 76 08 58 76;;http://www.botor.com/;https://www.facebook.com/BoyerTorrollion;;;;;;
Groupe Boyer Torrollion;22 Cours Becquart Castelbon;38500;Voiron;04 76 05 51 83;;http://www.botor.com/;https://www.facebook.com/BoyerTorrollion;;;;;;
Groupe Boyer Torrollion;285 route de St Jean;38500;Coublevie;04 76 67 52 74;;http://www.botor.com/;https://www.facebook.com/BoyerTorrollion;;;;;;
Groupe Boyer Torrollion;48 rue de la république;38260;La Cote Saint André;04 74 20 23 41;;http://www.botor.com/;https://www.facebook.com/BoyerTorrollion;;;;;;
Groupe Boyer Torrollion;63 Bis av Général de Gaulle;38120;Saint Egrève;04 76 94 09 40;;http://www.botor.com/;https://www.facebook.com/BoyerTorrollion;;;;;;
Guy Hoquet La tour du pin;47 rue Aristide Briand;38110;La Tour-du-Pin;09 73 31 34 80;;http://www.guyhoquet-immobilier-la-tour-du-pin.com/;https://www.facebook.com/pages/Guy-Hoquet-lImmobilier-La-Tour-du-Pin/273821662665616;;;;;;
Guy Hoquet Pontcharra;71 PLACE DU TERRAIL;38530;Pontcharra;04 76 08 22 09;;http://www.guyhoquet-immobilier-pontcharra.com/;https://www.facebook.com/pages/Guy-Hoquet-Pontcharra-Montm%C3%A9lian/147782471993689;;;;;;
Guy Hoquet Saint-Martin-d'Heres;190 AV Ambroise Croizat;38400;Saint-Martin-d'Hères;04 76 89 24 29;;http://www.guyhoquet-immobilier-saint-martin-dheres.com/;https://www.facebook.com/pages/Guy-Hoquet-lImmobilier-Saint-Martin-dH%C3%A8res/251054544988631;;;;;;
Guy Hoquet Villard-bonnot;24 AVENUE DU GENERAL DE MIRIBEL;38190;Villard-Bonnot;04 76 40 01 01;;http://www.guyhoquet-immobilier-villardbonnot.com/;https://www.facebook.com/pages/Guy-Hoquet-lImmobilier-Villard-Bonnot/311206952268044;;;;;;
Home Line;43 Boulevard des Alpes;38240;MEYLAN;04 56 38 51 07;;http://www.home-line38.com/;https://www.facebook.com/homeline38;;;;;;
Ids immobilier;284 avenue de la Gare;38530;PONTCHARRA;04 76 97 30 49;;http://www.ids-immo.com/;;;;;;;
IDS IMMOBILIER;10 rue des Piardes;38580;ALLEVARD LES BAINS;04 76 45 05 91;;http://www.ids-immo.com/;;;;;;;
IFR Immobilier;30 Rue Aristide Briand;38110;La Tour-du-Pin;"04 74 83 30 67
Twitter :";;http://www.ifr-immobilier.com/;;;;;;;
Ile Verte;22 Avenue Maréchal Randon;38000;GRENOBLE;04-76-51-50-50;;http://www.ileverte.fr/;;;;;;;
Immobilier Elite;10 Bis Grand Rue;38610;Gières;04-76-00-03-33;;https://www.immobilier-elite.com/;;;;;;;
Immobilière CHANGEUR;Place Saint Bruno;38506;VOIRON;"04 76 05 52 82
Twitter :";;http://www.immobilierechangeur.com/;;;;;;;
Immocles;4 allée de l'atrium;38640;Claix;04-76-75-00-00;;http://www.immocles.com/;;;;;;;
IMMOGEST;63 RUE VICTOR HUGO;38200;Vienne;04 74 78 47 00;;http://www.immogest.net/;;;;;;;
Immosquare;45 rue des Ayguinards;38240;Meylan;04 26 78 26 67;;http://www.immosquare.fr/;https://www.facebook.com/pages/Immosquare/205915676109435;;;;;;
Immosquare;44, Cours Becquart Castelbon;38500;Voiron;04 26 78 26 72;;http://www.immosquare.fr/;https://www.facebook.com/pages/Immosquare/205915676109435;;;;;;
