company_name;company_address;company_postalcode;company_city;company_phone;company_email;company_website;company_facebook;contact_firstname;contact_lastname;contact_email;contact_phone;contact_position;contact_linkedin
3D Immobilier;;;;03.84.44.91.31;;http://www.3dimmobilier.fr/;https://www.facebook.com/Agence3dImmobilier/;;;;;;
5000 immo;4 Rue Arney;39100;DOLE;03 84 69 17 72;;http://www.5000immo.fr/;;;;;;;
Actuelle Immobilier;34, place Faramand;39600;ARBOIS;0384370047;;http://www.actuelle-immobilier.com/;https://www.facebook.com/actuelle.immobilier;;;;;;
AGENCE BIENS CONSTRUCTIONS IMMOBILIERS;2 rue Pont;39700;Fraisans;03 84 80 12 45;;http://www.a-b-c-immobilier.com/;https://www.facebook.com/pages/ABC-Immobiliers-Fraisans/170673479642693;;;;;;
Agence du Haut Jura;371 r Pasteur;39220;Les Rousses;03 84 60 08 41;;http://www.agence-du-hautjura.fr/;;;;;;;
AS Habitat;35 rue de Samiat;39360;LARRIVOIRE;03 84 42 48 35;;http://www.ashabitat.fr/;;;;;;;
Authentic Immo;12 rue du marché;39000;Saint Claude;03.84.33.11.19;;http://www.authentic-immo.fr/;;;;;;;
Bersot immobilier;26, Rue du Prieuré;39600;ARBOIS;03 84 51 37 30;;http://www.bersot.net/;https://www.facebook.com/groupebersot;;;;;;
CABINET FROISSARD;19 RUE SAINT DESIRE;39000;LONS LE SAUNIER;03 84 24 04 91;;http://www.cabinet-froissard.fr/;;;;;;;
Cabinet Jacquot Immobilier;300 Avenue des Tilleuls;39230;PASSENANS;03.84.85.39.27;;http://www.cabinetjacquotimmobilier.com/;;;;;;;
CENTURY 21 Cabinet Faivre;4 avenue Jacques Duhamel;39100;DOLE;03 84 82 93 94;;http://www.century21cabinetfaivre.com/;https://www.facebook.com/pages/CENTURY-21-Cabinet-Faivre-%C3%A0-Dole/119678424710818;;;;;;
CENTURY 21 L'Immobilier des Thermes;23 rue Lecourbe;39000;LONS LE SAUNIER;03 84 35 12 22;;http://www.century21limmobilierdesthermes.com/;https://www.facebook.com/century21.immobilierdesthermes;;;;;;
CENTURY 21 Sanac Immobilier;317 rue Pasteur;39220;LES ROUSSES;03 84 60 00 72;;http://www.century21sanac.com/;https://www.facebook.com/pages/CENTURY-21-Sanac-Immobilier/107232955967000;;;;;;
Horizon immobilier;60 RUE LOUIS LEGRAND;39140;BLETTERANS;03 84 48 36 07;;http://www.horizonimmobilier.fr/;;;;;;;
Maison de l'Immobilier;581 Grande Rue;39310;LAMOURA;03 84 600 296;;http://www.maison-immobilier-39.com/;https://www.facebook.com/pages/La-Maison-de-lImmobilier/387745541252505;;;;;;
Pietrapolis;7, rue Rouget de Lisle;39000;LONS LE SAUNIER;03.84.47.18.24;;http://www.pietrapolis.fr/;;;;;;;
SOGEPRIM;42 place de la Liberté;39600;Arbois;03 84 66 20 60;;http://www.sogeprim.fr/;;;;;;;
SOGEPRIM;44 Grande Rue;39800;Poligny;03 84 37 25 92;;http://www.sogeprim.fr/;;;;;;;
SOGEPRIM;18 rue Lafayette;39000;Lons le saunier;03 84 87 20 60;;http://www.sogeprim.fr/;;;;;;;
SOGEPRIM;41 rue des Arènes;39100;Dole;03 84 82 93 50;;http://www.sogeprim.fr/;;;;;;;
SOGEPRIM;2 place Christin;39200;Saint-Claude;03 84 45 31 96;;http://www.sogeprim.fr/;;;;;;;
Temeraire immobilier;65 av. de la République;39300;CHAMPAGNOLE;03.84.52.43.76;;http://www.temeraire-immobilier.com/;;;;;;;
SOGEPRIM;2 place Christin;39200;Saint-Claude;03 84 45 31 96;;http://www.sogeprim.fr/;;;;;;;
Temeraire immobilier;65 av. de la République;39300;CHAMPAGNOLE;03.84.52.43.76;;http://www.temeraire-immobilier.com/;;;;;;;
