company_name;company_address;company_postalcode;company_city;company_phone;company_email;company_website;company_facebook;contact_firstname;contact_lastname;contact_email;contact_phone;contact_position;contact_linkedin
Nestenn Capbreton;Résidence Le Châtelet, Place de la Gare;40130;Capbreton;05 58 48 02 21;;https://immobilier-capbreton.nestenn.com/;;;;;;;
Nestenn Dax;17 cours de verdun;40100;Dax;05 58 91 18 74;;https://immobilier-dax.nestenn.com/;;;;;;;
Nestenn Mont De Marsan;72 Rue Léon Gambetta;40000;Mont De Marsan;05 58 03 88 02;;https://immobilier-montdemarsan.nestenn.com/;;;;;;;
AB Immo;14 rue Robert Dubaa;40140;MAGESCQ;05 58 47 71 93;;http://www.abimmo-sudouest.com/;;;;;;;
Abadie Immobiler;5 avenue Jean Lartigau;40530;LABENNE;05 59 45 72 24;;http://www.abadie-immo.com/;;;;;;;
ABADIE IMMOBILIER;rue de la frégate;40130;CABRETON;05.58.72.52.37;;http://www.abadie-immo.com/;;;;;;;
ACTIMMO40;286 AVENUE 14 JUILLET;40600;Biscarrosse;05 58 82 83 84;;http://www.actimmo40.com/;;;;;;;
ACTIMMO40;254 av des Grands Lacs;40460;SANGUINET;05 58 04 69 68;;http://www.actimmo40.com/;;;;;;;
AGENCE 117;Jauréguy - 68, rue du Sintot;40290;HABAS;05 58 98 09 74;;http://www.agence117-immo.com/;;;;;;;
Agence Bouquet;8 rue de l'Eglise;40480;Vieux Boucau;05 58 48 13 50;;http://www.agence-bouquet.fr/;;;;;;;
Agence contact immobilier.com;15 avenue Sadi Carnot;40000;Mont de Marsan;05 58 85 23 23;;http://www.agence-contact-immobilier.com/;;;;;;;
Agence de la Côte d'Argent;246 avenue Alphonse Daudet;40600;Biscarrosse;05 58 78 80 76;;http://www.immo-landes.com/;;;;;;;
Agence de la cote d'Argent;12, rue Brémontier;40202;Mimizan Plage;05 58 09 00 64;;http://www.immo-landes.com/;;;;;;;
Agence de la Leyre;29 Place de l’Eglise;40410;PISSOS;05 58 08 95 35;;http://www.agencelaleyre.com/;;;;;;;
Agence de la Leyre;Route de Bordeaux;40410;MOUSTEY;0558 07 71 17;;http://www.agencelaleyre.com/;;;;;;;
AGENCE DUFAU;13, place de Castille;40510;SEIGNOSSE;05.58.43.37.44;;http://www.agence-dufau.com/;;;;;;;
Agence Durand Immobilier;61 Avenue Paul Lahary;40150;Hossegor;05 58 41 79 20;;http://www.agence-durand.com/;;;;;;;
Agence La Landaise;105 rue A. Laville;40602;biscarosse plage;05 58 78 20 14;;http://www.agencelalandaise.com/;;;;;;;
AGENCE LERAY IMMOBILIER;32 avenue Maurice Martin;40200;Mimizan;05 58 04 21 50;;http://www.lerayimmo.fr/;;;;;;;
Agence Mimizanaise;2 avenue de Bordeaux;40200;Mimizan;05 58 09 05 05;;http://www.agence-mimizan.com/;;;;;;;
Agence Moser Immobilier;207 av. Charles de Gaulle;40510;SEIGNOSSE;05.58.47.11.51;;http://www.hossegor-immobilier.com/;;;;;;;
Agence Moser Immobilier;;;;05 58 43 51 05;;http://www.moserimmo.com/;https://www.facebook.com/agence.moser;;;;;;
Agence Notre Dame;Avenue Notre-Dame;40130;CAPBRETON;05 58 43 58 91;;http://www.agence-immobiliere-notre-dame.com/;;;;;;;
Agence Ocean;Place Dufau;40600;Biscarrosse-Plage;05 58 78 27 38;;http://www.agence-ocean.com/;https://www.facebook.com/pages/Agence-Oc%C3%A9an-Biscarrosse/493317790693521;;;;;;
Agence Petit Immobilier;55 ave de Paris;40150;Hossegor;05 58 43 54 42;;http://agencepetit.com/;https://www.facebook.com/pages/Agence-Petit-Hossegor/138379869550249;;;;;;
AGENCE TACHON;14 Rue Carnot;40700;HAGETMAU;05 58 79 73 00;;http://www.tachon-immobilier.com/;;;;;;;
Agences immobilières des Bastides;275 chemin de Soutan;40320;SAMADET;05 59 04 45 04;;http://www.adb-immo.com/;;;;;;;
ALIS;3 rue Morancy;40100;Dax;05 58 58 26 41;;http://www.agence-alis.com/;;;;;;;
ALIS IMMOBILIER;850 AVENUE DU TOURING CLUB;40150;HOSSEGOR;05 58 48 75 59;;http://www.agence-alis.com/;;;;;;;
ALIS IMMOBILIER;1 Place Robert Lassalle;40140;SOUSTONS;05 58 41 41 57;;http://www.agence-alis.com/;;;;;;;
ALIS IMMOBILIER;Centre Commercial les Gourbets;40660;MOLIETS;05 58 48 54 27;;http://www.agence-alis.com/;;;;;;;
Audouard Immobilier;186 Av Paul Lahary;40150;Hossegor;05 58 41 78 78;;http://www.audouard-immobilier.com/;https://www.facebook.com/pages/Audouard-Immobilier-ORPI/312114320475;;;;;;
AUPA IMMOBILIER;2 place du Général de Gaulle;40480;VIEUX-BOUCAU-LES-BAINS;05 58 48 01 87;;http://www.aupa-immo.com/;;;;;;;
CENTURY 21 Agence Nivadour;1611 avenue du 11 novembre 1918;40440;ONDRES;05 59 45 24 10;;http://www.century21-nivadour-ondres.com/;https://www.facebook.com/century21.agence.nivadour.ondres;;;;;;
CENTURY 21 Group Immo;39 avenue de Bordeaux;40200;MIMIZAN;05 58 82 11 11;;http://www.century21-gi-mimizan.com/;https://www.facebook.com/pages/CENTURY-21-Group-Immo-%C3%A0-Mimizan/275036165879031;;;;;;
CENTURY 21 Mi-Adour;12 place Jean Jaurès;40000;MONT DE MARSAN;05 58 75 58 08;;http://www.century21mi-adour.com/;https://www.facebook.com/pages/CENTURY-21-Mi-Adour-%C3%A0-Mont-de-Marsan/113523678678106;;;;;;
Conforeco Immobilier;56 Avenue du Président John Kennedy;40000;Mont-de-Marsan;05 58 75 05 69;;http://www.conforeco-immobilier.fr/;;;;;;;
Conforeco Immobilier;99 route nationale;40230;Saint Vincent de Tyrosse;05 58 77 23 87;;http://www.conforeco-immobilier.fr/;;;;;;;
Conforeco Immobilier;2576 avenue de la résistance;40990;Saint Paul les Dax;05 58 91 03 52;;http://www.conforeco-immobilier.fr/;;;;;;;
Conforeco Immobilier;46 rue Alsace Lorraine;40300;Peyrehorade;05 58 49 83 06;;http://www.conforeco-immobilier.fr/;;;;;;;
Conforeco Immobilier;20 chemin sainte Claire RN 10;40440;Ondres;05 59 45 10 72;;http://www.conforeco-immobilier.fr/;;;;;;;
Conforeco Immobilier;Centre commercial les grillons « le bourg »;40660;Messanges;05 58 48 98 09;;http://www.conforeco-immobilier.fr/;;;;;;;
