company_name;company_address;company_postalcode;company_city;company_phone;company_email;company_website;company_facebook;contact_firstname;contact_lastname;contact_email;contact_phone;contact_position;contact_linkedin
Nestenn Montbrison;9 Rue des Arches;42600;Montbrison;04 77 96 90 00;;https://immobilier-montbrison.nestenn.com/;;;;;;;
Nestenn Montrond Les Bains;52 Avenue des Sources;42210;Montrond Les Bains;04 77 35 09 09;;https://immobilier-montrond.nestenn.com/;;;;;;;
Nestenn Saint Just Saint Rambert;131 Boulevard Jean Jaurès;42170;Saint Just Saint Rambert;04 77 35 04 09;;https://immobilier-saintjustsaintrambert.nestenn.com/;;;;;;;
100m²;10 rue Victor Laprade;42600;Montbrison;04.77.96.08.08;;http://www.100m2.fr/;;;;;;;
100m²;32 rue de Verdun;42110;Feurs;04.77.96.08.08;;http://www.100m2.fr/;;;;;;;
Aami-immobilier;7 rue Didier Guetton;42330;SAINT-GALMIER;04.77.54.09.02;;http://www.aami-immobilier.fr/;;;;;;;
ABICOM IMMOBILIER;38 Route de Lyon;42600;SAVIGNEUX;;;http://www.abicom-immobilier-loire.com/;;;;;;;
AGENCE BAT'S;2 rue Victor Hugo;42230;Roche la Moliere;04 77 50 42 46;;http://www.agencebats.com/;;;;;;;
AGENCE BAT'S;44 avenue de la mairie;42160;Bonson;04 77 02 29 90;;http://www.agencebats.com/;;;;;;;
AGENCE BAT'S;15 avenue du Pont;42210;Montrond les Bains;04 77 74 13 80;;http://www.agencebats.com/;;;;;;;
Agence F'imm;15 place Notre Dame;42410;Pélussin;04 74 87 72 47;;http://agencefimm.com/;https://www.facebook.com/agence.fimm;;;;;;
Agence Pilat Immobilier;5, boulevard Alamagny;42400;SAINT CHAMOND;04 77 29 45 56;;http://www.pilat-immobilier.fr/;;;;;;;
APImmobilier;15 Rue Jean Jaurès;42320;La Grand Croix;04 77 74 27 53;;http://www.pilat-immobilier.com/;https://www.facebook.com/pages/AP-Immobilier/157491404368561;;;;;;
APImmobilier;103 place de l’église;42520;Maclas;04 74 54 57 17;;http://www.pilat-immobilier.com/;https://www.facebook.com/APImmobilier;;;;;;
APImmobilier;12 place des croix;42410;PELUSSIN;04 74 56 73 52;;http://www.pilat-immobilier.com/;https://www.facebook.com/APImmobilier;;;;;;
BOSQUE Transaction;22, rue Charles-de-Gaulle;42160;ANDREZIEUX-BOUTHEON;04 77 02 07 14;;http://www.bosque-transaction.fr/;;;;;;;
CABINET MICHON VAIZAN;6 RUE GAMBETTA;42400;Saint Chamond;04 77 31 88 88;;http://www.michon-vaizan.com/;;;;;;;
Cabinet Tardy;11 place du Forez;42160;Andrézieux Bouthéon;04 77 02 01 30;;http://www.cabinet-tardy.fr/;;;;;;;
Centrale Immobilière;2 Rue de la République;42800;Rive-de-Gier;04 77 75 26 30;;http://www.centraleimmo.fr/;;;;;;;
COUVE IMMOBILIER;67 rue Jean Jaurès;42700;FIRMINY;04 77 40 53 53;;http://www.couveimmobilier.fr/;;;;;;;
CURTIS IMMOBILIER;32, rue Victor Hugo;42700;Firminy;04 77 89 04 56;;http://www.curtis-immobilier.fr/;;;;;;;
Di Gusto Immobilier;66, Rue du Commerce;42370;RENAISON;04.77.64.24.47;;http://www.digustoimmobilier.fr/;https://www.facebook.com/pages/Di-Gusto-Immobilier-Renaison/112601845491748;;;;;;
Gestion Immobilière Varagnat;10 bis rue Victor Laprade;42600;Montbrison;;;http://www.varagnatimmo.com/;;;;;;;
