company_name;company_address;company_postalcode;company_city;company_phone;company_email;company_website;company_facebook;contact_firstname;contact_lastname;contact_email;contact_phone;contact_position;contact_linkedin
Nestenn Ancenis;79 Boulevard Du Docteur Moutel;44150;Ancenis;02 40 98 84 00;;https://immobilier-ancenis.nestenn.com/;;;;;;;
Nestenn Carquefou;4 Rue Des Halles;44470;Carquefou;02 40 52 73 52;;https://immobilier-carquefou.nestenn.com/;;;;;;;
Nestenn Heric;51 rue de l'océan;44810;Heric;02 40 05 10 40;;https://immobilier-heric.nestenn.com/;;;;;;;
Nestenn La Chapelle sur erdre;12 A Rue Hervé Le Guyader;44240;La Chapelle sur Erdre;02 40 72 01 00;;https://immobilier-lachapellesurerdre.nestenn.com/;;;;;;;
Nestenn Le Loroux-Bottereau;4 place Rosmadec;44430;Le Loroux-Bottereau;02 40 13 07 79;;https://immobilier-le-loroux-bottereau.nestenn.com/;;;;;;;
Nestenn Montoir-de-bretagne;1 Rue Jean Jaurès;44550;Montoir-de-bretagne;02 40 66 19 19;;https://immobilier-montoir.nestenn.com/;;;;;;;
Nestenn Nantes Sud;159 Route de Clisson;44230;Saint Sébastien sur Loire;02 40 32 35 45;;https://immobilier-nantes-sud.nestenn.com/;;;;;;;
Nestenn Orvault;111 route de Rennes;44700;Orvault;02 40 40 18 17;;https://immobilier-nantesnord-orvault.nestenn.com/;;;;;;;
Nestenn Reze;16 Place Pierre Sémard;44400;Rezé;02 40 13 15 13;;https://immobilier-reze.nestenn.com/;;;;;;;
Nestenn Saint-Herblain;29 Rue Pierre Blard;44800;Saint-Herblain;02 40 86 89 39;;https://immobilier-saintherblain.nestenn.com/;;;;;;;
ACCED Immobilier;24 RUE DE L'EGLISE;44260;SAVENAY;02 40 05 10 15;;http://www.acced-immobilier.com/;;;;;;;
ACT 44;5 Allée des Korrigans;44420;PIRIAC SUR MER;02 40 23 64 43;;http://www.act44.com/;;;;;;;
Activa Immobilier Herbignac;5 place du Gééral d'Argencée;44410;HERBIGNAC;02 40 88 95 48;;http://www.activaimmobilier.com/;;;;;;;
ADR agence des remparts;4 rue de l'abreuvoir;44350;Guérande;02 51 16 53 67;;http://www.lepouliguenimmobilier.com/;;;;;;;
AGENCE BARITEAU;8 rue de Pornic;44250;ST-BREVIN-LES-PINS;02 40 27 21 58;;http://www.agencebariteau.com/;;;;;;;
Agence Beautour Immobilier;71, route de Nantes;44120;VERTOU;02.51.71.26.45;;http://www.beautour-immobilier.com/;;;;;;;
Agence Centrale du Dauphin;55, avenue du Gal De Gaulle;44380;Pornichet;02 40 15 23 99;;http://www.agencedudauphin.com/;;;;;;;
Agence Centrale du Dauphin;avenue du Maréchal Joffre;44500;La Baule;02 40 19 97 24;;http://www.agencedudauphin.com/;;;;;;;
Agence Continentale;301 avenue du Maréchal de Lattre de Tassigny;44500;La Baule;02 40 24 21 89;;https://www.agence-continentale.fr/;;;;;;;
Agence De L'Océan;Place du Marché L'Orée du Bois QUIMIAC;44420;MESQUER;02.40.42.50.50;;http://www.agenceocean.fr/;;;;;;;
Agence des flots;1 rue de la Birochère;44210;PORNIC;"02 40 82 20 69
RSS :";;http://www.agencedesflots.com/;;;;;;;
AGENCE DES PLAGES;1 Place de l'Ancienne Gare;44420;La Turballe;02 40 23 42 08;;http://www.agencedesplages.fr/;https://www.facebook.com/pages/Agence-Des-Plages/253008948131507;;;;;;
Agence du Bourg d'Orvault;1 RUE ROBERT LE RICOLAIS;44700;ORVAULT;02 51 78 61 91;;http://www.agencedubourg.fr/;;;;;;;
Agence du Casino;Galerie du Casino;44503;LA BAULE;02 40 60 83 84;;http://www.agenceducasino.fr/;https://www.facebook.com/agenceducasino;;;;;;
Agence du Casino;6 Quai du commandant l'Herminier;44510;LE POULIGUEN;02 40 42 10 27;;http://www.agenceducasino.fr/;https://www.facebook.com/agenceducasino;;;;;;
Agence du Casino;3 Place de la Victoire;44250;SAINT BREVIN LES PINS;02 40 64 11 66;;http://www.agenceducasino.fr/;https://www.facebook.com/agenceducasino;;;;;;
