company_name;company_address;company_postalcode;company_city;company_phone;company_email;company_website;company_facebook;contact_firstname;contact_lastname;contact_email;contact_phone;contact_position;contact_linkedin
Nestenn Boynes;11 Place Louis Veuillot;45300;Boynes;02 38 33 05 05;;https://immobilier-boynes.nestenn.com/;;;;;;;
Nestenn Olivet;153 rue Marcel Belot;45160;Olivet;02 38 45 03 17;;https://immobilier-olivet.nestenn.com/;;;;;;;
A votre écoute immo;17 rue du Bourg;45130;LE BARDON;02 38 44 30 87;;http://www.a-votre-ecoute-immo.fr/;;;;;;;
AC Immobilier;2 Place Jules Ferry;45200;Montargis;0238904334;;https://www.acimmobilier45.fr/;;;;;;;
Agence Bannier;42 rue Général Leclerc;45240;La Ferté-Saint-Aubin;02 38 56 15 60;;http://www.bannier-immobilier.fr/;;;;;;;
Agence du Chateau;1 avenue de Béthune;45600;Sully-sur-Loire;02.38.36.23.62;;http://www.agenceduchateau.fr/;;;;;;;
AGENCE IMMOBILIERE BEAUNOISE;16, place du marché;45340;BEAUNE LA ROLANDE;02.38.34.34.24;;http://www.aib1.com/;;;;;;;
Altive immobilier;4, rue Georges Bannery;45290;Nogent sur Vernisson;02.38.97.75.45;;http://www.altive.fr/;;;;;;;
Arche Immobilier;13 Place du Maréchal Leclerc;45500;GIEN;02 38 38 06 77;;http://www.arche-immobilier-gien.com/;https://www.facebook.com/pages/Arche-Immobilier/116253871740383;;;;;;
Arthurimmo;71 Route d'Orléans;45380;LA CHAPELLE SAINT MESMIN;02 38 72 20 20;;http://www.orleans-lachapelle-arthurimmo.com/;https://www.facebook.com/Arthurimmo.orleans.lachapelle/?ref=aymt_homepage_panel;;;;;;
CENTURY 21 Agence de Malesherbes;28 rue de la République;45330;MALESHERBES;02 38 34 62 06;;http://www.century21-agence-de-malesherbes.com/;https://www.facebook.com/pages/CENTURY-21-Agence-de-Malesherbes/114772478551694;;;;;;
CENTURY 21 Eureka;4 rue Vaublanc;45200;MONTARGIS;02 38 93 21 21;;http://www.century21-eureka-montargis.com/;https://www.facebook.com/pages/CENTURY-21-Eureka-%C3%A0-Montargis/118344861564775;;;;;;
CENTURY 21 Help'immo;32 route Nationale;45380;LA CHAPELLE ST MESMIN;02 38 55 12 33;;http://www.century21-helpimmo-la-chapelle.com/;https://www.facebook.com/pages/CENTURY-21-Helpimmo-%C3%A0-La-Chapelle-Saint-Mesmin/135747126557530;;;;;;
CENTURY 21 Néré Immobilier;74 bis rue du Maréchal Foch;45370;CLERY ST ANDRE;02 38 45 39 34;;http://www.century21-nere-clery-st-andre.com/;https://www.facebook.com/century21.nere.immobilier.clery;;;;;;
CENTURY 21 Néré Immobilier;8 place du Petit Marché;45190;BEAUGENCY;02 38 44 80 05;;http://www.century21-nere-beaugency.com/;https://www.facebook.com/century21.nere.immobilier.beaugency;;;;;;
CENTURY 21 NERE IMMOBILIER;8 place du Petit Marché;45190;BEAUGENCY;02 38 44 80 05;;http://www.century21-nere-immobilier.com/;;;;;;;
CENTURY 21 Premium;111 avenue Louis Joseph Soulas;45800;ST JEAN DE BRAYE;02 38 21 11 21;;http://www.century21premium.com/;https://www.facebook.com/pages/CENTURY-21-Premium/104882559545472;;;;;;
CENTURY 21 Trois Rois;52 avenue du Gatinais;45110;CHATEAUNEUF SUR LOIRE;02 38 46 53 40;;http://www.century21-3rois-chateauneuf.com/;https://www.facebook.com/pages/CENTURY-21-Trois-Rois-%C3%A0-Ch%C3%A2teauneuf-Sur-Loire/114643115330514;;;;;;
Durand Montouche Fleury-les-Aubrais;9, Place Abbé Pasty;45400;FLEURY LES AUBRAIS;02 38 61 00 00;;https://www.dmimmo.com/;https://www.facebook.com/DurandMontouche/;;;;;;
Durand Montouche St Jean de Braye;92 bis avenue Louis Joseph Soulas;45800;ST JEAN DE BRAYE;02 38 21 55 55;;https://www.dmimmo.com/;https://www.facebook.com/DurandMontouche/;;;;;;
ERA Centre;;;;;;http://www.era-immobilier-centre.fr/;;;;;;;
ERA MARTROI;16, place du Martroi;45300;Pithiviers;02 38 30 03 00;;http://www.era-immobilier-pithiviers.fr/;https://www.facebook.com/EraPithiviers;;;;;;
Fontenoy Groupe Immobilier;187, rue Emile Mengin;45204;MONTARGIS;02 38 93 13 47;;http://www.fontenoy.com/;;;;;;;
Guy Hoquet L'immobilier Jargeau;11 Rue Gambetta, Angle rue piétonne;45150;Jargeau;02 38 46 14 61;;http://www.guyhoquet-immobilier-jargeau.com/;;;;;;;
Guy Hoquet l'Immobilier Neuville-aux-Bois;1 rue Saint Jacques;45170;Neuville-aux-Bois;02 38 75 17 17;;http://www.guyhoquet-immobilier-neuvilleauxbois.com/;;;;;;;
Hexagone Immobilier;ZI La Champagne;45420;Bonny s/Loire;02 38 38 31 72;;http://www.agence-hexagone.com/;;;;;;;
IMMOBILIERE CACIENNE;13, rue du Maréchal Leclerc;45430;CHÉCY;02.38.22.82.82;;http://www.immo-cacienne.com/;;;;;;;
Immobilière du port au bois;12 rue Louis Blanc;45500;GIEN;02 38 05 03 87;;http://www.immobiliereduportaubois.com/;;;;;;;
