company_name;company_address;company_postalcode;company_city;company_phone;company_email;company_website;company_facebook;contact_firstname;contact_lastname;contact_email;contact_phone;contact_position;contact_linkedin
NESTENN Agen;163 Boulevard Carnot;47000;Agen;05 53 86 38 27;;https://immobilier-agen.nestenn.com/;https://www.facebook.com/Nestenn-Agen-2381170415245985/;;;;;;
Action Immobilier;Place du Foirail;47370;Tournon d'Agenais;05.24.32.40.82;;http://www.action-immobilier.fr/;;;;;;;
Agen Immobilier;78 Boulevard Carnot;47000;AGEN;05.53.66.09.33;;http://www.agen-immobilier.com/;;;;;;;
Agence Borredon;13, boulevard Bernard Palissy;47300;Villeneuve-sur-Lot;05 53 70 13 96;;http://borredonimmo.fr/;;;;;;;
Agence Carcy Fils;12 Rue De La Fraternité;47303;Villeneuve Sur Lot;05.53.70.11.16;;http://www.carcy-immobilier.com/;https://www.facebook.com/pages/Agence-CARCY-FILS/130855746940410;;;;;;
Agence Carcy Fils;14 place du marché;47200;Marmande;05 53 20 92 17;;http://www.carcy-immobilier.com/;https://www.facebook.com/pages/Agence-CARCY-FILS/130855746940410;;;;;;
Agence GARIBA - Lacapelle Biron;Route Des Bastides;47150;Lacapelle Biron;05.53.49.05.46;;http://www.immobilier-gariba.com/;;;;;;;
AGENCE HOURRA IMMOBILIER;23 AVENUE DE FUMEL;47300;VILLENEUVE SUR LOT;05 53 41 13 58;;http://www.hourra-immobilier.com/;;;;;;;
Agence immobilière Valadié;17 Place de la halle;47210;Villéreal;0553360827;;http://www.valadie-immobilier.com/;;;;;;;
AGENCE JACQUES FIGUES;50 av du Général De Gaulle;47230;LAVARDAC;05.53.65.91.28;;http://www.agencefigues.com/;;;;;;;
Agence Souille;15 boulevard Gambetta;47200;Marmande;05 53 64 06 35;;http://www.agence-souille.com/;https://www.facebook.com/pages/Agence-Souill%C3%A9-Fr%C3%A8res-Marmande/100146330095777;;;;;;
AGENCE SOUILLE FRERES;167 Bd du President Carnot;47000;AGEN;05 53 47 32 68;;http://www.agencesouilleagen.com/;;;;;;;
Agences Pouget;12 RUE LEON JOUHAUX;47500;Fumel;05 53 40 98 55;;http://www.quercyimmo.com/;;;;;;;
Aiguillon Immobilier;26 bis rue Thiers;47190;AIGUILLON;05 53 88 16 99;;http://www.aiguillon-immo.fr/;https://www.facebook.com/pages/Aiguillon-Immobilier/402784019801662;;;;;;
Alto Immobilier;177, Bld de la République;47000;AGEN;05 53 87 74 59;;http://www.alto-immobilier.com/;;;;;;;
AMP Aquitaine Midi Pyrénées Immobilier;12 rue Camille Desmoulins;47000;AGEN;05 53 66 23 92;;http://www.ampimmobilier47.fr/;;;;;;;
BEAUSEJOUR;Place centrale;47500;Monsempron-Libos;05 53 41 07 42;;http://www.immo-beausejour.net/;;;;;;;
BULIT;242 Boulevard de la Liberté;47000;AGEN;05 53 47 11 11;;http://www.bulitimmobilier.com/;;;;;;;
Cabalet;31 Boulevard Georges Leygues;47300;Villeneuve Sur Lot;05 53 47 11 11;;http://www.lot-et-garonne-immobilier.com/;https://www.facebook.com/pages/Agence-%C3%87abalet/259927190741082;;;;;;
Çabalet Immobilier;33 Rue Nationale;47110;Sainte Livrade Sur Lot;05.53.01.07.56;;http://www.lot-et-garonne-immobilier.com/;https://www.facebook.com/pages/Agence-%C3%87abalet/259927190741082;;;;;;
CABINET CARNIEL;30 Boulevard Raymond Fourcade;47200;MARMANDE;05 53 64 23 23;;http://www.dubernat-carniel.com/;;;;;;;
Cabinet D'Artagnan;59 rue de la République;47240;Bon Encontre;05 53 87 22 30;;http://www.cabinet-dartagnan.com/;;;;;;;
Cabinet Immobilier Gary;22 Boulevard Bernard Palissy;47300;Villeneuve sur Lot;05 53 70 32 20;;http://www.mamaisondanslesudouest.com/;;;;;;;
Carole B Immobilier;4 Place de la Couronne;47200;MARMANDE;0553790564;;http://www.carolebimmo.com/;;;;;;;
Castelmoron Immo;8 rue Gabriel Bonnet;47260;CASTELMORON SUR LOT;05 53 20 79 52;;http://www.immobilier47.com/;https://www.facebook.com/Immobilier47com;;;;;;
chrome immobilier;5 avenue des martyrs de la résistance;47200;MARMANDE;05.53.20.20.50;;http://www.chromeimmobilier.com/;;;;;;;
Coté Gascogne Immobilier;C. Cial le Chat d'Oc;47520;Le Passage d'Agen;05 53 48 39 88;;http://www.cote-gascogne.fr/;https://www.facebook.com/pages/Cot%C3%A9-Gascogne-Immobilier/199805306705360;;;;;;
Ducos Property;Lieu dit Daspe;47200;Beaupuy;05 53 84 06 19;;http://www.ducos-property.com/;;;;;;;
Ducos Property Immobilier;9 rue de la République;47200;Marmande;05 53 84 06 19;;http://www.ducos-property.com/;https://www.facebook.com/ducosproperty;;;;;;
Europe Inter Immobilier;155 Boulevard du President Carnot;47000;Agen;05.53.66.48.06;;http://www.eii-immo.com/;https://www.facebook.com/pages/Europe-Inter-Immobilier/212279345488843;;;;;;
FOUL'Immo;Lieu dit La Maurinette Galerie Marchande Intermarché;47510;FOULAYRONNES;05 53 99 54 25;;http://www.foul-immo47.com/;;;;;;;
Garonne Immo;18 rue Maréchal Joffre;47400;TONNEINS;05 53 79 13 08;;http://www.garonne-immo.com/;;;;;;;
Guy Hoquet l'Immobilier Marmande;1 BIS RUE DE LA LIBERATION;47200;Marmande;05 53 64 36 36;;http://www.guyhoquet-immobilier-marmande.com/;;;;;;;
Hubert Jardin;Espace Roussel;47500;MONTAYRAL;05.53.41.75.47;;http://www.immobilier-hubertjardin.com/;;;;;;;
IMMO-BAILLES;35, rue Gambetta;47400;TONNEINS;05 53 79 05 23;;http://www.immo-bailles.com/;;;;;;;
Immo-donnoo;44 rue de la Fraternité;47300;VILLENEUVE SUR LOT;05 53 40 02 69;;http://www.immo-dinnoo.com/;;;;;;;
Immobilier Agenais;La Palmeraie 100, avenue Michel Ricard;47520;LE PASSAGE D AGEN;05 53 87 34 25;;http://www.immobilier-agenais.com/;;;;;;;
Immobilier Agenais;3 Boulevard de la République;47000;Agen;05 53 68 00 15;;http://www.immobilier-agenais.com/;;;;;;;
Immobilier LAURENT THERIN;173 BOULEVARD DU PRESIDENT CARNOT;47000;Agen;05 53 47 33 16;;http://www.immobilier-agen.com/;;;;;;;
Immobilier Sud Périgord;Place Liberation;47210;VILLEREAL;05 53 41 92 47;;http://www.immobilier-villereal.com/;;;;;;;
Jasmin IMMOBILIER;87 avenue du Générale de Gaulle;47000;AGEN;05.53.66.32.28;;http://www.jasminimmobilier.fr/;;;;;;;
La Chaumière Immobilier;159 bld Carnot;47000;Agen;05 53 67 18 00;;http://www.lachaumiereimmobilier.com/;;;;;;;
La clé;5 Place Du Marechal Foch;47000;Agen;05 53 68 25 56;;http://www.lacle-immo.com/;https://www.facebook.com/lacle.immo.agen/;;;;;;
La Maison de L'immobilier;47, rue de Paris;47300;Villeneuve sur Lot;05.53.40.71.40;;http://www.maisondelimmobilier.com/;https://www.facebook.com/maisondelimmobilier.lot;;;;;;
LAFORET CARNOT IMMOBILIER Agen;84 boulevard Carnot;47000;Agen;05 53 77 53 10;;http://www.laforet-agen.com/;https://www.facebook.com/pages/Laforet-Carnot-Immobilier-Agen/228262887260715;;;;;;
LeDil;Zac de Fabas;47550;Boé;0553482340;;https://ledil.immo/;https://www.facebook.com/teamledil/;;;;;;
Maurig Immo;5,BOULEVARD GAMBETTA;47200;MARMANDE;05 53 64 10 37;;http://www.maurigimmobilier.com/;;;;;;;
Max GERMA Immobilier;43, rue des Arcades;47150;MONFLANQUIN;05 53 36 50 68;;http://www.max-immobilier.fr/;;;;;;;
MORA Immobilier;24 Av Henri Barbusse;47000;Agen;05 53 66 94 60;;http://www.mora-immobilier.fr/;;;;;;;
Prayssas Immo;Avenue Jean Jaures;47360;PRAYSSAS;"05 53 87 10 74
Twitter :";;http://www.immobilier47.com/;;;;;;;
Soleil immobilier;5 Bd de la République;47300;Villeneuve sur Lot;0553401965;;http://www.soleil-immobilier-villeneuve.com/;https://www.facebook.com/soleil.immobilier;;;;;;
Soleil immobilier 47;5 bd de la République;47300;Villeuneuve-sur-Lot;"05 53 40 19 65
Twitter :";;http://www.soleil-immobilier-47.com/;;;;;;;
Sud Ouest Immobilier;91 boulevard Carnot;47000;AGEN;05 53 66 23 46;;http://www.sudouestimmobilier.fr/;;;;;;;
Transac Immo 47;12 boulevard Bernard Palissy;47300;VILLENEUVE SUR LOT;05 53 36 67 90;;http://www.transac-immo47.fr/;;;;;;;
Vialex International;;;;05 53 95 46 24;;http://www.vialex.com/;;;;;;;
Villeneuve Immobilier;7 Bd Bernard Palissy;47300;Villeneuve Sur Lot;"05.53.70.40.00
RSS :";;http://www.villeneuve-immobilier47.com/;;;;;;;
CABINET CARNIEL;30 Boulevard Raymond Fourcade;47200;MARMANDE;05 53 64 23 23;;http://www.dubernat-carniel.com/;;;;;;;
Cabinet D'Artagnan;59 rue de la République;47240;Bon Encontre;05 53 87 22 30;;http://www.cabinet-dartagnan.com/;;;;;;;
Cabinet Immobilier Gary;22 Boulevard Bernard Palissy;47300;Villeneuve sur Lot;05 53 70 32 20;;http://www.mamaisondanslesudouest.com/;;;;;;;
Carole B Immobilier;4 Place de la Couronne;47200;MARMANDE;0553790564;;http://www.carolebimmo.com/;;;;;;;
Castelmoron Immo;8 rue Gabriel Bonnet;47260;CASTELMORON SUR LOT;05 53 20 79 52;;http://www.immobilier47.com/;https://www.facebook.com/Immobilier47com;;;;;;
chrome immobilier;5 avenue des martyrs de la résistance;47200;MARMANDE;05.53.20.20.50;;http://www.chromeimmobilier.com/;;;;;;;
Coté Gascogne Immobilier;C. Cial le Chat d'Oc;47520;Le Passage d'Agen;05 53 48 39 88;;http://www.cote-gascogne.fr/;https://www.facebook.com/pages/Cot%C3%A9-Gascogne-Immobilier/199805306705360;;;;;;
