company_name;company_address;company_postalcode;company_city;company_phone;company_email;company_website;company_facebook;contact_firstname;contact_lastname;contact_email;contact_phone;contact_position;contact_linkedin
ACADEMIE IMMOBILIERE;1, Route Neuve;48320;ISPAGNAC;04 66 47 15 33;;http://www.academie-immobiliere.com/;;;;;;;
Agence immobiliere Langonaise;7, Bd Charles De Gaulle;48300;Langogne;04 66 69 18 34;;http://www.langogneimmo.net/;;;;;;;
Agence occitane;12, Avenue du Maréchal Foch;48000;MENDE;04 66 49 19 69;;http://www.immobilier-occitan.com/;;;;;;;
Ardèche Lozère Immobilier;45, Place du Bosquet;48800;VILLEFORT;04 66 46 63 97;;http://www.ardechelozereimmo.com/;https://www.facebook.com/pages/Ard%C3%A8che-Loz%C3%A8re-Immobilier/176987942508722;;;;;;
Aubrac Margeride Immobilier;2, Rue d'Aigues Passes;48000;Mende;04 66 42 97 81;;http://www.aubrac-immo.com/;;;;;;;
Aubrac Margeride Immobilier;Place des Cordeliers;48100;Marvejols;04 66 32 02 81;;http://www.aubrac-immo.com/;;;;;;;
Aubrac Margeride Immobilier;14, Place du Marché;48200;St Chély d'Apcher;04 66 31 00 30;;http://www.aubrac-immo.com/;;;;;;;
CHANTAL BERNARD IMMOBILIER;21 bd Henri Bourrillon;48000;MENDE;04 66 65 13 07;;http://www.chantal-immo.fr/;;;;;;;
Languedoc Eden Realty;Chemin du Réjal;48320;Ispagnac;;;http://www.languedoc-eden-realty.com/;;;;;;;
Marcel Immo;Place du Portal;48500;LA CANOURGUE;04 66 32 95 90;;http://www.marcelimmo.com/;;;;;;;
Marcel Immo;43 Avenue Jean Monestier;48400;FLORAC;04 66 45 19 28;;http://www.marcelimmo.com/;;;;;;;
Maurin immobilier;11 Boulevard Capucins;48300;LANGOGNE;04 66 69 48 71;;http://www.maurin-immobilier.com/;;;;;;;
Orpi Agence la Lauze;5 Place République;48000;MENDE;04 66 49 30 86;;http://www.orpilozere.com/;;;;;;;
Pierres des Cévennes;ROUTE NAT 106;48160;Le Collet de Deze;0466454421;;http://www.pierresdescevennes.com/;;;;;;;
S.O.L.O.G.E.C;16 BOULEVARD HENRI BOURRILLON;48000;MENDE;04 66 49 18 52;;http://agence-immobiliere-sologec.com/;https://www.facebook.com/pages/SOLOGEC-Immobilier/323224204441247;;;;;;
Vallée Française Immobilier;;;;04 66 45 78 12;;http://sud-cevennes-immobilier.com/;;;;;;;
