company_name;company_address;company_postalcode;company_city;company_phone;company_email;company_website;company_facebook;contact_firstname;contact_lastname;contact_email;contact_phone;contact_position;contact_linkedin
Agence Centrale immobilière;13, rue du Portail Louis;49400;Saumur;;;http://www.agence-centrale-immobiliere-saumur.com/;;;;;;;
Nestenn Avrille;78 Avenue Pierre Mendes France;49240;Avrille;02 41 31 17 31;;https://immobilier-avrille.nestenn.com/;;;;;;;
Nestenn Beaufort en Anjou;rue de la poissonniere;49250;Beaufort en Anjou;02 41 44 01 32;;https://immobilier-beaufort-en-anjou.nestenn.com/;;;;;;;
Nestenn Cholet;19 Rue Des Bons Enfants;49300;Cholet;02 41 71 18 18;;https://immobilier-cholet.nestenn.com/;;;;;;;
Nestenn Doue La Fontaine;10 Place Verdun;49700;Doue La Fontaine;02 41 40 10 02;;https://immobilier-doue-la-fontaine.nestenn.com/;;;;;;;
Nestenn Le Lion d Angers;12 rue Général Leclerc;49220;Le Lion d Angers;02 41 05 12 05;;https://immobilier-lelion-angers.nestenn.com/;;;;;;;
Nestenn Les Ponts de Ce;12 Rue Charles de Gaulle;49130;Les Ponts de Cé;02 41 44 69 69;;https://immobilier-lespontsdece.nestenn.com/;;;;;;;
Nestenn Saint Barthelemy d Anjou;16 rue Jean Lurçat;49124;Saint Barthélémy d Anjou;02 41 27 58 00;;https://immobilier-stbarthelemy-anjou.nestenn.com/;;;;;;;
Nestenn Saumur;41 Rue Dacier;49400;Saumur;02 41 52 88 05;;https://immobilier-saumur.nestenn.com/;;;;;;;
Nestenn Segre;20 rue Pasteur;49500;Segré;02 41 26 80 19;;https://immobilier-segre.nestenn.com/;;;;;;;
Nestenn Tierce;2 rue Val de Sarthe;49125;Tierce;02 41 20 29 44;;https://immobilier-tierce.nestenn.com/;;;;;;;
AGENCE Bourbon;6, rue du Logis Bourbon;49590;Fontevraud l'Abbaye;02 41 40 25 10;;http://www.agence-bourbon.com/;;;;;;;
AGENCE DE LA CITE;10 Place Jeanne de Laval;49250;BEAUFORT EN VALLEE;;;http://www.agencedelacite49.com/;;;;;;;
AGENCE DE LA CITE;94 rue Principale;49630;MAZE;;;http://www.agencedelacite49.com/;;;;;;;
Agence du Marché;11, Rue du Marché;49400;SAUMUR;02 41 52 20 40;;http://www.agencedumarche.fr/;;;;;;;
Agence l'Anjou DUPERRAY;27 place Bilange;49400;Saumur;02 41 51 11 31;;http://www.agence-immobiliere-saumur.com/;;;;;;;
AJP Immobilier;37 rue St Pierre;49300;CHOLET;02 41 56 49 01;;http://www.ajp-immobilier.com/;;;;;;;
AJP Immobilier;75 rue de la Vendee;49450;SAINT MACAIRE EN MAUGES;02 41 49 20 00;;http://www.ajp-immobilier.com/;;;;;;;
Alphim immobilier;6 Avenue de la Violette;49240;Avrillé Angers;0241 34 6000;;http://www.alphim.com/;;;;;;;
AMP Loire Immobilier;43, rue du Vieux Pont;49290;CHALLONES SUR LOIRE;02 41 74 13 23;;http://www.ampimmo.com/;;;;;;;
AMP Loire Immobilier;11 place G. Clémenceau;49320;BRISSAC-QUINCÉ;02.41.57.27.27.;;http://www.ampimmo.com/;;;;;;;
AMP Loire Immobilier;198 rue nationale;49120;CHEMILLÉ;02.41.64.32.32;;http://www.ampimmo.com/;;;;;;;
Arthur Loyd Angers;4 Bis rue Olivier de Serres;49070;BEAUCOUZE;02 41 31 31 31;;http://www.arthur-loyd-angers.com/;;;;;;;
Atlantim Immobilier Angers;16 route d'Angers;49124;Saint Barthélémy d'Anjou;02 41 93 89 90;;http://www.atlantim-immobilier.com/;;;;;;;
Cabinet Branchereau;8 rue Nationale;49330;CHATEAUNEUF sur Sarthe;02 41 93 76 46;;http://www.branchereau.fr/;;;;;;;
Cabinet Chevillon;30 rue Beaurepaire;49400;Saumur;02 41 51 04 65;;http://www.cabinetchevillon.fr/;https://www.facebook.com/cabchevi;;;;;;
Cabinet Eric Chupin;33 Rue des vieux greniers;49300;CHOLET;02 41 62 31 96;;http://www.eric-chupin.fr/;;;;;;;
Cabinet Jean BROSSET;75, rue principale;49630;MAZÉ;0241 802 780;;http://www.brosset.com/;;;;;;;
CENTURY 21 Les Arcades;192 rue Nationale;49300;CHOLET;02 41 75 09 64;;http://www.century21-les-arcades-cholet.com/;https://www.facebook.com/pages/CENTURY-21-Les-Arcades-%C3%A0-Cholet/261351973926436;;;;;;
CENTURY 21 Stéphane Sabot;1 rue du Petit Vivier;49080;BOUCHEMAINE;02 41 77 35 35;;http://www.century21stephanesabot.com/;https://www.facebook.com/pages/CENTURY-21-St%C3%A9phane-Sabot-%C3%A0-Bouchemaine/108990139136165;;;;;;
Doué immobilier;1, petite rue du Champ de Foire;49700;Doué-la-Fontaine;02 41 59 95 80;;http://www.doue-immobilier.com/;;;;;;;
Doué immobilier;2, Place du Marché;49260;MONTREUIL-BELLAY;02 41 50 69 17;;http://www.doue-immobilier.com/;;;;;;;
Fontenoy Groupe Immobilier;29, rue Dacier;49400;SAUMUR;02 41 51 28 38;;http://www.fontenoy.com/;;;;;;;
Griffon Choloux;37 rue Mauges;49600;Beaupreau;02 41 63 27 27;;http://www.griffon-choloux-immobilier.com/;;;;;;;
Griffon Choloux;57 Place Travot;49300;Cholet;02 41 56 42 33;;http://www.griffon-choloux-immobilier.com/;;;;;;;
Guy Hoquet Saumur;17 PLACE SAINT PIERRE;49400;Saumur;02 41 83 12 60;;http://www.guyhoquet-immobilier-saumur.com/;;;;;;;
Hyacinthe immobilier;18 Avenue Maudet;49300;CHOLET;02.41.62.45.56;;http://www.hyacinthe-immobilier.com/;https://www.facebook.com/hyacintheimmobilier;;;;;;
immo briollay;1 Chemin de la Guichardière;49125;BRIOLLAY;02.41.43.24.17;;http://www.immobriollay.fr/;;;;;;;
Immo Briollay Juigne;29 Grande Rue;49610;JUIGNE SUR LOIRE;02.41.44.19.11;;http://www.immobriollay.fr/;;;;;;;
IMMO CONCEPT 49;Centre Commercial La Guillebotte;49130;LES PONTS DE CE;02.41.74.04.18;;http://www.ic49.fr/;;;;;;;
IMMO CONCEPT 49;7, rue Louis Moron;49320;BRISSAC-QUINCÉ;02.41.68.04.66;;http://www.ic49.fr/;;;;;;;
Immobilier Construction;48 rue d'Orléans;49400;SAUMUR;02.41.40.58.22.;;http://www.immobilierconstruction.com/;;;;;;;
Ingrandes immo;16 rue du Pont;49123;Ingrandes sur loire;02 41 39 25 29;;http://www.ingrandesimmo.com/;;;;;;;
JAFFRE Immobilier;50 rue St Nicolas;49414;SAUMUR;02.41.67.23.43;;http://www.agence-jaffre.com/;;;;;;;
Jefimmo;27 Ter rue Joachim du Bellay;49270;SAINT LAURENT DES AUTELS;02 40 98 25 15;;http://www.jefimmo.fr/;;;;;;;
L'Adresse Immobilier 49;;;;;;http://www.ladresse-49.fr/;https://www.facebook.com/pages/LAdresse-49/182726265082836;;;;;;
