company_name;company_address;company_postalcode;company_city;company_phone;company_email;company_website;company_facebook;contact_firstname;contact_lastname;contact_email;contact_phone;contact_position;contact_linkedin
Acanthe Immobilier;61 bis rue de la duché;50100;Cherbourg;02 33 01 79 40;;http://www.acanthe-immo.fr/;;;;;;;
Actimmo;12 rue François Lavieille;50100;Cherbourg-Octeville;02.33.10.12.10;;http://www.actimmo50.fr/;;;;;;;
Agence du Donjon;2 rue Estouteville;50260;Bricquebec;02 33 04 16 42;;http://www.agencedudonjon.com/;;;;;;;
Agence du Donjon;36 rue Bottin Desylles;50390;St-Sauveur-Le-Vicomte;02 33 40 35 11;;http://www.agencedudonjon.com/;;;;;;;
Agence immobilière Le Franc;32 Rue Albert Mahieu;50100;CHERBOURG;02 33 97 30 00;;http://www.agencelefranc.fr/;;;;;;;
Agence Le Phare;4, rue Christine;50100;CHERBOURG;02.33.02.08.37;;http://www.agencelephare.fr/;;;;;;;
B' cimmo;29 Rue Saint Thomas;50000;SAINT LO;;;http://www.b-cimmo.com/;;;;;;;
Barassin;7, rue Havin;50000;SAINT-LÔ;02 33 57 06 30;;http://www.barassinimmobilier.com/;;;;;;;
Barassin - Immobilier;19 cours Jonville;50400;GRANVILLE;02 33 90 07 45;;http://www.barassinimmobilier.com/;;;;;;;
Barassin - Immobilier;22 rue Amiral Tourville;50230;COUTAINVILLE;02 33 76 69 69;;http://www.barassinimmobilier.com/;;;;;;;
Cabinet Faudais;1 route de Montsurvent;50560;GOUVILLE SUR MER;02 33 47 90 00;;http://www.cabinet-faudais.com/;https://www.facebook.com/pages/Cabinet-Faudais/155927374439228?;;;;;;
Cabinet Faudais;45 RUE SAINT NICOLAS;50206;COUTANCES;02 33 45 07 57;;http://www.cabinet-faudais.com/;https://www.facebook.com/pages/Cabinet-Faudais/155927374439228;;;;;;
