company_name;company_address;company_postalcode;company_city;company_phone;company_email;company_website;company_facebook;contact_firstname;contact_lastname;contact_email;contact_phone;contact_position;contact_linkedin
Agence immobilière Montmirail;1 rue du Faubourg de Condé;51210;MONTMIRAIL;"03.26.80.26.26
Twitter :";;http://www.immobilier-montmirail.com/;;;;;;;
Agence moderne;2 r Col Pierre Servagnat;51200;EPERNAY;03.26.32.33.65;;http://www.agence-moderne.fr/;;;;;;;
Alésia immobilier;Place Monseigneur Tissier 1 ter rue Léon Bourgeois;51000;Chalons en Champagne;03 26 68 40 40;;http://www.alesia-immobilier.fr/;;;;;;;
CARIMEX Immobilier;4 rue Gabriel Peri;51430;Tinqueux;03 26 48 14 55;;http://www.carimeximmobilier.com/;;;;;;;
CENTURY 21 L'Immobilière du Centre;4 rue Lucien Mathieu;51210;MONTMIRAIL;03 26 80 66 83;;http://www.century21-immobiliere-montmirail.com/;https://www.facebook.com/pages/CENTURY-21-LImmobili%C3%A8re-du-Centre-%C3%A0-Montmirail/186589921379383;;;;;;
CENTURY 21 Lemaire Immobilier;3 place du Général de Gaulle;51310;ESTERNAY;03 26 80 00 57;;http://www.century21-lmi-esternay.com/;https://www.facebook.com/pages/CENTURY-21-Lemaire-Immobilier-%C3%A0-Esternay/146715795385238;;;;;;
CENTURY 21 Martinot Immobilier;28-30 Porte Lucas;51200;EPERNAY;03 26 56 33 21;;http://www.century21-martinot-epernay.com/;;;;;;;
CENTURY 21 Martinot Immobilier;1 allée Alphonse Karr;51000;CHALONS EN CHAMPAGNE;03 26 65 21 21;;http://www.century21-martinot-chalons.com/;https://www.facebook.com/pages/CENTURY-21-Martinot-Immobilier-%C3%A0-Ch%C3%A2lons-en-Champagne/183587421661833;;;;;;
CHAMPAGNE IMMOBILIER;1 rue de l'Abbé Lambert;51000;CHALONS-EN-CHAMPAGNE;03 26 65 03 11;;http://www.champagneimmobilier.fr/;;;;;;;
Christophe Mahout Immobilier;3 boulevard François 1er;51300;VITRY LE FRANCOIS;03 26 74 14 17;;http://www.cm-immobilier.net/;;;;;;;
Comptoir Champenois;3 place du Commerce;51140;Muizon;03 26 78 10 10;;http://www.comptoirchampenois.com/;;;;;;;
ERA Champagne-Ardenne Immobilier;;;;;;http://www.era-immobilier-champagne-ardenne.fr/;;;;;;;
ERA ENZO IMMOBILIER;33, rue Croix des Teinturiers;51000;Chalons en Champagne;03 26 44 04 00;;http://www.era-immobilier-chalons-en-champagne.fr/;;;;;;;
ERA K-RE IMMOBILIER;39 grande rue de Vaux;51300;VITRY LE FRANCOIS;03 26 62 37 37;;http://www.era-immobilier-vitry-le-francois.fr/;;;;;;;
Etude Immobilière Des Deux Vallées;2 rue de la Huchette;51170;FISMES;0981241702;;http://www.etude-immobiliere-des-deux-vallees.com/;;;;;;;
Guy Hoquet L'immobilier Chalons en Champagne;34 AVENUE JEAN JAURES;51000;Châlons-en-Champagne;03 26 65 88 05;;http://www.guyhoquet-immobilier-chalons-en-champagne.com/;https://www.facebook.com/pages/Guy-Hoquet-lImmobilier-Ch%C3%A2lons-en-Champagne/279885775404570;;;;;;
Guy Hoquet l'Immobilier Epernay;48 RUE DE REIMS;51200;Épernay;03 26 55 94 94;;http://www.guyhoquet-immobilier-epernay.com/;https://www.facebook.com/pages/Guy-Hoquet-lImmobilier-Epernay/136547573129267;;;;;;
Guy Hoquet L'immobilier Sezanne;12 RUE DE LA HALLE;51120;Sézanne;03 26 42 07 00;;http://www.guyhoquet-immobilier-sezanne.com/;https://www.facebook.com/pages/Guy-Hoquet-lImmobilier-S%C3%A9zanne/263615833693765;;;;;;
Guy Hoquet l'Immobilier Vitry-le-François;8 PLACE DU MAL LECLERC;51300;Vitry-le-François;03 26 62 24 24;;http://www.guyhoquet-immobilier-vitry-le-francois.com/;https://www.facebook.com/pages/Guy-Hoquet-lImmobilier-Vitry-le-Fran%C3%A7ois/287350917987453;;;;;;
La Renaissance Immobilère Châlonnaise;55 bd Hippolyte Faure;51005;Châlons en Champagne;03.26.68.37.11;;http://www.ric-habitat.fr/;;;;;;;
Laforet Chalons en champagne;30 rue de la Marne;51000;CHALONS EN CHAMPAGNE;03.26.21.83.24;;http://www.laforet-chalons-en-champagne.com/;https://www.facebook.com/Laforet.ChalonsenChampagne;;;;;;
Laforet Immobilier Sainte menehould;15 rue Chanzy;51800;SAINTE MENEHOULD;03.26.60.18.18;;http://www.laforet-immobilier-sainte-menehould.com/;https://www.facebook.com/Laforet.SainteMenehould;;;;;;
Laforet Immobilier Vitry le francois;10 grande rue de Vaux;51300;VITRY LE FRANCOIS;03.26.72.28.28;;http://www.laforet-vitry-le-francois.com/;https://www.facebook.com/Laforet.VitryleFrancois;;;;;;
VICTORIA KEYS;2 Place de la République;51200;EPERNAY;03.26.51.00.00;;http://www.victoria-keys.com/;https://www.facebook.com/agencesvictoriakeys;;;;;;
VICTORIA KEYS;35 r d'Orfeuil;51000;Chalons en Champagne;03.26.22.52.22;;http://www.victoria-keys.com/;https://www.facebook.com/agencesvictoriakeys;;;;;;
Witry Immo;2 rue Boucton Favreaux;51420;WITRY LES REIMS;03.26.40.23.19;;http://www.witry-immo.fr/;https://www.facebook.com/pages/Witry-Immo/162124830498186;;;;;;
Laforet Chalons en champagne;30 rue de la Marne;51000;CHALONS EN CHAMPAGNE;03.26.21.83.24;;http://www.laforet-chalons-en-champagne.com/;https://www.facebook.com/Laforet.ChalonsenChampagne;;;;;;
Laforet Immobilier Sainte menehould;15 rue Chanzy;51800;SAINTE MENEHOULD;03.26.60.18.18;;http://www.laforet-immobilier-sainte-menehould.com/;https://www.facebook.com/Laforet.SainteMenehould;;;;;;
Laforet Immobilier Vitry le francois;10 grande rue de Vaux;51300;VITRY LE FRANCOIS;03.26.72.28.28;;http://www.laforet-vitry-le-francois.com/;https://www.facebook.com/Laforet.VitryleFrancois;;;;;;
VICTORIA KEYS;2 Place de la République;51200;EPERNAY;03.26.51.00.00;;http://www.victoria-keys.com/;https://www.facebook.com/agencesvictoriakeys;;;;;;
VICTORIA KEYS;35 r d'Orfeuil;51000;Chalons en Champagne;03.26.22.52.22;;http://www.victoria-keys.com/;https://www.facebook.com/agencesvictoriakeys;;;;;;
Witry Immo;2 rue Boucton Favreaux;51420;WITRY LES REIMS;03.26.40.23.19;;http://www.witry-immo.fr/;https://www.facebook.com/pages/Witry-Immo/162124830498186;;;;;;
