company_name;company_address;company_postalcode;company_city;company_phone;company_email;company_website;company_facebook;contact_firstname;contact_lastname;contact_email;contact_phone;contact_position;contact_linkedin
Agence de la Tour;35 Grande Rue;53110;Lassay-les-Châteaux;02 43 08 53 56;;http://www.agencedelatour.fr/;;;;;;;
Agence La Licorne;6 grande rue;53150;Montsûrs;02.43.02.01.00;;http://www.lalicorne-immobilier.com/;;;;;;;
Agence La Licorne;6 Place de l'Eglise;53160;Bais;02.43.01.08.88;;http://www.lalicorne-immobilier.com/;;;;;;;
Agence La Licorne;1 Rue Duguesclin;53100;Mayenne;02.43.08.50.09;;http://www.lalicorne-immobilier.com/;;;;;;;
Breton & Jeanneau Immobilier;34 boulevard des Loges;53940;St berthevin;02 43 53 44 44;;http://www.bj-immobilier.fr/;;;;;;;
Cabinet Branchereau;2 Bis rue Thiers;53200;CHATEAU-GONTIER;02 43 70 59 93;;http://www.branchereau.fr/;;;;;;;
Cabinet Le Nail;Bât. H, Rue Albert Einstein;53810;Changé;02.43.98.20.20;;https://www.cabinetlenail.com/;https://www.facebook.com/cabinetlenail/;;;;;;
EXPERT IMMO 53;56 Avenue De La Libération;53940;SAINT-BERTHEVIN;02.72.95.11.83;;http://www.expertimmo53.fr/;https://www.facebook.com/pages/Expert-Immo-53/625702584117100;;;;;;
Guedon Immobilier;8 Bis Avenue Razilly;53200;CHATEAU GONTIER;02 43 07 98 88;;http://www.guedon-immobilier.com/;;;;;;;
Id.Halles;1 place de l’Europe;53800;Renazé;02 43 70 12 66;;http://www.id-halles.fr/;;;;;;;
Immobilier des Deux Rives;Le Petit Bout;53240;Andouillé;02 43 49 10 46;;http://www.immobilierdesdeuxrives.com/;;;;;;;
Nord Ouest Immo;25 Rue Guillaume le Conquérant;53300;AMBRIERES LES VALLEES;02 43 03 65 15;;http://www.nord-ouest-immo.fr/;;;;;;;
Zambon Entreprises;Parc Tertiaire Technopolis Rue Albert Einstein;53810;Changé;02 43 53 36 36;;http://www.zambon-entreprises.fr/;;;;;;;
