company_name;company_address;company_postalcode;company_city;company_phone;company_email;company_website;company_facebook;contact_firstname;contact_lastname;contact_email;contact_phone;contact_position;contact_linkedin
After Immobilier;8, rue du Maréchal Leclerc;54360;BLAINVILLE SUR L'EAU;03.83.75.08.21;;http://www.afterimmobilier.fr/;;;;;;;
Agence Saint Louis;55 Rue Franchepré;54240;JOEUF;03 82 22 22 05;;http://www.agence-stlouis.fr/;;;;;;;
Agora Immobilier;1A, rue Raymond Mondon;54150;BRIEY;03 82 20 25 26;;http://www.agoraimmobilier.com/;;;;;;;
Bertrand Immo;11bis, rue Sadi Carnot;54300;LUNEVILLE;03 83 73 44 44;;http://www.bertrand-immo.com/;;;;;;;
Bertrand Immobilier;161 place Ferri de Ludres;54710;LUDRES;03 83 26 22 22;;http://www.bertrand-immo.com/;;;;;;;
BILLION CONSEILS;31 Allée des Tissiers;54600;VILLERS LES NANCY;;;http://www.immobilier-nancy-billion.fr/;;;;;;;
Bouko Immobilier;27, ZAC de la Croisette;54210;SAINT NICOLAS DE PORT;03 83 48 11 01;;http://www.bouko-immobilier.com/;;;;;;;
CENTURY 21 Midon Baudoin Immobilier;16 avenue Carnot;54130;ST MAX;03 83 29 29 24;;http://www.century21-midon-saint-max.com/;;;;;;;
Collin immobilier;9 rue CARNOT;54300;LUNEVILLE;03 83 74 18 00;;http://www.collin-immobilier.com/;;;;;;;
Collin Immobilier;18 Place de la Republique;54210;ST NICOLAS DE PORT;03 83 46 97 00;;http://www.collin-immobilier.com/;;;;;;;
DECLIC immobilier;24 rue de la Huilière;54260;Fresnois la montagne;03 82 26 29 08;;http://www.declicimmobilier.fr/;https://www.facebook.com/Declicimmobilier;;;;;;
Dumur Immobilier;Place de l'Eglise;54150;BRIEY;03 82 46 21 61;;http://www.dumur.fr/;;;;;;;
FGI;38 RUE DU BEAUJOLAIS;54500;VANDOEUVRE LES NANCY;03 83 44 26 26;;http://www.fgi-immobilier.com/;;;;;;;
Florian Immobilière;15 rue Marcel Ney;54530;Pagny sur Moselle;03 83 81 54 63;;http://www.florian-immobiliere.fr/;;;;;;;
Immo du Château;17 bis rue des Bosquets;54300;LUNEVILLE;09.83.901.922;;http://www.immo-duchateau.com/;;;;;;;
Immobilière Emmanuel Manson;61 rue Jolain;54210;St Nicolas de Port;03 83 18 36 03;;http://www.immobiliere-manson.com/;;;;;;;
IMMOBILIERE SCARPONAISE;22 ave Général de Gaulle;54380;DIEULOUARD;;;http://www.immoscarponaise.fr/;;;;;;;
Immolivier;;;;;;http://www.immolivier.fr/;https://www.facebook.com/immolivier;;;;;;
L'immobilière du Pont;9 bis route de Rosières;54290;Velle-sur-Moselle;03 83 26 67 68;;http://www.immodupont.fr/;;;;;;;
La Vaux Immobilier;86 rue Carnot;54550;MAIZIERES;03 83 52 00 00;;http://www.lavauximmobilier.com/;;;;;;;
La Vaux Immobilier;8, rue Louis et Félix MOREAU;54330;VEZELISE;03 83 26 00 01;;http://www.lavauximmobilier.com/;;;;;;;
La Vaux Immobilier;9/11, square de Lorraine;54740;HAROUÉ;03 83 52 44 44;;http://www.lavauximmobilier.com/;;;;;;;
La Vaux Immobilier;1, rue de Nancy;54930;DIARVILLE;03 83 25 00 00;;http://www.lavauximmobilier.com/;;;;;;;
Maudoux Immobilier;15 rue Philippe de Gueldre;54530;Pont à Mousson;03 83 82 93 80;;http://www.maudoux-immo.com/;https://www.facebook.com/AgenceMaudouxImmo;;;;;;
my home;335 Rue Saint Mansuy;54200;TOUL;0372125000;;http://www.myhome-france.com/;;;;;;;
objectifimmo;10 rue des capucines;54760;LANFROICOURT;;;http://www.objectifimmo.fr/;;;;;;;
Perlimmo;30 rue de Mareville;54520;Laxou;0383903979;;http://www.perlimmo.com/;https://www.facebook.com/pages/PERLIMMO-Agence-Immobili%C3%A8re-Nancy/217085531642779;;;;;;
PIERRE DUBOIS IMMOBILIER;41 Rue du General Patton;54410;LANEUVEVILLE DEVANT NANCY;03.54.00.68.30;;http://www.pierredubois-immo.com/;;;;;;;
Sagimmo;8 Avenue du Luxembourg;54810;Longlaville;03 82 25 73 61;;http://www.sagimmo.com/;;;;;;;
STATION IMMO;18, rue Labro;54400;LONGWY;03.82.44.44.44;;http://www.stationimmo.fr/;;;;;;;
STATION IMMO;Zac La Croisette;54970;LANDRES;03 82 44 44 44;;http://www.stationimmo.fr/;;;;;;;
Versus Immobilier;Ccial Intermarché;54710;Ludres;"03.59.59.03.04
RSS :";;http://www.versus-immobilier.com/;;;;;;;
WAGNER IMMOBILIER;6, rue de Mirecourt;54630;Flavigny;03 83 50 30 36;;http://www.wagnerimmo.com/;;;;;;;
Wagner Immobilier;98, rue de la Libération;54450;BENAMENIL;03 83 71 10 63;;http://www.wagnerimmo.com/;;;;;;;
La Vaux Immobilier;8, rue Louis et Félix MOREAU;54330;VEZELISE;03 83 26 00 01;;http://www.lavauximmobilier.com/;;;;;;;
La Vaux Immobilier;9/11, square de Lorraine;54740;HAROUÉ;03 83 52 44 44;;http://www.lavauximmobilier.com/;;;;;;;
La Vaux Immobilier;1, rue de Nancy;54930;DIARVILLE;03 83 25 00 00;;http://www.lavauximmobilier.com/;;;;;;;
Maudoux Immobilier;15 rue Philippe de Gueldre;54530;Pont à Mousson;03 83 82 93 80;;http://www.maudoux-immo.com/;https://www.facebook.com/AgenceMaudouxImmo;;;;;;
my home;335 Rue Saint Mansuy;54200;TOUL;0372125000;;http://www.myhome-france.com/;;;;;;;
objectifimmo;10 rue des capucines;54760;LANFROICOURT;;;http://www.objectifimmo.fr/;;;;;;;
Perlimmo;30 rue de Mareville;54520;Laxou;0383903979;;http://www.perlimmo.com/;https://www.facebook.com/pages/PERLIMMO-Agence-Immobili%C3%A8re-Nancy/217085531642779;;;;;;
PIERRE DUBOIS IMMOBILIER;41 Rue du General Patton;54410;LANEUVEVILLE DEVANT NANCY;03.54.00.68.30;;http://www.pierredubois-immo.com/;;;;;;;
Sagimmo;8 Avenue du Luxembourg;54810;Longlaville;03 82 25 73 61;;http://www.sagimmo.com/;;;;;;;
STATION IMMO;18, rue Labro;54400;LONGWY;03.82.44.44.44;;http://www.stationimmo.fr/;;;;;;;
STATION IMMO;Zac La Croisette;54970;LANDRES;03 82 44 44 44;;http://www.stationimmo.fr/;;;;;;;
Versus Immobilier;Ccial Intermarché;54710;Ludres;"03.59.59.03.04
RSS :";;http://www.versus-immobilier.com/;;;;;;;
WAGNER IMMOBILIER;6, rue de Mirecourt;54630;Flavigny;03 83 50 30 36;;http://www.wagnerimmo.com/;;;;;;;
Wagner Immobilier;98, rue de la Libération;54450;BENAMENIL;03 83 71 10 63;;http://www.wagnerimmo.com/;;;;;;;
