company_name;company_address;company_postalcode;company_city;company_phone;company_email;company_website;company_facebook;contact_firstname;contact_lastname;contact_email;contact_phone;contact_position;contact_linkedin
Agence touchot;18 avenue du Général de Gaulle;55100;Verdun;03 29 86 63 12;;http://touchot.immobilier.monsite-orange.fr/;;;;;;;
Avantage Immobilier 55;1 Rue De Verdun;55000;BAR LE DUC;;;http://www.avantageimmobilier55.com/;;;;;;;
Cabinet Cappelaere & Prunaux;20, Place Saint Pierre;55000;BAR LE DUC;03 29 79 52 15;;http://www.cappelaere-prunaux.fr/;;;;;;;
DS immobilier;36, rue André Theuriet;55000;Bar Le Duc;"03.29.78.67.86
RSS :";;http://www.dsimmobilier.fr/;;;;;;;
Friedrich Immobilier;19 rue des Ducs de Bar;55000;BAR LE DUC;03 29 90 71 00;;http://www.friedrich-immobilier.com/;;;;;;;
Immo des Arcades;61, place de la république;55700;STENAY;03 29 80 76 76;;http://www.immodesarcades.fr/;;;;;;;
JDV Gestion;Carrefour de la Libération;55200;Commercy;03 29 91 56 41;;http://www.agence-immobiliere-gestion.fr/;https://www.facebook.com/jdvgestion/;;;;;;
L'immobilière Stainoise;12 Avenue Prud Homme Havette;55400;ETAIN;03 29 83 59 65;;http://www.immobiliere-stainoise.com/;;;;;;;
L'immobilière Verdunoise;16 Place Chevert;55100;Verdun;03.29.83.59.65;;http://www.immobiliere-verdunoise.com/;;;;;;;
LIBERTY HOME;22 Rue Jeanne d'Arc;55140;Vaucouleurs;03 29 89 23 23;;http://www.libertyhome.fr/;https://www.facebook.com/LibertyHome;;;;;;
Mathias Immobilier;6 pl. Marché Couvert;55100;Verdun;03 29 86 18 62;;http://www.mathias-immobilier.fr/;;;;;;;
Paffoni;2 avenue de la 42ème Division;55100;Verdun;03 29 86 76 77;;http://www.paffoni-immo.com/;;;;;;;
Seb Immobilier;2, route des Plantes;55500;Ligny en Barrois;;;http://www.sebimmobilier.fr/;;;;;;;
