company_name;company_address;company_postalcode;company_city;company_phone;company_email;company_website;company_facebook;contact_firstname;contact_lastname;contact_email;contact_phone;contact_position;contact_linkedin
Nestenn Hagondange;152 rue de Metz;57300;Hagondange;03 87 73 32 13;;https://immobilier-hagondange.nestenn.com/;;;;;;;
Nestenn Saint-Avold;17 rue de la Piscine;57500;Saint-Avold;03 87 00 10 10;;https://immobilier-saintavold.nestenn.com/;;;;;;;
ACTIVE-IMMO;7, rue Saint-Martin;57710;AUMETZ;03 82 84 01 37;;http://www.active-immo.fr/;;;;;;;
Agence immobilière MB;39, rue Eugène Kloster;57800;FREYMING-MERLEBACH;03.87.91.55.13;;http://www.mbi57.com/;;;;;;;
Agence Saint-Louis;64, Rue Pont à Mousson;57950;Montigny-lès-Metz;03 87 18 42 69;;http://www.agence-stlouis.fr/;;;;;;;
ALC;22A, Avenue des Nations;57970;YUTZ;03 82 86 66 56;;http://www.alcimmo.com/;;;;;;;
Atheo Immobilier;26 Rue Marquis de Chamborand;57200;Sarreguemines;;;http://www.atheo-immobilier.fr/;https://www.facebook.com/pages/Ath%C3%A9o-Immobilier-Sarreguemines/1705235326371829;;;;;;
AUBERTIN-IMMO;Chateau de Remelange;57290;FAMECK;;;http://www.aubertin-immo.com/;;;;;;;
Avenue de l'Immobilier;8 rue Anatole France;57300;Hagondange;03 87 15 18 18;;http://www.avenuedelimmobilier.com/;;;;;;;
Biggest;6 rue des Alouettes - ZAC de Jailly;57535;MARANGE-SILVANGE;03 87 51 55 93;;http://www.biggest-immobilier.fr/;;;;;;;
Cabinet Benedic;7 rue Joffre;57700;HAYANGE;"03.82.57.57.57
RSS :";;http://www.benedicsa.com/;;;;;;;
Cabinet Benedic;183 rue de la fonderie;57390;AUDUN LE TICHE;03.82.50.05.00;;http://www.benedicsa.com/;;;;;;;
Cabinet Benedic;93 rue de Pont-a-Mousson;57950;MONTIGNY-LES-METZ;03.87.50.22.22;;http://www.benedicsa.com/;;;;;;;
CENTURY 21 Agence des Coteaux;7 rue du Général de Gaulle;57050;LE BAN ST MARTIN;03 87 33 14 70;;http://www.century21agencedescoteaux.com/;https://www.facebook.com/pages/CENTURY-21-Agence-des-Coteaux-au-Ban-Saint-Martin/108369592529122;;;;;;
CENTURY 21 Agence du Plateau;Route de Briey;57255;STE MARIE AUX CHENES;03 87 60 20 21;;http://www.century21-adp-57.com/;https://www.facebook.com/pages/CENTURY-21-Agence-du-Plateau-%C3%A0-Sainte-Marie-aux-Ch%C3%AAnes/224164614269226;;;;;;
CENTURY 21 Côté Est Immobilier;93 rue François Simon;57070;ST JULIEN LES METZ;03 87 17 20 15;;http://www.century21coteest-immobilier.com/;https://www.facebook.com/pages/CENTURY-21-C%C3%B4t%C3%A9-Est-Immobilier/105281782835742;;;;;;
CENTURY 21 Rond Point de l'Europe;38 B rue du Général Mangin;57500;ST AVOLD;03 87 00 00 21;;http://www.century21rondpointdeleurope.com/;https://www.facebook.com/pages/CENTURY-21-Rond-Point-de-lEurope-%C3%A0-Saint-Avold/111199045580343;;;;;;
CHATRIAN immobilier;15 rue Maréchal Foch;57370;PHALSBOURG;03 87 07 81 80;;http://www.chatrian-immobilier.com/;;;;;;;
Concept Immobilier;38 avenue de Lorraine;57190;FLORANGE;03 82 58 93 93;;http://www.conceptimmobilier.fr/;https://www.facebook.com/pages/Concept-Immobilier/246270478779608;;;;;;
DOR IMMOBILIER;62 rue des Cévennes;57690;Créhange;03 87 00 44 15;;http://www.dorimmobilier.com/;;;;;;;
DOR IMMOBILIER;10 rue de la houve;57150;Creutzwald;03 87 93 41 41;;http://www.dorimmobilier.com/;;;;;;;
DOR IMMOBILIER;14 place de la Republique;57340;Morhange;;;http://www.dorimmobilier.com/;;;;;;;
Dumur Immobilier;Rue Wangari Maathai Ecoparc le Meltem;57140;NORROY LE VENEUR;03 87 75 21 21;;http://www.dumur.fr/;;;;;;;
ERA Lorraine Immobilier;;;;;;http://www.era-immobilier-lorraine.fr/;;;;;;;
Exel Immobilier;27, rue des américains;57500;Saint-Avold;03.87.91.05.06;;http://www.exelimmo.fr/;;;;;;;
Florange Immobilier;146 Grand Rue;57190;FLORANGE;03.82.88.76.50;;http://www.florangeimmo.com/;;;;;;;
Guy Hoquet Saint-Avold;65 AVENUE PATTON;57500;Saint-Avold;03 87 00 19 03;;http://www.guyhoquet-immobilier-saint-avold.com/;https://www.facebook.com/pages/Guy-Hoquet-lImmobilier-Saint-Avold/304334636320839;;;;;;
Guyot Immobilier;1 Place du Marché;57480;SIERCK LES BAINS;03 82 83 85 58;;http://www.guyot-immobilier.com/;;;;;;;
Habiter;24, avenue Robert Schuman;57000;Metz;03 87 18 37 20;;http://www.habiter.fr/;;;;;;;
IMMOBILIERE DE LA VALLEE DE LA BIEVRE;12 rue de la Vallée;57870;TROISFONTAINES;03 87 03 89 85;;http://www.immo-bievre.com/;;;;;;;
Jacques Laveine Immobilier;29 rue des Écoles;57155;MARLY;03 87 57 50 50;;http://www.laveine-immobilier.com/;;;;;;;
L'immobilière du Casino;12 rue de cité;57200;Sarreguemines;03 87 95 79 74;;http://www.immoducasinosarreguemines.com/;https://www.facebook.com/pages/Limmobili%C3%A8re-du-Casino/406518759727694;;;;;;
L'immobilière Heytienne;6, chemin derrière le couchant;57130;SAINTE RUFFINE;0387602895;;http://www.immoheytienne.fr/;;;;;;;
Laforêt Lorraine;;;;;;http://www.laforet-immobilier-lorraine.com/;;;;;;;
LCC IMMOBILIER;1 rue des cloutiers;57690;BAMBIDERSTROFF;03 87 94 59 49;;http://www.lccimmobilier.fr/;;;;;;;
LENOIR Immobilier;6 rue de Metz;57650;FONTOY;09 81 35 65 03;;http://www.lenoir-immobilier.fr/;;;;;;;
Lexim;33 rue de la Gare;57300;Hagondange;03 87 71 83 83;;http://www.lexim.fr/;;;;;;;
Locatransac;22 A, rue de la Marne;57250;Moyeuvre-Grande;03 87 40 55 55;;http://www.locatransac.com/;;;;;;;
LS Immobilier;58 r Nationale;57190;FLORANGE;03 82 59 03 03;;http://www.ls-immobilier.fr/;;;;;;;
Norman Parker;26 Esplanade Brasserie;57970;YUTZ;03 82 56 38 15;;http://www.normanparker57.com/;;;;;;;
OPEN IMMOBILIER;30, rue du Général de Gaulle;57330;HETTANGE-GRANDE;03 82 54 74 50;;http://www.open57.fr/;;;;;;;
Regard immobilier;12, rue des Alliés;57410;ROHRBACH-LES-BITCHE;03.87.26.34.43;;http://www.regard-immo.com/;https://www.facebook.com/RegardImmo;;;;;;
Saint Raphael;80B RUE DE METZ;57525;Talange;03 87 72 12 12;;http://www.saint-raph.fr/;;;;;;;
Sarreguemines Immobilier;12 rue la chapelle;57200;Sarreguemines;03 87 28 07 19;;http://immobilier-sarreguemines.fr/;;;;;;;
SCATA Immobilier;92, rue Clémenceau;57440;Algrange;03 82 85 06 06;;http://www.scata-immobilier.com/;;;;;;;
Sermaco Immobilier;13, place du marché;57200;SARREGUEMINES;03 87 98 60 64;;http://www.sermacoimmobilier.com/;;;;;;;
SHERLOCK HOME;2 bv Henri Becquerel;57970;YUTZ THIONVILLE;"03 82 82 58 99
Twitter : Youtube :";;http://www.sherlockhome.fr/;;;;;;;
Trimco-cbre;7 Rue De Pont-à-mousson;57950;Montigny-les-metz;03.87.65.00.00;;http://www.trimco-immo.com/;;;;;;;
VENNER IMMOBILIER;15, Pl du Gal. de Gaulle;57580;Rémilly;03 87 63 60 09;;http://www.agencevenner.fr/;;;;;;;
DOR IMMOBILIER;10 rue de la houve;57150;Creutzwald;03 87 93 41 41;;http://www.dorimmobilier.com/;;;;;;;
DOR IMMOBILIER;14 place de la Republique;57340;Morhange;;;http://www.dorimmobilier.com/;;;;;;;
Dumur Immobilier;Rue Wangari Maathai Ecoparc le Meltem;57140;NORROY LE VENEUR;03 87 75 21 21;;http://www.dumur.fr/;;;;;;;
ERA Lorraine Immobilier;;;;;;http://www.era-immobilier-lorraine.fr/;;;;;;;
Exel Immobilier;27, rue des américains;57500;Saint-Avold;03.87.91.05.06;;http://www.exelimmo.fr/;;;;;;;
Florange Immobilier;146 Grand Rue;57190;FLORANGE;03.82.88.76.50;;http://www.florangeimmo.com/;;;;;;;
Guy Hoquet Saint-Avold;65 AVENUE PATTON;57500;Saint-Avold;03 87 00 19 03;;http://www.guyhoquet-immobilier-saint-avold.com/;https://www.facebook.com/pages/Guy-Hoquet-lImmobilier-Saint-Avold/304334636320839;;;;;;
Guyot Immobilier;1 Place du Marché;57480;SIERCK LES BAINS;03 82 83 85 58;;http://www.guyot-immobilier.com/;;;;;;;
Habiter;24, avenue Robert Schuman;57000;Metz;03 87 18 37 20;;http://www.habiter.fr/;;;;;;;
IMMOBILIERE DE LA VALLEE DE LA BIEVRE;12 rue de la Vallée;57870;TROISFONTAINES;03 87 03 89 85;;http://www.immo-bievre.com/;;;;;;;
Jacques Laveine Immobilier;29 rue des Écoles;57155;MARLY;03 87 57 50 50;;http://www.laveine-immobilier.com/;;;;;;;
L'immobilière du Casino;12 rue de cité;57200;Sarreguemines;03 87 95 79 74;;http://www.immoducasinosarreguemines.com/;https://www.facebook.com/pages/Limmobili%C3%A8re-du-Casino/406518759727694;;;;;;
L'immobilière Heytienne;6, chemin derrière le couchant;57130;SAINTE RUFFINE;0387602895;;http://www.immoheytienne.fr/;;;;;;;
Laforêt Lorraine;;;;;;http://www.laforet-immobilier-lorraine.com/;;;;;;;
LCC IMMOBILIER;1 rue des cloutiers;57690;BAMBIDERSTROFF;03 87 94 59 49;;http://www.lccimmobilier.fr/;;;;;;;
LENOIR Immobilier;6 rue de Metz;57650;FONTOY;09 81 35 65 03;;http://www.lenoir-immobilier.fr/;;;;;;;
Lexim;33 rue de la Gare;57300;Hagondange;03 87 71 83 83;;http://www.lexim.fr/;;;;;;;
Locatransac;22 A, rue de la Marne;57250;Moyeuvre-Grande;03 87 40 55 55;;http://www.locatransac.com/;;;;;;;
LS Immobilier;58 r Nationale;57190;FLORANGE;03 82 59 03 03;;http://www.ls-immobilier.fr/;;;;;;;
Norman Parker;26 Esplanade Brasserie;57970;YUTZ;03 82 56 38 15;;http://www.normanparker57.com/;;;;;;;
