company_name;company_address;company_postalcode;company_city;company_phone;company_email;company_website;company_facebook;contact_firstname;contact_lastname;contact_email;contact_phone;contact_position;contact_linkedin
Actimmo 58;1 avenue du General de Gaulle;58000;Nevers;03 86 57 00 79;;http://www.actimmo58.fr/;;;;;;;
actimmo58 Bouziat Immobilier;70 Grande Rue;58000;PREMERY;03 86 37 97 45;;http://www.actimmo58.fr/;;;;;;;
Agence Bourgogne Immobilière;rue Claude Tillier;58420;GRENOIS;03 86 29 06 27;;http://www.abimmobiliere.com/;;;;;;;
Agence Immobilière Videau;19, rue de Rémigny;58000;NEVERS;03 86 59 77 66;;http://www.agence-videau.com/;;;;;;;
Agences Mahaut Mathey;15 bis, rue Maréchal Leclerc;58202;COSNE SUR LOIRE;03 86 28 22 95;;http://www.mahaut-mathey.com/;;;;;;;
Agences Mahaut Mathey;18, rue du pont;58400;LA CHARITE SUR LOIRE;03 86 70 11 45;;http://www.mahaut-mathey.com/;;;;;;;
Alliance Immobilier Service;47, Rue Préfecture;58000;Nevers;03 86 57 33 41;;http://www.allianceimmobilierservice.com/;;;;;;;
Axe Immobilier;15 bd Maréchal Juin;58000;NEVERS;03.86.61.31.31;;http://www.axe-immobilier.fr/;;;;;;;
CABINET BEUGNOT;19 AVENUE PIERRE BEREGOVOY;58000;NEVERS;03 86 61 92 11;;http://www.fnaim-beugnot.com/;;;;;;;
Cabinet Hulot Immobilier;7, place de l'Hôtel de Ville;58800;Corbigny;03.86.20.02.92;;https://www.hulot-immobilier.com/;https://www.facebook.com/Cabinet-HULOT-Immobilier-254339041390704/;;;;;;
CENTURY 21 Agence Ducreux;12 rue du Maréchal Leclerc;58200;COSNE COURS SUR LOIRE;03 86 28 85 60;;http://www.century21ducreux.com/;https://www.facebook.com/pages/CENTURY-21-Ducreux-%C3%A0-Cosne-Cours-sur-Loire/112879348743252;;;;;;
CENTURY 21 Agence Ducreux;2 rue Marié Davy;58500;CLAMECY;03 86 27 54 40;;http://www.century21agenceducreux.com/;https://www.facebook.com/century21.agence.ducreux.clamecy;;;;;;
Decize Immobilier;47, rue de la République;58300;DECIZE;03 86 77 37 00;;http://www.decizeimmo.com/;;;;;;;
GBImmobilier;26 avenue Pierre Beregovoy;58000;Nevers;03 86 61 14 15;;http://www.gbimmobilier.net/;;;;;;;
Hexagone Immobilier;RN 7;58450;NEUVY-SUR-LOIRE;03 86 39 22 22;;http://www.agence-hexagone.com/;;;;;;;
Immobilière du Château;3 Rue Henri Renaud;58360;Saint Honoré les Bains;03 86 30 74 21;;http://www.immo-chateau.fr/;;;;;;;
Immobilier Depardieu;95 rue Camille Barrère;58400;La Charité sur Loire;03 86 70 29 64;;http://www.immobilier-depardieu.fr/;;;;;;;
Immobilier Saint-Jean;24, avenue Saint-Jean;58000;Corbigny;03.86.20.14.93;;https://www.immobilier-saint-jean.com/;;;;;;;
L'ADRESSE Cosne;22 rue du commerce;58200;COSNE SUR LOIRE;03.86.28.59.22;;http://www.ladresse-cosne-sur-loire.com/;;;;;;;
L'ADRESSE FOURCHAMBAULT;51 rue Gambetta;58600;FOURCHAMBAULT;03.86.90.29.02;;http://www.ladresse-fourchambault.com/;;;;;;;
L'adresse Nevers;27 Bis Avenue du Général De Gaulle;58000;NEVERS;03.86.21.54.27;;http://www.ladresse-nevers.com/;;;;;;;
Mary Immobilier;30 route de Cosne;58310;SAINT AMAND EN PUISAYE;03 86 39 61 08;;http://www.maryimmobilier.fr/;;;;;;;
Mary Immobilier;42 bis, rue du Général Leclerc;58220;Donzy;03.86.22.54.73;;http://www.maryimmobilier.fr/;;;;;;;
Morvan Immobilier;41 rue Paul Barreau;58140;Lormes;03-86-22-85-18;;http://www.morvan-immobilier.com/;;;;;;;
Morvan Patrimoine;5, rue Jean-Marie Thévenin;58120;CHATEAU CHINON;03.86.85.12.12;;http://www.morvan-patrimoine.com/;;;;;;;
Morvan Patrimoine;27 bis, rue du Commerce;58330;SAINT SAULGE;03.86.68.03.87;;http://www.morvan-patrimoine.com/;;;;;;;
ORDIM GESTION ET TRANSACTION;33 BOULEVARD DE LA REPUBLIQUE;58200;Cosne cours sur loire;03 86 26 60 00;;http://www.ordim-immo.com/;;;;;;;
Propos Immobiliers;7, rue de la République;58300;Decize;03 58 06 04 14;;http://www.proposimmobiliers.com/;;;;;;;
Segall Transactions;7 bis rue St Didier;58000;Nevers;03 86 57 13 71;;http://www.segall-nevers.com/;;;;;;;
Transaxia;41, rue St Jacques;58200;Cosne sur Loire;03.86.28.91.11;;http://www.transaxia-cosne-sur-loire.fr/;;;;;;;
Transaxia;1 quai Foch;58400;La Charité sur Loire;03 86 69 64 84;;http://www.transaxia-la-charite.fr/;;;;;;;
Transaxia;75, rue Waldeck Rousseau;58150;Pouilly sur Loire;03 86 39 09 70;;http://www.transaxia-pouilly-sur-loire.fr/;;;;;;;
Transaxia;30 rue Edouard Vaillant;58160;Imphy;03.10.00.00.30;;http://www.transaxia-imphy.fr/;;;;;;;
Transaxia;1 rue Notre Dame;58220;Donzy;03 86 39 15 82;;http://www.transaxia-donzy.fr/;;;;;;;
Transaxia;2, rue des ponts de Nevers;58700;PREMERY;02 14 00 06 38;;http://www.transaxia-premery.fr/;;;;;;;
Transaxia;4 route de Cosne;58310;Saint Amand en Puisaye;03.10.00.00.23;;http://www.transaxia-saint-amand-en-puisaye.fr/;;;;;;;
VIP Bourgogne Immobilier;6 Avenue de la Charité;58210;Varzy;03 86 29 29 10;;http://www.vip-bourgogne-immobilier.com/;;;;;;;
L'adresse Nevers;27 Bis Avenue du Général De Gaulle;58000;NEVERS;03.86.21.54.27;;http://www.ladresse-nevers.com/;;;;;;;
Mary Immobilier;30 route de Cosne;58310;SAINT AMAND EN PUISAYE;03 86 39 61 08;;http://www.maryimmobilier.fr/;;;;;;;
Mary Immobilier;42 bis, rue du Général Leclerc;58220;Donzy;03.86.22.54.73;;http://www.maryimmobilier.fr/;;;;;;;
Morvan Immobilier;41 rue Paul Barreau;58140;Lormes;03-86-22-85-18;;http://www.morvan-immobilier.com/;;;;;;;
Morvan Patrimoine;5, rue Jean-Marie Thévenin;58120;CHATEAU CHINON;03.86.85.12.12;;http://www.morvan-patrimoine.com/;;;;;;;
Morvan Patrimoine;27 bis, rue du Commerce;58330;SAINT SAULGE;03.86.68.03.87;;http://www.morvan-patrimoine.com/;;;;;;;
ORDIM GESTION ET TRANSACTION;33 BOULEVARD DE LA REPUBLIQUE;58200;Cosne cours sur loire;03 86 26 60 00;;http://www.ordim-immo.com/;;;;;;;
Propos Immobiliers;7, rue de la République;58300;Decize;03 58 06 04 14;;http://www.proposimmobiliers.com/;;;;;;;
Segall Transactions;7 bis rue St Didier;58000;Nevers;03 86 57 13 71;;http://www.segall-nevers.com/;;;;;;;
Transaxia;41, rue St Jacques;58200;Cosne sur Loire;03.86.28.91.11;;http://www.transaxia-cosne-sur-loire.fr/;;;;;;;
Transaxia;1 quai Foch;58400;La Charité sur Loire;03 86 69 64 84;;http://www.transaxia-la-charite.fr/;;;;;;;
Transaxia;75, rue Waldeck Rousseau;58150;Pouilly sur Loire;03 86 39 09 70;;http://www.transaxia-pouilly-sur-loire.fr/;;;;;;;
Transaxia;30 rue Edouard Vaillant;58160;Imphy;03.10.00.00.30;;http://www.transaxia-imphy.fr/;;;;;;;
Transaxia;1 rue Notre Dame;58220;Donzy;03 86 39 15 82;;http://www.transaxia-donzy.fr/;;;;;;;
Transaxia;2, rue des ponts de Nevers;58700;PREMERY;02 14 00 06 38;;http://www.transaxia-premery.fr/;;;;;;;
Transaxia;4 route de Cosne;58310;Saint Amand en Puisaye;03.10.00.00.23;;http://www.transaxia-saint-amand-en-puisaye.fr/;;;;;;;
VIP Bourgogne Immobilier;6 Avenue de la Charité;58210;Varzy;03 86 29 29 10;;http://www.vip-bourgogne-immobilier.com/;;;;;;;
