company_name;company_address;company_postalcode;company_city;company_phone;company_email;company_website;company_facebook;contact_firstname;contact_lastname;contact_email;contact_phone;contact_position;contact_linkedin
Nestenn Lomme;52 ter avenue de la république;59160;Lille;03 20 09 56 30;;https://immobilier-lomme.nestenn.com/;;;;;;;
3D Immo;6 place du Général Leclerc;59362;AVESNES-SUR-HELPE;03 27 61 02 60;;http://www.3dimmo.fr/;;;;;;;
Abrimmo ARMENTIERES;26, Avenue du Président François Mitterrand;59280;ARMENTIERES;03 20 07 55 55;;http://www.abrimmo.fr/agence-immobiliere-armentieres.php;;;;;;;
Abrimmo Faches Thumesnil;32 bis rue Edouard Vaillant;59155;FACHES THUMESNIL;03 20 10 57 57;;http://www.abrimmo.fr/agence-immobiliere-faches-thumesnil.php;;;;;;;
Abrimmo Halluin;87 rue de Lille;59250;HALLUIN;03 20 23 24 25;;http://www.abrimmo.fr/agence-immobiliere-halluin.php;;;;;;;
Abrimmo Haubourdin;67, rue Sadi Carnot;59320;HAUBOURDIN;03 20 44 00 01;;http://www.abrimmo.fr/agence-immobiliere-haubourdin.php;;;;;;;
Abrimmo La Bassee;7, Rue d’Estaires;59480;LA BASSEE;03 20 62 00 00;;http://www.abrimmo.fr/agence-immobiliere-la-bassee.php;;;;;;;
Abrimmo Lambersart;109, rue du Bourg;59130;LAMBERSART;03 20 93 00 00;;http://www.abrimmo.fr/agence-immobiliere-lambersart.php;;;;;;;
Abrimmo Saint Amand Les Eaux;4 rue d'Orchies;59230;SAINT AMAND LES EAUX;03 27 24 00 00;;http://www.abrimmo.fr/agence-immobiliere-saint-amand-les-eaux.php;;;;;;;
Abrimmo Seclin;3 Boulevard Joseph Hentgès;59113;SECLIN;03 20 97 00 00;;http://www.abrimmo.fr/agence-immobiliere-seclin.php;;;;;;;
Abrimmo Valenciennes;31 rue du Quesnoy;59300;VALENCIENNES;03 27 27 52 52;;http://www.abrimmo.fr/agence-immobiliere-valenciennes.php;;;;;;;
Abrimmo Wattrelos;8 place Jean Delvainquière;59150;WATTRELOS;03 20 65 20 65;;http://www.abrimmo.fr/agence-immobiliere-wattrelos.php;;;;;;;
Abrimmo Wavrin;6, rue du Maréchal Foch;59136;WAVRIN;03 20 16 15 15;;http://www.abrimmo.fr/agence-immobiliere-wavrin.php;;;;;;;
Abrinor Debeunne;1 Rue Pierre Ogée;59112;ANNOEULLIN;03 20 97 07 07;;http://www.abrinor-debeunne.fr/;;;;;;;
Abrinor Debeunne;4 Rue de Lille;59280;ARMENTIERES;03 20 10 91 10;;http://www.abrinor-debeunne.fr/;;;;;;;
Abrinor Debeunne;33 Place de la République;59170;CROIX;03 20 72 18 18;;http://www.abrinor-debeunne.fr/;;;;;;;
Abrinor Debeunne;91 Place de la République;59830;CYSOING;03 20 05 72 42;;http://www.abrinor-debeunne.fr/;;;;;;;
Abrinor Debeunne;403 Avenue du Général Leclerc;59155;FACHES THUMESNIL;03 20 95 42 42;;http://www.abrinor-debeunne.fr/;;;;;;;
Abrinor Debeunne;10 Place de la République;59126;LINSELLES;03 20 70 23 23;;http://www.abrinor-debeunne.fr/;;;;;;;
Abrinor Debeunne;874 Avenue de Dunkerque;59160;LOMME;03 20 93 22 22;;http://www.abrinor-debeunne.fr/;;;;;;;
Abrinor Debeunne;4 Rue Georges Potié;59120;LOOS;03 20 44 17 17;;http://www.abrinor-debeunne.fr/;;;;;;;
Abrinor Debeunne;3 Avenue Foch;59700;MARCQ EN BAROEUL;03.20.98.13.21;;http://www.abrinor-debeunne.fr/;;;;;;;
Abrinor Debeunne;14 Rue de l'Eglise;59310;ORCHIES;03 20 84 75 75;;http://www.abrinor-debeunne.fr/;;;;;;;
Abrinor Debeunne;2 Rue du Général de Gaulle;59139;WATTIGNIES;03 20 16 07 07;;http://www.abrinor-debeunne.fr/;;;;;;;
Abrinor Debeunne;45 Rue Carnot;59150;WATTRELOS;03 20 75 57 00;;http://www.abrinor-debeunne.fr/;;;;;;;
ACTA IMMOBILIER;41 rue de la Tour de Bourgogne;59500;DOUAI;03 27 99 32 32;;http://www.actaimmobilier.fr/;;;;;;;
ACTIMM immobilier;13, rue Henri Lemaire;59300;Valenciennes;03 27 09 09 00;;http://www.actimm-immo.com/;;;;;;;
Action Immobilier;57, rue du Général de Gaulle;59370;Mons en Baroeul;03 20 47 17 17;;https://www.action.immo/;https://www.facebook.com/pages/ACTION-immobilier/207502355972519;;;;;;
Agence de la Forêt;33 RUE RENÉ D'HESPEL;59910;Bondues;0320232083;;http://www.agforet.fr/;;;;;;;
Agence des dunes;453 bd Georges Pompidou;59123;BRAY DUNES;;;http://www.agencedesdunes.com/;;;;;;;
Agence Hainaut Habitat;41 place Pierre Delcourt;59163;CONDES SUR L'ESCAUT;0327432501;;http://www.hainauthabitat.fr/;;;;;;;
Agence Immocash;425, rue Arthur Brunet;59220;Denain;0750941087;;http://www.agence-immocash.com/;https://www.facebook.com/agenceimmocash/;;;;;;
Agence Leers Transactions;34 rue des Patriotes;59115;LEERS;03 20 73 31 96;;http://www.agence-leers.com/;;;;;;;
agence Soyez;43 Avenue Sénateur Girard;59300;Valenciennes;03.27.46.19.11.;;http://www.agencesoyez.fr/;;;;;;;
Annoeullimmo;5, rue du docteur Falala;59112;ANNOEULLIN;03.20.44.10.33;;http://www.annoeullimmo.fr/;;;;;;;
Apolite Immobilier;188 avenue de la République;59110;La Madeleine;03 20 06 13 13;;http://www.apolite.fr/;https://www.facebook.com/pages/Apolite-Immobilier-La-Madeleine/304759752951449;;;;;;
Aro;270 avenue de la république;59110;LA MADELEINE;03 20 63 23 22;;http://www.aro-immo.fr/;;;;;;;
Arthur Loyd Lille;Parc du pont Royal - Bât. A - 251 Avenue du Bois;59130;LAMBERSART;03.20.30.38.38;;http://www.arthurloydlille.com/;;;;;;;
AVI : Agence Immobiliere Valenciennes;60 Rue Saint Gery;59300;Valenciennes;03 27 31 38 50;;http://www.a-v-i.fr/;;;;;;;
AWI Agence Willame Immobilier;24, rue du Maréchal Leclerc;59540;CAUDRY;03 27 85 25 25;;http://www.awi59.com/;;;;;;;
Aymeric Descatoire Immobilier;500 rue du Bac;59193;ERQUINGHEM-LYS;03 20 48 22 33;;http://www.descatoire-erquinghemlys.com/;;;;;;;
b&r immobilier;2 rue des Patriotes;59115;LEERS;03 20 65 16 20;;http://www.br-immobilier.fr/;;;;;;;
BAILLEUL IMMO;193 avenue Foch;59120;LOOS;03 20 60 64 60;;http://www.bailleulimmo.com/;;;;;;;
Bmimmo-nord;212 rue de lille;59250;HALLUIN;03.20.54.30.24;;http://www.bmimmo-nord.com/;;;;;;;
Bocquet immobilier;13 rue Alexandre Ribot;59790;Ronchin;03.20.57.59.15;;http://www.bocquet-immobilier.com/;;;;;;;
Bollengier Immobilier;6 Grand Place;59670;CASSEL;03 28 42 45 90;;http://www.bollengierimmo.com/;;;;;;;
Bollengier Immobilier;1 rue de Lille;59270;BAILLEUL;03 28 42 06 06;;http://www.bollengierimmo.com/;;;;;;;
Bollengier Immobilier;3 rue Warein;59190;HAZEBROUCK;03 28 42.22.22;;http://www.bollengierimmo.com/;;;;;;;
Bondues Immobilier;1, rue du Bosquiel;59910;Bondues;03 20 23 21 21;;http://www.bonduesimmobilier.fr/;;;;;;;
Boudry Immo;18 Place du Général de Gaulle;59166;Bousbecque;0320461603;;http://www.boudryimmo.com/;;;;;;;
Boulevard de l'Immobilier;174 rue de Lille;59420;Mouvaux;03.20.68.35.00;;http://www.bd-immo.fr/;;;;;;;
Bruyère Immobilier;27,29 Rue Saint Louis;59610;Fourmies;03 27 57 20 20;;http://www.bruyere-immobilier.com/;https://www.facebook.com/pages/BRUYERE-IMMOBILIER-LOCATION/260896540593465;;;;;;
Bruyère Immobilier;9/11 rue Léon Pasqual;59440;Avesnes sur Helpe;03 27 56 30 30;;http://www.bruyere-immobilier.com/;https://www.facebook.com/pages/BRUYERE-IMMOBILIER-LOCATION/260896540593465;;;;;;
Bruyère Immobilier;4, Avenue F. Roosevelt;59600;Maubeuge;03 27 65 62 35;;http://www.bruyere-immobilier.com/;https://www.facebook.com/pages/BRUYERE-IMMOBILIER-LOCATION/260896540593465;;;;;;
Bruyère Immobilier;62 rue J. Jaurès;59620;Aulnoye Aymeries;03 27 68 30 71;;http://www.bruyere-immobilier.com/;https://www.facebook.com/pages/BRUYERE-IMMOBILIER-LOCATION/260896540593465;;;;;;
Bruyère Immobilier;1, Place de la Libération;59330;Hautmont;03 27 57 59 73;;http://www.bruyere-immobilier.com/;https://www.facebook.com/pages/BRUYERE-IMMOBILIER-LOCATION/260896540593465;;;;;;
BUDNIOK immobilier;9 boulevard Eisen;59300;VALENCIENNES;03.27.27.75.20;;http://www.budniok.com/;;;;;;;
Cabinet GLV Immobilier;14 Rue Léon Gambetta;59830;CYSOING;03.59.39.13.03;;http://www.glv-immobilier.fr/;;;;;;;
Cabinet Plumecocq;7bis Rue Matthieu de Quinvigny;59300;VALENCIENNES;03 27 30 47 76;;http://www.cabinet-plumecocq.fr/;https://www.facebook.com/pages/Cabinet-Plumecocq-achat-vente-transaction-Pharmacie/135130213202920;;;;;;
Cécile Hottin;38 rue de la Faisanderie;59551;Attiches;03 20 16 85 70;;https://www.cecilehottin.fr/;;;;;;;
Cedric V. Immobilier;208 Grand Rue;59138;Pont sur Sambre;03 27 64 05 06;;http://www.cedricv.fr/;;;;;;;
Cedric V. Immobilier;31 place Leclerc;59440;Avesnes sur Helpe;03 27 65 13 90;;http://www.cedricv.fr/;;;;;;;
Cedric V. Immobilier;Galerie marchande Carrefour;59610;Fourmies;03 27 60 01 00;;http://www.cedricv.fr/;;;;;;;
Cedric V. Immobilier;14 rue Saint Maur;59570;Bavay;03 27 39 76 00;;http://www.cedricv.fr/;;;;;;;
CENTURY 21 Agence Athénia;23 avenue d'Amsterdam;59300;VALENCIENNES;03 27 32 99 32;;http://www.century21-athenia-valenciennes.com/;https://www.facebook.com/century21.athenia.valenciennes;;;;;;
CENTURY 21 Art-Immo;19 Place des Arts;59600;MAUBEUGE;03 27 62 21 21;;http://www.century21-artimmo-maubeuge.com/;https://www.facebook.com/pages/Century-21-Art-Immo-%C3%A0-Maubeuge/135404486498600;;;;;;
CENTURY 21 La Chartreuse;239 rue de Paris;59500;DOUAI;03 27 71 48 60;;http://www.century21lachartreuse.com/;https://www.facebook.com/pages/CENTURY-21-La-Chartreuse-%C3%A0-Douai/116520541704398;;;;;;
CENTURY 21 Langner Immobilier;61 rue Pierre Catteau;59150;WATTRELOS;03 20 83 04 88;;http://www.century21-langner-wattrelos.com/;https://www.facebook.com/pages/CENTURY-21-Langner-%C3%A0-Wattrelos/258791390898364;;;;;;
CENTURY 21 Les Trois Clochers;20 rue Tavelle;59400;CAMBRAI;03 27 70 76 21;;http://www.century21-3clochers-cambrai.com/;https://www.facebook.com/pages/CENTURY-21-Les-Trois-Clochers-%C3%A0-Cambrai/115093571842845;;;;;;
cetimmo;2 Place Charles de Pollinchove;59500;Douai;03 27 99 33 33;;http://www.cetimmo.fr/;;;;;;;
COFIMA immobilier;88 rue Jules Guesde;59390;LYS LEZ LANNOY;03.20.80.70.74;;http://www.cofima-immo.com/;;;;;;;
COLDWELL BANKER NORTH RESIDENTIAL;16/18 AVENUE FOCH;59700;MARQ EN BAROEUL;03 20 72 10 00;;http://www.northresidential.fr/;;;;;;;
Coté campagne;1 rue du général de Gaulle;59211;SANTES;03.20.50.01.01;;http://www.cotecampagne.fr/;;;;;;;
Coté Maison;166, rue Roger Salengro;59830;CYSOING;03 20 67 07 07;;http://www.cote-maison.net/;;;;;;;
Coté Ville;2, Avenue Verdi;59110;La Madeleine;03.20.15.08.08;;http://www.coteville.fr/;;;;;;;
