company_name;company_address;company_postalcode;company_city;company_phone;company_email;company_website;company_facebook;contact_firstname;contact_lastname;contact_email;contact_phone;contact_position;contact_linkedin
Nestenn Chaumont En Vexin;12 rue de l Hôtel De Ville;60240;Chaumont En Vexin;03 44 03 56 00;;https://immobilier-chaumont-en-vexin.nestenn.com/;;;;;;;
Nestenn Choisy-au-Bac;Rue du Maréchal Foch;60750;Choisy-au-Bac;03 44 20 60 05;;https://immobilier-choisy-au-bac.nestenn.com/;;;;;;;
Nestenn Lamorlaye;43 Rue Michel Bléré;60260;Lamorlaye;03 44 21 22 22;;https://immobilier-lamorlaye.nestenn.com/;;;;;;;
Nestenn Meru;85 Rue Des Martyrs De La Resistance;60110;Meru;03 44 22 49 49;;https://immobilier-meru.nestenn.com/;;;;;;;
Nestenn Noailles;67 Rue de Paris;60430;Noailles;03 44 03 57 80;;https://immobilier-noailles.nestenn.com/;;;;;;;
Nestenn Thourotte;73 rue de la République;60150;Thourotte;03 44 75 76 77;;https://immobilier-thourotte.nestenn.com/;;;;;;;
60 immobilier;1, rue du Clos des Vignes;60580;COYE LA FORET;03.44.62.18.94;;http://www.60immobilier.com/;;;;;;;
60immobilier.com;2, rue de la Baronne James de Rothschild;60270;GOUVIEUX;03.44.72.57.10;;http://www.60immobilier.com/;;;;;;;
A2F IMMOBILIER;7 route de Reims;60350;Trosly Breuil;09 77 74 81 32;;http://a2fimmobilier.com/;;;;;;;
ACB Immobilier;11 rue Victor Hugo;60110;MERU;03.44.52.47.47;;http://www.acbimmobilier.com/;;;;;;;
ACB Immobilier;1 rue Gambetta;60250;MOUY;03.44.62.17.17;;http://www.acbimmobilier.com/;;;;;;;
ACB Immobilier;6 rue de Paris;60430;NOAILLES;03.44.03.56.56;;http://www.acbimmobilier.com/;;;;;;;
Agence de la Poste;43 rue Pierre sauvage;60200;COMPIEGNE;03 44 40 32 66;;http://www.agencedelaposte-immobilier-compiegne.fr/;;;;;;;
