company_name;company_address;company_postalcode;company_city;company_phone;company_email;company_website;company_facebook;contact_firstname;contact_lastname;contact_email;contact_phone;contact_position;contact_linkedin
ABI Ecouche;31 rue des Trois Frères Terrier;61150;ECOUCHE;02.14.18.05.03.;;http://www.abi-ecouche.com/;;;;;;;
Agence Jean Posson;1 place Boucicaut;61130;Belleme;;;http://www.posson-immobilier.fr/;;;;;;;
Art et Pierre immobilier;7 rue Etienne Panthou;61200;ARGENTAN;"02 33 35 69 38
RSS :";;http://www.artpierre-immo.com/;;;;;;;
Cazin Immobilier;12 rue d'Argentan;61120;VIMOUTIERS;02.33.39.15.90;;http://www.cazin-immobilier.com/;;;;;;;
Cazin Immobilier;Place Saint Jacques;61230;GACÉ;02.33.36.41.30;;http://www.cazin-immobilier.com/;;;;;;;
Cazin Immobilier;8 rue Louis Guéné;61160;TRUN;02.33.35.13.89;;http://www.cazin-immobilier.com/;;;;;;;
CENTURY 21 Cabinet de Loynes;16 rue du Point du Jour;61200;ARGENTAN;02 33 67 14 12;;http://www.century21-deloynes-argentan.com/;https://www.facebook.com/cabinetdeloynes;;;;;;
CENTURY 21 Harmony;92 Grande Rue;61000;ALENCON;02 33 26 09 57;;http://www.century21-harmony-alencon.com/;https://www.facebook.com/pages/CENTURY-21-Harmony-%C3%A0-Alen%C3%A7on/161601870534640;;;;;;
Fontenoy Groupe Immobilier;14, rue de la boule;61105;FLERS;02 33 65 58 44;;http://www.fontenoy.com/;;;;;;;
Guy Hoquet L'immobilier Longny au perche;9 place de l'hôtel de ville;61290;Longny-au-Perche;02 33 25 78 68;;http://www.guyhoquet-immobilier-longny-au-perche.com/;;;;;;;
Guy Hoquet L'immobilier Remalard;24 PLACE DU GAL DE GAULLE;61110;Rémalard;02 33 73 04 81;;http://www.guyhoquet-immobilier-remalard.com/;;;;;;;
Hexagone Immobilier;19 rue de la Chaussée;61200;Argentan;02 33 67 90 90;;http://www.hexagoneimmobilier.fr/;;;;;;;
Immo Centre 61;13 rue d'hautvie;61600;LA FERTE-MACE;02.33.140.160;;http://www.immocentre61.com/;;;;;;;
Immo Centre 61;3, rue du Docteur Tremblin;61320;CARROUGES;02.33.27.12.71;;http://www.immocentre61.com/;;;;;;;
Immo France Habitat;128-130 Grande Rue;61000;ALENCON;02.33.26.20.99;;http://www.immofrancehabitat.com/;;;;;;;
Immobilier Jean-Louis Vadé;30 rue Boucicaut;61130;BELLEME;"02.33.83.56.39
RSS :";;http://www.immobilier-vade.com/;;;;;;;
Immorev;3 Place de la Mairie;61380;MOULINS LA MARCHE;02 33 24 71 87;;http://www.immorev.com/;;;;;;;
Immorev;67 rue de la République;61500;Sées;02 33 26 48 86;;http://www.immorev.com/;;;;;;;
La Plaine Immobilier;33 rue d`Hautvieb;61600;LA FERTE MACE;02 33 37 81 88;;http://www.laplaine-immobilier.com/;;;;;;;
Laforêt l´Aigle;12 rue Gambetta;61300;L'Aigle;02 33 24 35 81;;http://www.laforet-laigle.com/;;;;;;;
Lair immobilier;6 place du général de Gaulle;61500;Sées;02 33 26 24 24;;http://www.lair-immobilier.fr/;;;;;;;
les Agences Vertes;;;;;;http://www.agences-vertes.com/;;;;;;;
Master Immo;26 rue Saint Blaise;61000;ALENCON;02 33 29 39 95;;http://www.master-immo.com/;https://www.facebook.com/pages/Agence-immobiliere-Master-Immo-Alen%C3%A7on/122125797885364;;;;;;
Master-Immo.com;13 Place Boislandry;61300;L AIGLE;02 33 24 61 60;;http://www.master-immo.com/;https://www.facebook.com/pages/Agence-immobiliere-Master-Immo-Alen%C3%A7on/122125797885364;;;;;;
Neyt immobilier;3 rue gambetta;61305;L'AIGLE;02 33 34 36 66;;http://www.neytimmobilier.com/;;;;;;;
Normandie Propriétés Services;1 place de Lattre de Tassigny;61200;Argentan;02.33.39.71.30;;http://www.immobilier-nps.com/;;;;;;;
NPS Immobilier;24 rue de la République;61500;SEES;02.33.27.48.33;;http://www.immobilier-nps.com/;;;;;;;
SERVICE IMMOBILIER PORCON;8 rue Chaussée;61200;ARGENTAN;02 33 36 78 78;;http://www.agenceporcon.com/;;;;;;;
Socogefim Immobilier;7 place Mackau;61120;VIMOUTIERS;02-33-39-24-57;;http://www.socogefim.fr/;;;;;;;
Success IMMOBILIER;20 Grande Rue;61230;GACE;02 33 12 50 00;;http://www.successimmobilier.com/;;;;;;;
Tendance Immo;7 Place du général de Gaulle;61170;LE MELE SUR SARTHE;02.33.15.05.22;;http://www.tendanceimmo.com/;;;;;;;
Tendance Immo;19 rue Domfront;61100;FLERS;02.33.14.13.89;;http://www.tendanceimmo.com/;;;;;;;
Lair immobilier;6 place du général de Gaulle;61500;Sées;02 33 26 24 24;;http://www.lair-immobilier.fr/;;;;;;;
les Agences Vertes;;;;;;http://www.agences-vertes.com/;;;;;;;
Master Immo;26 rue Saint Blaise;61000;ALENCON;02 33 29 39 95;;http://www.master-immo.com/;https://www.facebook.com/pages/Agence-immobiliere-Master-Immo-Alen%C3%A7on/122125797885364;;;;;;
Master-Immo.com;13 Place Boislandry;61300;L AIGLE;02 33 24 61 60;;http://www.master-immo.com/;https://www.facebook.com/pages/Agence-immobiliere-Master-Immo-Alen%C3%A7on/122125797885364;;;;;;
Neyt immobilier;3 rue gambetta;61305;L'AIGLE;02 33 34 36 66;;http://www.neytimmobilier.com/;;;;;;;
Normandie Propriétés Services;1 place de Lattre de Tassigny;61200;Argentan;02.33.39.71.30;;http://www.immobilier-nps.com/;;;;;;;
NPS Immobilier;24 rue de la République;61500;SEES;02.33.27.48.33;;http://www.immobilier-nps.com/;;;;;;;
SERVICE IMMOBILIER PORCON;8 rue Chaussée;61200;ARGENTAN;02 33 36 78 78;;http://www.agenceporcon.com/;;;;;;;
Socogefim Immobilier;7 place Mackau;61120;VIMOUTIERS;02-33-39-24-57;;http://www.socogefim.fr/;;;;;;;
Success IMMOBILIER;20 Grande Rue;61230;GACE;02 33 12 50 00;;http://www.successimmobilier.com/;;;;;;;
Tendance Immo;7 Place du général de Gaulle;61170;LE MELE SUR SARTHE;02.33.15.05.22;;http://www.tendanceimmo.com/;;;;;;;
Tendance Immo;19 rue Domfront;61100;FLERS;02.33.14.13.89;;http://www.tendanceimmo.com/;;;;;;;
