company_name;company_address;company_postalcode;company_city;company_phone;company_email;company_website;company_facebook;contact_firstname;contact_lastname;contact_email;contact_phone;contact_position;contact_linkedin
A la Campagne Immobilier;Rue de la République;63330;Pionsat;0473856243;;http://www.a-la-campagne-immobilier.com/;;;;;;;
Aber immobilier;25 bis avenue de Cournon;63170;Aubière;04 73 27 01 30;;http://www.aber-immobilier.fr/;https://www.facebook.com/pages/ABER-Immobilier/1374254869539008;;;;;;
ABRY Immobilier;33 rue Berbiziale;63500;ISSOIRE;04 73 55 26 26;;http://www.abry.fr/;https://www.facebook.com/AbryImmobilier;;;;;;
Agence Arnaud ADVENIER;72 boulevard Etienne Clémentel;63200;RIOM;04 73 63 17 33;;http://www.immobilier-advenier.com/;;;;;;;
Agence Coudard;33 Rue Meynadier;63240;Le Mont-Dore;04.73.65.21.46;;http://www.agencecoudard.fr/;;;;;;;
Agence des Volcans;57 Rue du Commerce;63200;Riom;04.73.33.10.33;;http://www.advriom.com/;https://www.facebook.com/agencedesvolcans;;;;;;
Agence du Palais;1 RUE DE L'HOTEL DE VILLE;63430;PONT DU CHATEAU;04 73 83 48 20;;http://www.agencedupalais63.fr/;;;;;;;
Agence du Palais;16 AVENUE MARECHAL FOCH;63800;COURNON D AUVERGNE;04 73 77 56 56;;http://www.agencedupalais63.fr/;;;;;;;
Agence du Palais;28 AVENUE DES COMBRAILLES;63230;BROMONT LAMOTHE;04 73 88 30 57;;http://www.agencedupalais63.fr/;;;;;;;
Agence du Parc;114 Avenue de Royat;63400;Chamalières;04-73-35-86-62;;https://www.agenceduparc.net/;;;;;;;
Agence Gambetta;5 rue Gambetta;63500;ISSOIRE;04 73 89 12 78;;http://www.agencegambetta63.fr/;;;;;;;
Agence immobilière des Combrailles - Annick Espagnol;Rue Mercière;63390;St Gervais d'Auvergne;04 73 85 86 37;;http://www.auvergne-combrailles.immo/;;;;;;;
Agence Le Pariou;8, Boulevard Vaquez;63130;ROYAT;04 73 35 90 96;;http://www.le-pariou.fr/;;;;;;;
ALTIMMO;29 PLACE DU 8 MAI 1945;63540;ROMAGNAT;04 73 61 14 22;;http://www.altimmo63.fr/;;;;;;;
Arcades Imombilier;34 pl République;63500;ISSOIRE;04 73 89 03 27;;http://www.arcadesimmobilier.info/;;;;;;;
Arcades Imombilier;11, Place de l'Eglise;63610;BESSE;04-73-79-59-85;;http://www.arcadesimmobilier.info/;;;;;;;
Auvergne Immo;2 Rue du Marché;63330;PIONSAT;04 73 52 39 91;;http://www.auvergne-immo.com/;;;;;;;
AUVERGNE MONT-DORE IMMOBILIER;10 rue Rigny;63240;LE MONT-DORE;04 73 21 17 51;;http://www.montdore-immo.com/;;;;;;;
Auvergne properties;20 Le Pré Jandion;63310;St Sylvestre Pragoulin;04 70 59 06 54;;http://www.auvergne-properties.com/;https://www.facebook.com/auvergneproperties/;;;;;;
Blot Immobilier;12 bis rue de l'hôtel de ville;63200;Mozac;04 73 97 30 71;;http://www.blot-immo.com/;https://www.facebook.com/pages/Blot-immobilier/166082626783778;;;;;;
Blot Immobilier;Centre commercial;63960;Veyre-Monton;04 73 61 07 70;;http://www.blot-immo.com/;https://www.facebook.com/pages/Blot-immobilier/166082626783778;;;;;;
