company_name;company_address;company_postalcode;company_city;company_phone;company_email;company_website;company_facebook;contact_firstname;contact_lastname;contact_email;contact_phone;contact_position;contact_linkedin
Nestenn Bayonne;29 Avenue de la Legion Tcheque;64100;Bayonne;05 59 46 09 09;;https://immobilier-bayonne.nestenn.com/;;;;;;;
Nestenn Pau;16 bis boulevard d'Alsace Lorraine;64000;Pau;05 59 62 10 10;;https://immobilier-pau.nestenn.com/;;;;;;;
Abault commerces immobilier;15 bis avenue Amedée Dufourg;64600;Anglet;05.59.64.40.15;;http://www.abault.com/;;;;;;;
ABSIS Immobilier;2 rue des Jardins Quartier St Charles;64200;Biarritz;09.50.94.85.56;;http://www.absis-immobilier.fr/;https://www.facebook.com/Absis.Immobilier.64;;;;;;
ACCESS IMMOBILIER;32 rue Maréchal Joffre;64000;Pau;05 59 02 30 90;;http://www.access-immobilier.net/;https://www.facebook.com/pages/Access-Immobilier-Pau/259072134137594;;;;;;
ACTIF FONCIER;BIDE KURUTZEA;64310;Saint Pee sur Nivelle;05 59 85 90 43;;http://www.actif-foncier.com/;;;;;;;
AGENCE BARROSO;Le Chalet;64440;GOURETTE;05.59.05.10.13;;http://www.gourette-immo.fr/;;;;;;;
Agence Benquet;4 Place Clémenceau;64200;Biarritz;05 59 24 04 91;;http://www.agence-benquet.com/;https://www.facebook.com/pages/AGENCE-BENQUET/419447671466970;;;;;;
Agence Des Halles;11 RUE HALLES;64200;BIARRITZ;05 59 22 02 63;;http://www.agence-des-halles.fr/;https://www.facebook.com/pages/Agence-Des-Halles/120027754738911;;;;;;
Agence des Jacobins;22, rue des Jacobins;64300;Orthez;05.59.69.00.48.;;http://www.immo-jacobins.fr/;;;;;;;
Agence Donibane;55 boulevard General de Gaulle;64700;Hendaye;05 59 48 84 84;;http://www.agence-donibane.com/;https://www.facebook.com/Agence-Donibane-1727757930779946/;;;;;;
Agence Européenne;6 place du Barry;64530;Pontacq;05 59 53 64 08;;http://www.agenceeuropeenne.com/;;;;;;;
Agence First Biarritz Immobilier;42 Avenue Carnot;64200;BIARRITZ;05.82.84.51.65;;http://www.biarritz-immobilier.fr/;;;;;;;
Agence Hourcade;2 Rue du 49ème Régiment d'Infanterie;64100;Bayonne;09 75 96 12 70;;http://www.agence-hourcade.com/;;;;;;;
Agence immobilière kennedy;42 avenue Kennedy;64200;BIARRITZ;05.59.41.20.50;;http://www.kennedy-immo.com/;;;;;;;
Agence Laguillon;12, rue du Port;64700;HENDAYE;05 59 48 00 78;;http://www.agence-laguillon.com/;;;;;;;
Agence Les Corsaires;50, Quai des Corsaires;64100;Bayonne;05 59 59 12 10;;http://www.lescorsaires-immobilier.com/;;;;;;;
Agence Les Corsaires;Rue Ernest Fourneau;64310;Ascain;05 59 54 44 98;;http://www.lescorsaires-immobilier.com/;;;;;;;
Agence MALTERRE immobilier;1 RUE DES PYRENEES;64800;NAY;05 59 61 10 11;;http://www.agence-malterre.com/;;;;;;;
AGENCE PARDO;25 rue du Colonel Gloxin;64000;PAU;05 59 06 27 46;;http://www.agencepardo.com/;;;;;;;
Agence Vauban;;;;03 81 83 52 88;;http://www.agencevauban.com/;;;;;;;
Agences des Bastides;Place de la République;64410;ARZACQ ARRAZIGUET;05 59 04 45 04;;http://www.adb-immo.com/;;;;;;;
Akura Immo;17 avenue du Président J.F. Kennedy;64200;BIARRITZ;0559245891;;http://www.akura-immo.fr/;https://www.facebook.com/AkuraImmo;;;;;;
Amaya;14 boulevard d'Alsace Lorraine;64000;Pau;0559110115;;http://www.amaya64.com/;;;;;;;
Amodia;16 Allée Présaburu Résidence Altza;64122;URRUGNE;05 59 54 35 28;;http://www.amodia.fr/;https://www.facebook.com/pages/Amodia-immobilier/470802749684635;;;;;;
André Garreta;;;;059034703;;http://www.garreta-immobilier.com/;;;;;;;
Arnaud Lalague Immobilier;12 boulevard Alsace Lorraine;64100;Bayonne;05 59 59 79 53;;http://www.arnaudlalagueimmobilier.com/;;;;;;;
Arthur Loyd Biarritz;38 Rue Gambetta;64200;BIARRITZ;05 59 22 09 33;;http://www.arthurloydbiarritz.com/;;;;;;;
AVA-SNI Immobilier;6, place des casernes;64190;NAVARRENX;05.59.66.23.60;;http://www.ava-immobilier.com/;https://www.facebook.com/AVA-SNI-Navarrenx-283739928459430/;;;;;;
Awimmo64.net;6 AVENUE DE BIARRITZ;64600;Anglet;05 59 08 68 44;;http://www.awimmo64.com/;;;;;;;
Barthou Immobilier;16 rue Montpensier;64000;PAU;;;http://www.barthou-immobilier.com/;;;;;;;
Bearn Immobilier;9 Place du Bayaa;64270;Salies de Béarn;;;http://bearnimmobilier.com/;;;;;;;
Bliss et Foch Immobilier;3 avenue Maréchal Foch;64200;BIARRITZ;05 59 22 76 76;;http://www.blissetfoch.com/;;;;;;;
BROCA IMMOBILIER;19 BOULEVARD D'ALSACE;65500;Vic en bigorre;05 62 96 50 50;;http://www.broca-immobilier.com/;;;;;;;
BROCA IMMOBILIER;CENTRE COM INTERMARCHE RUE BARATNAU;64160;Morlaas;05 59 92 32 00;;http://www.broca-immobilier.com/;;;;;;;
Cabinet Gabaig;12 rue Henri Faisans;64000;Pau;05 59 30 54 44;;http://www.cabinet-gabaig.fr/;;;;;;;
Cabinet Lenfant Laffitte;58, avenue Emile-Ginot;64000;PAU;05.59.83.81.81;;http://www.lenfant-laffitte.com/;;;;;;;
Cabinet Turpault;3 Rue des Cordeliers;64000;PAU;05.59.02.35.81;;http://www.cabinet-turpault.com/;;;;;;;
CAP IMMO;3, rue Montpensier;64000;Pau;05 59 90 01 01;;https://www.capimmopau.fr/;https://www.facebook.com/Cap-Immo-Pau-1573726376239766/;;;;;;
Cap2 Immo;12 place général Leclerc - Place des 5 cantons;64600;Anglet;05 59 57 20 05;;http://www.cap2immo.com/;;;;;;;
CENTURY 21 Agence du Pont - Vieux;98 rue Saint Gilles;64300;ORTHEZ;05 59 67 14 95;;http://www.century21-lafargue-orthez.com/;https://www.facebook.com/century21.agencedupontvieux.orthez;;;;;;
CENTURY 21 Agence les Alizés;Route Départementale 932;64480;USTARITZ;05 59 70 35 59;;http://www.century21-alizes-ustaritz.com/;https://www.facebook.com/century21.agence.les.alizes.ustaritz;;;;;;
CENTURY 21 Agence Nivadour;7 Quai Amiral Jauréguiberry;64100;BAYONNE;05 59 46 21 21;;http://www.century21agencenivadour.com/;;;;;;;
CENTURY 21 Lafargue Immobilier;9 place de la Trompe;64270;SALIES DE BEARN;05 59 38 13 98;;http://www.century21-lafargue-salies.com/;https://www.facebook.com/pages/CENTURY-21-Lafargue-Immobilier/107390335955909;;;;;;
CENTURY 21 Sogecim Immobilier;31 avenue de Verdun;64200;BIARRITZ;05 59 24 65 20;;http://www.century21sogecim.com/;https://www.facebook.com/pages/CENTURY-21-Sogecim-Immobilier/103350233034762;;;;;;
Chabagno immobilier;100 rue de Chassin;64600;Anglet;05.59.03.08.70;;http://www.chabagno.com/;;;;;;;
Chiberta Immobilier;8, avenue de la Bécasse;64600;ANGLET;05 59 31 99 64;;http://www.chiberta-immobilier.com/;;;;;;;
Chiberta Immobilier;22 - 24 avenue Victor Hugo;64200;BIARRITZ;05 59 22 56 59;;http://www.chiberta-immobilier.com/;;;;;;;
CONCORDE IMMOBILIER;22 AVENUE DE VERDUN;64200;Biarritz;05 59 22 22 76;;http://www.concordeimmobilier.fr/;;;;;;;
DABADIE IMMOBILIER;3 RUE GASSIOT;64000;PAU;05 59 27 05 42;;http://www.pau-immo.fr/;https://www.facebook.com/LDIMMO;;;;;;
Defoly Immobilier;5 place de la Libération;64200;Biarritz;05 59 22 23 24;;http://www.defoly.com/;;;;;;;
Defoly Immobilier;114 avenue de l'adour;64600;Anglet;05 59 52 01 02;;http://www.defoly.com/;https://www.facebook.com/pages/defolycom/358904570843379;;;;;;
Defoly Immobilier;10, rue Frédéric Bastiat;64100;Bayonne;05 59 22 23 24;;http://www.defoly.com/;;;;;;;
Donibane La miason Basque;125 av Atherbea Rd 810;64210;Bidart;05 59 54 91 59;;http://www.agence-donibane.com/;https://www.facebook.com/Agence-Donibane-1727757930779946/;;;;;;
Donzacq immo;28, 30 chemin de Sabalce Nouvelle zone du Forum;64100;Bayonne;05 59 31 12 61;;http://www.donzacq-immo.com/;;;;;;;
ERA CAP OCEAN;98 avenue de Biarritz;64600;Anglet;05 59 41 42 30;;http://www.era-immobilier-anglet.fr/;https://www.facebook.com/EraAnglet;;;;;;
Era Hasparren;8 rue Francis Jammes;64240;Hasparren;05.59.70.27.70;;https://www.era-immobilier-hasparren.fr/;;;;;;;
Erlea Immobilier;21, Place Charles de Gaulle;64220;Saint-Jean-Pied-de-Port;05 59 37 07 91;;http://www.erlea.fr/;;;;;;;
Fidantzia immobilier;21 rue du Pic d'Anie;64140;Lons;;;http://www.fidantzia-immobilier.com/;;;;;;;
GERIMMO immobilier;39 allées Marines;64100;BAYONNE;05 59 15 19 20;;http://www.gerimmo-bayonne.fr/;;;;;;;
Groupe Mercure;24 boulevard Marcel Dassault;64200;Biarritz;05 59 43 87 00;;http://www.groupe-mercure.fr/;;;;;;;
Guy Hoquet L'immobilier Orthez / Artix;1 avenue Françis James;64300;Orthez;05 59 69 38 16;;http://www.guyhoquet-immobilier-orthez.com/;https://www.facebook.com/GuyHoquetOrthez;;;;;;
Guy Hoquet L'immobilier Pau / Billère / Lescar;21 ROUTE DE BAYONNE;64140;Billère;05 59 40 30 31;;http://www.guyhoquet-immobilier-pau.com/;https://www.facebook.com/GuyHoquetAggloPau;;;;;;
Immobilia;12 Place Gramont;64000;PAU;05 59 27 52 49;;http://www.immobilia65.com/;;;;;;;
Immobiliere Biarritz;4 rue Jaulerry;64200;Biarritz;05 59 24 57 44;;http://www.immobiliere-biarritz.com/;;;;;;;
Ithurri Etchea;1 Place Camille Jullian;64500;CIBOURE;05 59 47 29 69;;http://www.immobilier-ithurrietchea.com/;;;;;;;
J Mateille Immobilier;3 rue gambetta;64200;BIARRITZ;05 59 24 17 12;;http://www.mateilleimmobilier.fr/;;;;;;;
JOANIN IMMOBILIER;20 rue Henri IV;64000;PAU;;;http://www.joanin-immobilier.com/;;;;;;;
Josy Bonnand Immobilier;"""CHORROETA BERRIA""";64310;ASCAIN;05 59 24 56 10;;http://www.josy-bonnand-immobilier.com/;;;;;;;
JPC IMMOBILIER;2 Rue Emile Zola;64000;Pau;05 59 02 37 38;;http://www.jpcimmobilier.com/;;;;;;;
L'Agence du parc;3 allée de la licorne;64600;Anglet;05 59 74 10 74;;https://www.agenceduparc.eu/;;;;;;;
L'Immobilier Souletin;13, rue du Jeu de Paume;64130;Mauleon;05 59 19 12 06;;http://www.mauleon-immobilier-64.com/;;;;;;;
L'Immobilière Paloise;50 Rue Maréchal Joffre;64000;Pau;05-59-98-87-31;;https://www.immobilierepaloise.com/;;;;;;;
Laforet Orthez;10, Rue Jeanne d'Albret;64300;ORTHEZ;05 59 65 35 36;;http://www.laforet-immobilier-orthez.com/;https://www.facebook.com/laforetorthez;;;;;;
Le Local Immobilier;976 Rte Departementale 817;64270;Puyoo;05 59 38 92 46;;http://www.lelocal-immobilier.com/;;;;;;;
LES MAISONS DE CHRISTOPHE;Av de la Basse Navarre;64990;St Pierrre d'Irube;05 59 31 99 03;;http://www.maisonsdechristophe.com/;;;;;;;
LONS IMMO;Allee Moulin;64140;LONS;05 59 62 22 22;;http://www.pau-immo.fr/;https://www.facebook.com/LDIMMO;;;;;;
Louis 14;103 route de la corniche;64122;Urrugne;05 59 54 14 14;;http://www.immobilier-louis14.com/;https://www.facebook.com/pages/Immobilier-Louis-14/397902420236162;;;;;;
Louis 14;8 rue Kattalin Aguirre;64500;Ciboure;05 59 54 14 14;;http://www.immobilier-louis14.com/;https://www.facebook.com/pages/Immobilier-Louis-14/397902420236162;;;;;;
Louis 14;103 route de la Corniche;64122;Urrugne;05 59 54 14 14;;http://www.immobilier-louis14.com/;https://www.facebook.com/pages/Immobilier-Louis-14/397902420236162;;;;;;
M2B;4 ROUTE DE PITOYS;64600;ANGLET;0559455463;;http://m2b.immo/;;;;;;;
Optimmo;32 rue de Liège;64000;Pau;05 59 98 82 85;;https://www.agence-optimmo-pau.fr/;;;;;;;
Orpi Côte Basque Immo;;;;;;http://www.cote-basque-immo.com/;;;;;;;
Orpi Pays Basque;;;;;;http://www.orpi-pays-basque.com/;;;;;;;
Orpi Pierre Conchez Immobilier;4 rue Louis Barthou;64000;PAU;05 59 11 11 00;;http://www.immobilier-pau.net/;https://www.facebook.com/pages/Orpi-Pierre-Conchez-Immobilier/123037784421202;;;;;;
Pierre Immobilier;36 place des Basques;64100;Bayonne;05.59.59.09.89;;http://www.pierre-immobilier.com/;;;;;;;
PUYO IMMOBILIER;15 Av. de la Marne;64200;BIARRITZ;05 59 22 55 55;;http://www.puyo-immobilier.com/;;;;;;;
Puyo Immobilier;Rés. Xapital Burua;64240;HASPARREN;05 59 59 58 41;;http://www.puyo-immobilier.com/;;;;;;;
